slide	subclass	layer	mean_region_num	mean_enrich_num	mean_glut_num	mean_gaba_num	mean_glut_gaba_ratio	sample_n
C57BL6J-1.025	035 OB Eomes Ms4a15 Glut	layer 1	1.5	50.75	53.75	114	0.478146853146853	2
C57BL6J-1.025	036 HPF CR Glut	layer 1	1	1	17	34	0.5	1
C57BL6J-1.025	039 OB Meis2 Thsd7b Gaba	layer 1	1	60.5	55.5	187.5	0.294393060263113	2
C57BL6J-1.025	040 OB Trdn Gaba	layer 1	1	4.5	59.5	167.5	0.379162504162504	2
C57BL6J-1.025	041 OB-in Frmd7 Gaba	layer 1	2	38.75	35.75	118.5	0.301163812033377	2
C57BL6J-1.025	042 OB-out Frmd7 Gaba	layer 1	1	34.5	38.5	107	0.386497326203209	2
C57BL6J-1.025	043 OB-mi Frmd7 Gaba	layer 1	1	7.5	48.5	157	0.29131415679639	2
C57BL6J-1.025	044 OB Dopa-Gaba	layer 1	1	22	51.5	167.5	0.291922531884743	2
C57BL6J-1.025	045 OB-STR-CTX Inh IMN	layer 1	1	3.5	49	139	0.422921711057304	2
C57BL6J-1.025	049 Lamp5 Gaba	layer 1	2	2	24.5	56	0.4375	1
C57BL6J-1.025	067 LSX Sall3 Pax6 Gaba	layer 1	1	1	15	44	0.340909090909091	1
C57BL6J-1.025	113 MEA-COA-BMA Ccdc42 Glut	layer 1	1	1	12	30	0.4	1
C57BL6J-1.025	117 LHA Barhl2 Glut	layer 1	1	1	7	34	0.205882352941176	1
C57BL6J-1.025	118 ADP-MPO Trp73 Glut	layer 1	1	2	53	144	0.387234042553191	2
C57BL6J-1.025	319 Astro-TE NN	layer 1	1	9	12	53	0.226415094339623	1
C57BL6J-1.025	320 Astro-OLF NN	layer 1	1	29	31	123	0.24223344634332	2
C57BL6J-1.025	326 OPC NN	layer 1	2.5	6.91666666666667	29.75	94.9166666666667	0.323575887631682	2
C57BL6J-1.025	327 Oligo NN	layer 1	1	15.5	68	197.5	0.344157367817291	2
C57BL6J-1.025	328 OEC NN	layer 1	2	29.25	45.25	115	0.393787033641505	2
C57BL6J-1.025	329 ABC NN	layer 1	1	1	12	19	0.631578947368421	1
C57BL6J-1.025	330 VLMC NN	layer 1	1.5	13.75	28.75	80.25	0.36	2
C57BL6J-1.025	331 Peri NN	layer 1	1	4	30.5	105.5	0.345982783357245	2
C57BL6J-1.025	332 SMC NN	layer 1	1	4	32	79	0.388793103448276	2
C57BL6J-1.025	333 Endo NN	layer 1	1.5	28	34.25	92.5	0.378182461103253	2
C57BL6J-1.025	334 Microglia NN	layer 1	1.5	10.75	47	124.75	0.351260504201681	2
C57BL6J-1.025	335 BAM NN	layer 1	1.5	3.75	32	90.75	0.344444444444444	2
C57BL6J-1.026	007 L2/3 IT CTX Glut	layer 1	2	12.75	12.75	7.25	1.83088235294118	2
C57BL6J-1.026	007 L2/3 IT CTX Glut	layer 2/3	1	89	89	11	8.09090909090909	1
C57BL6J-1.026	035 OB Eomes Ms4a15 Glut	layer 1	1	1	5.5	3.5	1.55	2
C57BL6J-1.026	036 HPF CR Glut	layer 1	1	1	3	3.5	0.875	2
C57BL6J-1.026	044 OB Dopa-Gaba	layer 1	1	1	5	1	5	1
C57BL6J-1.026	046 Vip Gaba	layer 1	1	2.5	11	11.5	0.924603174603175	2
C57BL6J-1.026	046 Vip Gaba	layer 2/3	1	4.5	42	9.5	4.08333333333333	2
C57BL6J-1.026	047 Sncg Gaba	layer 1	1.5	3.25	9.25	9.25	1.00882352941176	2
C57BL6J-1.026	047 Sncg Gaba	layer 2/3	1	2	26	6	4.33333333333333	1
C57BL6J-1.026	049 Lamp5 Gaba	layer 1	1.5	7	13.25	11	1.23290598290598	2
C57BL6J-1.026	049 Lamp5 Gaba	layer 2/3	1	4	64	10	6.4	1
