chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.43669115569199	2.74287897141629	4.83669115569199	3.14287897141629	layer 1_4.43669115569199_2.74287897141629	0.0410958904109589
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.45669115569199	2.74287897141629	4.85669115569199	3.14287897141629	layer 1_4.45669115569199_2.74287897141629	0.0360963903609639
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.39669115569199	2.76287897141629	4.79669115569199	3.16287897141629	layer 1_4.39669115569199_2.76287897141629	0.0381961803819618
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.41669115569199	2.76287897141629	4.81669115569199	3.16287897141629	layer 1_4.41669115569199_2.76287897141629	0.027997200279972
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.43669115569199	2.76287897141629	4.83669115569199	3.16287897141629	layer 1_4.43669115569199_2.76287897141629	0.0184981501849815
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.45669115569199	2.76287897141629	4.85669115569199	3.16287897141629	layer 1_4.45669115569199_2.76287897141629	0.0142985701429857
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.43669115569199	2.78287897141629	4.83669115569199	3.18287897141629	layer 1_4.43669115569199_2.78287897141629	0.044995500449955
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.45669115569199	2.78287897141629	4.85669115569199	3.18287897141629	layer 1_4.45669115569199_2.78287897141629	0.0446955304469553
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.42208891715891	2.88287897141629	4.82208891715891	3.28287897141629	layer 1_4.42208891715891_2.88287897141629	0.0457954204579542
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.13167235982143	2.90287897141629	4.53167235982143	3.30287897141629	layer 1_4.13167235982143_2.90287897141629	0.0376962303769623
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.27167235982143	2.90287897141629	4.67167235982143	3.30287897141629	layer 1_4.27167235982143_2.90287897141629	0.0371962803719628
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.29167235982143	2.90287897141629	4.69167235982143	3.30287897141629	layer 1_4.29167235982143_2.90287897141629	0.0278972102789721
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.31167235982143	2.90287897141629	4.71167235982143	3.30287897141629	layer 1_4.31167235982143_2.90287897141629	0.0216978302169783
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.33167235982143	2.90287897141629	4.73167235982143	3.30287897141629	layer 1_4.33167235982143_2.90287897141629	0.0145985401459854
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.35167235982143	2.90287897141629	4.75167235982143	3.30287897141629	layer 1_4.35167235982143_2.90287897141629	0.0145985401459854
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.37167235982143	2.90287897141629	4.77167235982143	3.30287897141629	layer 1_4.37167235982143_2.90287897141629	0.0145985401459854
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.39167235982143	2.90287897141629	4.79167235982143	3.30287897141629	layer 1_4.39167235982143_2.90287897141629	0.0083991600839916
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.41167235982143	2.90287897141629	4.81167235982143	3.30287897141629	layer 1_4.41167235982143_2.90287897141629	0.0044995500449955
C57BL6J-1.027	sample_1	layer 1	326 OPC NN	regions_1	4.43167235982143	2.90287897141629	4.83167235982143	3.30287897141629	layer 1_4.43167235982143_2.90287897141629	0.0044995500449955
