chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.92900773489326	3.22102081307178	4.32900773489326	3.62102081307178	layer 2/3_3.92900773489326_3.22102081307178	0.0438956104389561
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.92900773489326	3.24102081307178	4.32900773489326	3.64102081307178	layer 2/3_3.92900773489326_3.24102081307178	0.0457954204579542
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.92900773489326	3.26102081307178	4.32900773489326	3.66102081307178	layer 2/3_3.92900773489326_3.26102081307178	0.042995700429957
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.92900773489326	3.28102081307178	4.32900773489326	3.68102081307178	layer 2/3_3.92900773489326_3.28102081307178	0.0498950104989501
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.95039667541262	3.48102081307178	4.35039667541262	3.88102081307178	layer 2/3_3.95039667541262_3.48102081307178	0.0405959404059594
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.97039667541262	3.48102081307178	4.37039667541262	3.88102081307178	layer 2/3_3.97039667541262_3.48102081307178	0.04999500049995
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.99039667541262	3.48102081307178	4.39039667541262	3.88102081307178	layer 2/3_3.99039667541262_3.48102081307178	0.0438956104389561
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.01039667541262	3.48102081307178	4.41039667541262	3.88102081307178	layer 2/3_4.01039667541262_3.48102081307178	0.0436956304369563
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.03039667541262	3.48102081307178	4.43039667541262	3.88102081307178	layer 2/3_4.03039667541262_3.48102081307178	0.0436956304369563
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.05039667541262	3.48102081307178	4.45039667541262	3.88102081307178	layer 2/3_4.05039667541262_3.48102081307178	0.044995500449955
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.07039667541262	3.48102081307178	4.47039667541262	3.88102081307178	layer 2/3_4.07039667541262_3.48102081307178	0.0455954404559544
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.09039667541262	3.48102081307178	4.49039667541262	3.88102081307178	layer 2/3_4.09039667541262_3.48102081307178	0.0451954804519548
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.95039667541262	3.50102081307178	4.35039667541262	3.90102081307178	layer 2/3_3.95039667541262_3.50102081307178	0.0297970202979702
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.97039667541262	3.50102081307178	4.37039667541262	3.90102081307178	layer 2/3_3.97039667541262_3.50102081307178	0.0367963203679632
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.99039667541262	3.50102081307178	4.39039667541262	3.90102081307178	layer 2/3_3.99039667541262_3.50102081307178	0.0316968303169683
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.01039667541262	3.50102081307178	4.41039667541262	3.90102081307178	layer 2/3_4.01039667541262_3.50102081307178	0.0327967203279672
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.03039667541262	3.50102081307178	4.43039667541262	3.90102081307178	layer 2/3_4.03039667541262_3.50102081307178	0.0327967203279672
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.05039667541262	3.50102081307178	4.45039667541262	3.90102081307178	layer 2/3_4.05039667541262_3.50102081307178	0.0336966303369663
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.07039667541262	3.50102081307178	4.47039667541262	3.90102081307178	layer 2/3_4.07039667541262_3.50102081307178	0.0358964103589641
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.09039667541262	3.50102081307178	4.49039667541262	3.90102081307178	layer 2/3_4.09039667541262_3.50102081307178	0.0355964403559644
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.95039667541262	3.52102081307178	4.35039667541262	3.92102081307178	layer 2/3_3.95039667541262_3.52102081307178	0.0212978702129787
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.97039667541262	3.52102081307178	4.37039667541262	3.92102081307178	layer 2/3_3.97039667541262_3.52102081307178	0.0262973702629737
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.99039667541262	3.52102081307178	4.39039667541262	3.92102081307178	layer 2/3_3.99039667541262_3.52102081307178	0.0235976402359764
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.01039667541262	3.52102081307178	4.41039667541262	3.92102081307178	layer 2/3_4.01039667541262_3.52102081307178	0.0235976402359764
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.03039667541262	3.52102081307178	4.43039667541262	3.92102081307178	layer 2/3_4.03039667541262_3.52102081307178	0.0235976402359764
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.05039667541262	3.52102081307178	4.45039667541262	3.92102081307178	layer 2/3_4.05039667541262_3.52102081307178	0.0242975702429757
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.07039667541262	3.52102081307178	4.47039667541262	3.92102081307178	layer 2/3_4.07039667541262_3.52102081307178	0.024997500249975
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.09039667541262	3.52102081307178	4.49039667541262	3.92102081307178	layer 2/3_4.09039667541262_3.52102081307178	0.0245975402459754
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.97929657734683	3.54102081307178	4.37929657734683	3.94102081307178	layer 2/3_3.97929657734683_3.54102081307178	0.0222977702229777
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.99929657734683	3.54102081307178	4.39929657734683	3.94102081307178	layer 2/3_3.99929657734683_3.54102081307178	0.0196980301969803
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.01929657734683	3.54102081307178	4.41929657734683	3.94102081307178	layer 2/3_4.01929657734683_3.54102081307178	0.0196980301969803
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.03929657734683	3.54102081307178	4.43929657734683	3.94102081307178	layer 2/3_4.03929657734683_3.54102081307178	0.0196980301969803
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.05929657734683	3.54102081307178	4.45929657734683	3.94102081307178	layer 2/3_4.05929657734683_3.54102081307178	0.0204979502049795
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.07929657734683	3.54102081307178	4.47929657734683	3.94102081307178	layer 2/3_4.07929657734683_3.54102081307178	0.0193980601939806
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.19929657734683	3.54102081307178	4.59929657734683	3.94102081307178	layer 2/3_4.19929657734683_3.54102081307178	0.0442955704429557
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.21929657734683	3.54102081307178	4.61929657734683	3.94102081307178	layer 2/3_4.21929657734683_3.54102081307178	0.0335966403359664
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	3.98512083515928	3.56102081307178	4.38512083515928	3.96102081307178	layer 2/3_3.98512083515928_3.56102081307178	0.0164983501649835
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.00512083515928	3.56102081307178	4.40512083515928	3.96102081307178	layer 2/3_4.00512083515928_3.56102081307178	0.0156984301569843
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.02512083515928	3.56102081307178	4.42512083515928	3.96102081307178	layer 2/3_4.02512083515928_3.56102081307178	0.0156984301569843
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.04512083515928	3.56102081307178	4.44512083515928	3.96102081307178	layer 2/3_4.04512083515928_3.56102081307178	0.0156984301569843
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.06512083515928	3.56102081307178	4.46512083515928	3.96102081307178	layer 2/3_4.06512083515928_3.56102081307178	0.0156984301569843
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.08512083515928	3.56102081307178	4.48512083515928	3.96102081307178	layer 2/3_4.08512083515928_3.56102081307178	0.0145985401459854
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.18512083515928	3.56102081307178	4.58512083515928	3.96102081307178	layer 2/3_4.18512083515928_3.56102081307178	0.040995900409959
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.20512083515928	3.56102081307178	4.60512083515928	3.96102081307178	layer 2/3_4.20512083515928_3.56102081307178	0.0308969103089691
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.06822655104876	3.58102081307178	4.46822655104876	3.98102081307178	layer 2/3_4.06822655104876_3.58102081307178	0.0088991100889911
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.08822655104876	3.58102081307178	4.48822655104876	3.98102081307178	layer 2/3_4.08822655104876_3.58102081307178	0.0076992300769923
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.12822655104876	3.58102081307178	4.52822655104876	3.98102081307178	layer 2/3_4.12822655104876_3.58102081307178	0.0387961203879612
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.14822655104876	3.58102081307178	4.54822655104876	3.98102081307178	layer 2/3_4.14822655104876_3.58102081307178	0.0314968503149685
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.16822655104876	3.58102081307178	4.56822655104876	3.98102081307178	layer 2/3_4.16822655104876_3.58102081307178	0.026997300269973
C57BL6J-1.027	sample_1	layer 2/3	052 Pvalb Gaba	regions_1	4.18822655104876	3.58102081307178	4.58822655104876	3.98102081307178	layer 2/3_4.18822655104876_3.58102081307178	0.016998300169983
