chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.17100131281686	3.75526638534395	4.57100131281686	4.15526638534395	layer 1_4.17100131281686_3.75526638534395	0.0407959204079592
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.15100131281686	3.77526638534395	4.55100131281686	4.17526638534395	layer 1_4.15100131281686_3.77526638534395	0.0440955904409559
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.17100131281686	3.77526638534395	4.57100131281686	4.17526638534395	layer 1_4.17100131281686_3.77526638534395	0.0276972302769723
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.13100131281686	3.79526638534395	4.53100131281686	4.19526638534395	layer 1_4.13100131281686_3.79526638534395	0.0475952404759524
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.15100131281686	3.79526638534395	4.55100131281686	4.19526638534395	layer 1_4.15100131281686_3.79526638534395	0.0318968103189681
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.17100131281686	3.79526638534395	4.57100131281686	4.19526638534395	layer 1_4.17100131281686_3.79526638534395	0.018998100189981
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.13100131281686	3.81526638534395	4.53100131281686	4.21526638534395	layer 1_4.13100131281686_3.81526638534395	0.042995700429957
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.15100131281686	3.81526638534395	4.55100131281686	4.21526638534395	layer 1_4.15100131281686_3.81526638534395	0.0278972102789721
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.17100131281686	3.81526638534395	4.57100131281686	4.21526638534395	layer 1_4.17100131281686_3.81526638534395	0.0157984201579842
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.09100131281686	3.83526638534395	4.49100131281686	4.23526638534395	layer 1_4.09100131281686_3.83526638534395	0.0480951904809519
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.11100131281686	3.83526638534395	4.51100131281686	4.23526638534395	layer 1_4.11100131281686_3.83526638534395	0.0372962703729627
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.13100131281686	3.83526638534395	4.53100131281686	4.23526638534395	layer 1_4.13100131281686_3.83526638534395	0.02999700029997
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.15100131281686	3.83526638534395	4.55100131281686	4.23526638534395	layer 1_4.15100131281686_3.83526638534395	0.0174982501749825
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.17100131281686	3.83526638534395	4.57100131281686	4.23526638534395	layer 1_4.17100131281686_3.83526638534395	0.0090990900909909
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.07100131281686	3.85526638534395	4.47100131281686	4.25526638534395	layer 1_4.07100131281686_3.85526638534395	0.0455954404559544
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.09100131281686	3.85526638534395	4.49100131281686	4.25526638534395	layer 1_4.09100131281686_3.85526638534395	0.0390960903909609
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.11100131281686	3.85526638534395	4.51100131281686	4.25526638534395	layer 1_4.11100131281686_3.85526638534395	0.0303969603039696
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.13100131281686	3.85526638534395	4.53100131281686	4.25526638534395	layer 1_4.13100131281686_3.85526638534395	0.0255974402559744
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.15100131281686	3.85526638534395	4.55100131281686	4.25526638534395	layer 1_4.15100131281686_3.85526638534395	0.0145985401459854
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.17100131281686	3.85526638534395	4.57100131281686	4.25526638534395	layer 1_4.17100131281686_3.85526638534395	0.0071992800719928
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.17100131281686	3.91526638534395	4.57100131281686	4.31526638534395	layer 1_4.17100131281686_3.91526638534395	0.0405959404059594
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.17100131281686	3.93526638534395	4.57100131281686	4.33526638534395	layer 1_4.17100131281686_3.93526638534395	0.0354964503549645
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.15100131281686	3.95526638534395	4.55100131281686	4.35526638534395	layer 1_4.15100131281686_3.95526638534395	0.0380961903809619
C57BL6J-1.025	sample_2	layer 1	045 OB-STR-CTX Inh IMN	regions_1	4.17100131281686	3.95526638534395	4.57100131281686	4.35526638534395	layer 1_4.17100131281686_3.95526638534395	0.018998100189981
