chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.0218185231859	3.43526638534395	4.4218185231859	3.83526638534395	layer 1_4.0218185231859_3.43526638534395	0.0227977202279772
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.0418185231859	3.43526638534395	4.4418185231859	3.83526638534395	layer 1_4.0418185231859_3.43526638534395	0.0247975202479752
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.0618185231859	3.43526638534395	4.4618185231859	3.83526638534395	layer 1_4.0618185231859_3.43526638534395	0.0261973802619738
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.0818185231859	3.43526638534395	4.4818185231859	3.83526638534395	layer 1_4.0818185231859_3.43526638534395	0.0297970202979702
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.1018185231859	3.43526638534395	4.5018185231859	3.83526638534395	layer 1_4.1018185231859_3.43526638534395	0.0332966703329667
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.1218185231859	3.43526638534395	4.5218185231859	3.83526638534395	layer 1_4.1218185231859_3.43526638534395	0.0385961403859614
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.1418185231859	3.43526638534395	4.5418185231859	3.83526638534395	layer 1_4.1418185231859_3.43526638534395	0.0433956604339566
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.0218185231859	3.45526638534395	4.4218185231859	3.85526638534395	layer 1_4.0218185231859_3.45526638534395	0.0257974202579742
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.0418185231859	3.45526638534395	4.4418185231859	3.85526638534395	layer 1_4.0418185231859_3.45526638534395	0.027997200279972
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.0618185231859	3.45526638534395	4.4618185231859	3.85526638534395	layer 1_4.0618185231859_3.45526638534395	0.0283971602839716
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.0818185231859	3.45526638534395	4.4818185231859	3.85526638534395	layer 1_4.0818185231859_3.45526638534395	0.0318968103189681
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.1018185231859	3.45526638534395	4.5018185231859	3.85526638534395	layer 1_4.1018185231859_3.45526638534395	0.0348965103489651
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.1218185231859	3.45526638534395	4.5218185231859	3.85526638534395	layer 1_4.1218185231859_3.45526638534395	0.0391960803919608
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.1418185231859	3.45526638534395	4.5418185231859	3.85526638534395	layer 1_4.1418185231859_3.45526638534395	0.0440955904409559
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.0218185231859	3.47526638534395	4.4218185231859	3.87526638534395	layer 1_4.0218185231859_3.47526638534395	0.0301969803019698
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.0418185231859	3.47526638534395	4.4418185231859	3.87526638534395	layer 1_4.0418185231859_3.47526638534395	0.0321967803219678
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.0618185231859	3.47526638534395	4.4618185231859	3.87526638534395	layer 1_4.0618185231859_3.47526638534395	0.0323967603239676
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.0818185231859	3.47526638534395	4.4818185231859	3.87526638534395	layer 1_4.0818185231859_3.47526638534395	0.035996400359964
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.1018185231859	3.47526638534395	4.5018185231859	3.87526638534395	layer 1_4.1018185231859_3.47526638534395	0.0395960403959604
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.1218185231859	3.47526638534395	4.5218185231859	3.87526638534395	layer 1_4.1218185231859_3.47526638534395	0.0433956604339566
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.1418185231859	3.47526638534395	4.5418185231859	3.87526638534395	layer 1_4.1418185231859_3.47526638534395	0.0473952604739526
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.03143832479942	3.49526638534395	4.43143832479942	3.89526638534395	layer 1_4.03143832479942_3.49526638534395	0.0342965703429657
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.05143832479942	3.49526638534395	4.45143832479942	3.89526638534395	layer 1_4.05143832479942_3.49526638534395	0.0346965303469653
C57BL6J-1.025	sample_2	layer 1	118 ADP-MPO Trp73 Glut	regions_1	4.07143832479942	3.49526638534395	4.47143832479942	3.89526638534395	layer 1_4.07143832479942_3.49526638534395	0.0358964103589641
