chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.38509204836178	3.01598666385658	5.78509204836178	3.41598666385658	layer 1_5.38509204836178_3.01598666385658	0.0484951504849515
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.36509204836178	3.03598666385658	5.76509204836178	3.43598666385658	layer 1_5.36509204836178_3.03598666385658	0.0488951104889511
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.38509204836178	3.03598666385658	5.78509204836178	3.43598666385658	layer 1_5.38509204836178_3.03598666385658	0.0467953204679532
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.36509204836178	3.05598666385658	5.76509204836178	3.45598666385658	layer 1_5.36509204836178_3.05598666385658	0.0458954104589541
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.38509204836178	3.05598666385658	5.78509204836178	3.45598666385658	layer 1_5.38509204836178_3.05598666385658	0.0437956204379562
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.36509204836178	3.07598666385658	5.76509204836178	3.47598666385658	layer 1_5.36509204836178_3.07598666385658	0.0458954104589541
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.38509204836178	3.07598666385658	5.78509204836178	3.47598666385658	layer 1_5.38509204836178_3.07598666385658	0.0437956204379562
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.34509204836178	3.09598666385658	5.74509204836178	3.49598666385658	layer 1_5.34509204836178_3.09598666385658	0.0443955604439556
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.36509204836178	3.09598666385658	5.76509204836178	3.49598666385658	layer 1_5.36509204836178_3.09598666385658	0.0362963703629637
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.38509204836178	3.09598666385658	5.78509204836178	3.49598666385658	layer 1_5.38509204836178_3.09598666385658	0.0353964603539646
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.34509204836178	3.11598666385658	5.74509204836178	3.51598666385658	layer 1_5.34509204836178_3.11598666385658	0.0418958104189581
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.36509204836178	3.11598666385658	5.76509204836178	3.51598666385658	layer 1_5.36509204836178_3.11598666385658	0.0346965303469653
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.38509204836178	3.11598666385658	5.78509204836178	3.51598666385658	layer 1_5.38509204836178_3.11598666385658	0.0337966203379662
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.30509204836178	3.13598666385658	5.70509204836178	3.53598666385658	layer 1_5.30509204836178_3.13598666385658	0.0471952804719528
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.32509204836178	3.13598666385658	5.72509204836178	3.53598666385658	layer 1_5.32509204836178_3.13598666385658	0.0463953604639536
C57BL6J-1.026	sample_2	layer 1	036 HPF CR Glut	regions_1	5.34509204836178	3.13598666385658	5.74509204836178	3.53598666385658	layer 1_5.34509204836178_3.13598666385658	0.0368963103689631
