chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	5.04874294054816	3.12718476212357	5.44874294054816	3.52718476212357	layer 2/3_5.04874294054816_3.12718476212357	0.04999500049995
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	5.06874294054816	3.12718476212357	5.46874294054816	3.52718476212357	layer 2/3_5.06874294054816_3.12718476212357	0.0367963203679632
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	5.04874294054816	3.14718476212357	5.44874294054816	3.54718476212357	layer 2/3_5.04874294054816_3.14718476212357	0.0465953404659534
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	5.06874294054816	3.14718476212357	5.46874294054816	3.54718476212357	layer 2/3_5.06874294054816_3.14718476212357	0.0367963203679632
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	5.00874294054816	3.16718476212357	5.40874294054816	3.56718476212357	layer 2/3_5.00874294054816_3.16718476212357	0.0458954104589541
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	5.02874294054816	3.16718476212357	5.42874294054816	3.56718476212357	layer 2/3_5.02874294054816_3.16718476212357	0.0458954104589541
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	5.04874294054816	3.16718476212357	5.44874294054816	3.56718476212357	layer 2/3_5.04874294054816_3.16718476212357	0.027997200279972
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	5.06874294054816	3.16718476212357	5.46874294054816	3.56718476212357	layer 2/3_5.06874294054816_3.16718476212357	0.0181981801819818
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	4.98874294054816	3.18718476212357	5.38874294054816	3.58718476212357	layer 2/3_4.98874294054816_3.18718476212357	0.0381961803819618
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	5.00874294054816	3.18718476212357	5.40874294054816	3.58718476212357	layer 2/3_5.00874294054816_3.18718476212357	0.0263973602639736
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	5.02874294054816	3.18718476212357	5.42874294054816	3.58718476212357	layer 2/3_5.02874294054816_3.18718476212357	0.0263973602639736
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	5.04874294054816	3.18718476212357	5.44874294054816	3.58718476212357	layer 2/3_5.04874294054816_3.18718476212357	0.0084991500849915
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	4.95895011674335	3.20718476212357	5.35895011674335	3.60718476212357	layer 2/3_4.95895011674335_3.20718476212357	0.0461953804619538
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	4.97895011674335	3.20718476212357	5.37895011674335	3.60718476212357	layer 2/3_4.97895011674335_3.20718476212357	0.0365963403659634
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	4.99895011674335	3.20718476212357	5.39895011674335	3.60718476212357	layer 2/3_4.99895011674335_3.20718476212357	0.0301969803019698
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	5.01895011674335	3.20718476212357	5.41895011674335	3.60718476212357	layer 2/3_5.01895011674335_3.20718476212357	0.0216978302169783
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	5.03895011674335	3.20718476212357	5.43895011674335	3.60718476212357	layer 2/3_5.03895011674335_3.20718476212357	0.0084991500849915
C57BL6J-1.026	sample_2	layer 2/3	053 Sst Gaba	regions_1	5.05895011674335	3.20718476212357	5.45895011674335	3.60718476212357	layer 2/3_5.05895011674335_3.20718476212357	0.0084991500849915
