chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.59090495592026	2.92102081307178	4.99090495592026	3.32102081307178	layer 2/3_4.59090495592026_2.92102081307178	0.0450954904509549
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.61090495592026	2.92102081307178	5.01090495592026	3.32102081307178	layer 2/3_4.61090495592026_2.92102081307178	0.0442955704429557
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.63090495592026	2.92102081307178	5.03090495592026	3.32102081307178	layer 2/3_4.63090495592026_2.92102081307178	0.0452954704529547
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.65090495592026	2.92102081307178	5.05090495592026	3.32102081307178	layer 2/3_4.65090495592026_2.92102081307178	0.0485951404859514
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.67090495592026	2.92102081307178	5.07090495592026	3.32102081307178	layer 2/3_4.67090495592026_2.92102081307178	0.0104989501049895
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.69090495592026	2.92102081307178	5.09090495592026	3.32102081307178	layer 2/3_4.69090495592026_2.92102081307178	0.0096990300969903
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.71090495592026	2.92102081307178	5.11090495592026	3.32102081307178	layer 2/3_4.71090495592026_2.92102081307178	0.0055994400559944
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.73090495592026	2.92102081307178	5.13090495592026	3.32102081307178	layer 2/3_4.73090495592026_2.92102081307178	0.0047995200479952
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.75090495592026	2.92102081307178	5.15090495592026	3.32102081307178	layer 2/3_4.75090495592026_2.92102081307178	0.0207979202079792
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.77090495592026	2.92102081307178	5.17090495592026	3.32102081307178	layer 2/3_4.77090495592026_2.92102081307178	0.0177982201779822
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.79090495592026	2.92102081307178	5.19090495592026	3.32102081307178	layer 2/3_4.79090495592026_2.92102081307178	0.0200979902009799
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.81090495592026	2.92102081307178	5.21090495592026	3.32102081307178	layer 2/3_4.81090495592026_2.92102081307178	0.0132986701329867
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.83090495592026	2.92102081307178	5.23090495592026	3.32102081307178	layer 2/3_4.83090495592026_2.92102081307178	0.0105989401059894
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.85090495592026	2.92102081307178	5.25090495592026	3.32102081307178	layer 2/3_4.85090495592026_2.92102081307178	0.0110988901109889
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.87090495592026	2.92102081307178	5.27090495592026	3.32102081307178	layer 2/3_4.87090495592026_2.92102081307178	0.0480951904809519
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.89090495592026	2.92102081307178	5.29090495592026	3.32102081307178	layer 2/3_4.89090495592026_2.92102081307178	0.0338966103389661
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.91090495592026	2.92102081307178	5.31090495592026	3.32102081307178	layer 2/3_4.91090495592026_2.92102081307178	0.0220977902209779
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.59090495592026	2.94102081307178	4.99090495592026	3.34102081307178	layer 2/3_4.59090495592026_2.94102081307178	0.0437956204379562
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.61090495592026	2.94102081307178	5.01090495592026	3.34102081307178	layer 2/3_4.61090495592026_2.94102081307178	0.0403959604039596
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.63090495592026	2.94102081307178	5.03090495592026	3.34102081307178	layer 2/3_4.63090495592026_2.94102081307178	0.0418958104189581
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.65090495592026	2.94102081307178	5.05090495592026	3.34102081307178	layer 2/3_4.65090495592026_2.94102081307178	0.0452954704529547
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.67090495592026	2.94102081307178	5.07090495592026	3.34102081307178	layer 2/3_4.67090495592026_2.94102081307178	0.00999900009999
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.69090495592026	2.94102081307178	5.09090495592026	3.34102081307178	layer 2/3_4.69090495592026_2.94102081307178	0.0097990200979902
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.71090495592026	2.94102081307178	5.11090495592026	3.34102081307178	layer 2/3_4.71090495592026_2.94102081307178	0.0065993400659934
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.73090495592026	2.94102081307178	5.13090495592026	3.34102081307178	layer 2/3_4.73090495592026_2.94102081307178	0.0058994100589941
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.75090495592026	2.94102081307178	5.15090495592026	3.34102081307178	layer 2/3_4.75090495592026_2.94102081307178	0.0252974702529747
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.77090495592026	2.94102081307178	5.17090495592026	3.34102081307178	layer 2/3_4.77090495592026_2.94102081307178	0.0222977702229777
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.79090495592026	2.94102081307178	5.19090495592026	3.34102081307178	layer 2/3_4.79090495592026_2.94102081307178	0.0247975202479752
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.81090495592026	2.94102081307178	5.21090495592026	3.34102081307178	layer 2/3_4.81090495592026_2.94102081307178	0.0178982101789821
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.83090495592026	2.94102081307178	5.23090495592026	3.34102081307178	layer 2/3_4.83090495592026_2.94102081307178	0.0032996700329967
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.85090495592026	2.94102081307178	5.25090495592026	3.34102081307178	layer 2/3_4.85090495592026_2.94102081307178	0.0034996500349965
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.87090495592026	2.94102081307178	5.27090495592026	3.34102081307178	layer 2/3_4.87090495592026_2.94102081307178	0.0154984501549845
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.89090495592026	2.94102081307178	5.29090495592026	3.34102081307178	layer 2/3_4.89090495592026_2.94102081307178	0.0097990200979902
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.91090495592026	2.94102081307178	5.31090495592026	3.34102081307178	layer 2/3_4.91090495592026_2.94102081307178	0.0061993800619938
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.93090495592026	2.94102081307178	5.33090495592026	3.34102081307178	layer 2/3_4.93090495592026_2.94102081307178	0.0253974602539746
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.95090495592026	2.94102081307178	5.35090495592026	3.34102081307178	layer 2/3_4.95090495592026_2.94102081307178	0.0194980501949805
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.59090495592026	2.96102081307178	4.99090495592026	3.36102081307178	layer 2/3_4.59090495592026_2.96102081307178	0.0407959204079592
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.61090495592026	2.96102081307178	5.01090495592026	3.36102081307178	layer 2/3_4.61090495592026_2.96102081307178	0.0425957404259574
C57BL6J-1.027	sample_2	layer 2/3	326 OPC NN	regions_1	4.63090495592026	2.96102081307178	5.03090495592026	3.36102081307178	layer 2/3_4.63090495592026_2.96102081307178	0.0428957104289571
