chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.71610614163142	2.45109226870523	4.11610614163142	2.85109226870523	layer 1_3.71610614163142_2.45109226870523	0.0232976702329767
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.73610614163142	2.45109226870523	4.13610614163142	2.85109226870523	layer 1_3.73610614163142_2.45109226870523	0.0312968703129687
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.75610614163142	2.45109226870523	4.15610614163142	2.85109226870523	layer 1_3.75610614163142_2.45109226870523	0.0326967303269673
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.77610614163142	2.45109226870523	4.17610614163142	2.85109226870523	layer 1_3.77610614163142_2.45109226870523	0.0388961103889611
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.79610614163142	2.45109226870523	4.19610614163142	2.85109226870523	layer 1_3.79610614163142_2.45109226870523	0.0425957404259574
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.81610614163142	2.45109226870523	4.21610614163142	2.85109226870523	layer 1_3.81610614163142_2.45109226870523	0.0467953204679532
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.72582563125217	2.47109226870523	4.12582563125217	2.87109226870523	layer 1_3.72582563125217_2.47109226870523	0.0314968503149685
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.74582563125217	2.47109226870523	4.14582563125217	2.87109226870523	layer 1_3.74582563125217_2.47109226870523	0.0380961903809619
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.76582563125217	2.47109226870523	4.16582563125217	2.87109226870523	layer 1_3.76582563125217_2.47109226870523	0.0400959904009599
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.78582563125217	2.47109226870523	4.18582563125217	2.87109226870523	layer 1_3.78582563125217_2.47109226870523	0.0480951904809519
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.72582563125217	2.49109226870523	4.12582563125217	2.89109226870523	layer 1_3.72582563125217_2.49109226870523	0.03999600039996
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.74582563125217	2.49109226870523	4.14582563125217	2.89109226870523	layer 1_3.74582563125217_2.49109226870523	0.0467953204679532
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.76582563125217	2.49109226870523	4.16582563125217	2.89109226870523	layer 1_3.76582563125217_2.49109226870523	0.0491950804919508
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.6042887404463	2.55109226870523	4.0042887404463	2.95109226870523	layer 1_3.6042887404463_2.55109226870523	0.0303969603039696
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.6242887404463	2.55109226870523	4.0242887404463	2.95109226870523	layer 1_3.6242887404463_2.55109226870523	0.0323967603239676
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.6442887404463	2.55109226870523	4.0442887404463	2.95109226870523	layer 1_3.6442887404463_2.55109226870523	0.0373962603739626
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.6642887404463	2.55109226870523	4.0642887404463	2.95109226870523	layer 1_3.6642887404463_2.55109226870523	0.0425957404259574
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.7242887404463	2.55109226870523	4.1242887404463	2.95109226870523	layer 1_3.7242887404463_2.55109226870523	0.0048995100489951
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.7442887404463	2.55109226870523	4.1442887404463	2.95109226870523	layer 1_3.7442887404463_2.55109226870523	0.0054994500549945
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.7642887404463	2.55109226870523	4.1642887404463	2.95109226870523	layer 1_3.7642887404463_2.55109226870523	0.0058994100589941
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.7842887404463	2.55109226870523	4.1842887404463	2.95109226870523	layer 1_3.7842887404463_2.55109226870523	0.0068993100689931
C57BL6J-1.028	sample_2	layer 1	328 OEC NN	regions_1	3.61189248402692	2.57109226870523	4.01189248402692	2.97109226870523	layer 1_3.61189248402692_2.57109226870523	0.035996400359964
