chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.06234282844387	2.69763575737865	4.46234282844387	3.09763575737865	layer 2/3_4.06234282844387_2.69763575737865	0.0315968403159684
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.16234282844387	2.69763575737865	4.56234282844387	3.09763575737865	layer 2/3_4.16234282844387_2.69763575737865	0.0123987601239876
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.18234282844387	2.69763575737865	4.58234282844387	3.09763575737865	layer 2/3_4.18234282844387_2.69763575737865	0.0064993500649935
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.20234282844387	2.69763575737865	4.60234282844387	3.09763575737865	layer 2/3_4.20234282844387_2.69763575737865	0.0035996400359964
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.22234282844387	2.69763575737865	4.62234282844387	3.09763575737865	layer 2/3_4.22234282844387_2.69763575737865	0.0021997800219978
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.24234282844387	2.69763575737865	4.64234282844387	3.09763575737865	layer 2/3_4.24234282844387_2.69763575737865	0.0025997400259974
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.34234282844387	2.69763575737865	4.74234282844387	3.09763575737865	layer 2/3_4.34234282844387_2.69763575737865	0.0396960303969603
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.36234282844387	2.69763575737865	4.76234282844387	3.09763575737865	layer 2/3_4.36234282844387_2.69763575737865	0.0340965903409659
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.38234282844387	2.69763575737865	4.78234282844387	3.09763575737865	layer 2/3_4.38234282844387_2.69763575737865	0.0235976402359764
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.40234282844387	2.69763575737865	4.80234282844387	3.09763575737865	layer 2/3_4.40234282844387_2.69763575737865	0.0394960503949605
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.15245252415796	2.71763575737865	4.55245252415796	3.11763575737865	layer 2/3_4.15245252415796_2.71763575737865	0.0386961303869613
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.17245252415796	2.71763575737865	4.57245252415796	3.11763575737865	layer 2/3_4.17245252415796_2.71763575737865	0.0173982601739826
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.19245252415796	2.71763575737865	4.59245252415796	3.11763575737865	layer 2/3_4.19245252415796_2.71763575737865	0.0045995400459954
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.21245252415796	2.71763575737865	4.61245252415796	3.11763575737865	layer 2/3_4.21245252415796_2.71763575737865	0.0040995900409959
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.23245252415796	2.71763575737865	4.63245252415796	3.11763575737865	layer 2/3_4.23245252415796_2.71763575737865	0.0055994400559944
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.25245252415796	2.71763575737865	4.65245252415796	3.11763575737865	layer 2/3_4.25245252415796_2.71763575737865	0.0218978102189781
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.35245252415796	2.71763575737865	4.75245252415796	3.11763575737865	layer 2/3_4.35245252415796_2.71763575737865	0.0351964803519648
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.37245252415796	2.71763575737865	4.77245252415796	3.11763575737865	layer 2/3_4.37245252415796_2.71763575737865	0.0442955704429557
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.41245252415796	2.71763575737865	4.81245252415796	3.11763575737865	layer 2/3_4.41245252415796_2.71763575737865	0.0447955204479552
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	3.98877873393245	2.73763575737865	4.38877873393245	3.13763575737865	layer 2/3_3.98877873393245_2.73763575737865	0.0411958804119588
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.06877873393245	2.73763575737865	4.46877873393245	3.13763575737865	layer 2/3_4.06877873393245_2.73763575737865	0.0366963303669633
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.16877873393245	2.73763575737865	4.56877873393245	3.13763575737865	layer 2/3_4.16877873393245_2.73763575737865	0.0434956504349565
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.18877873393245	2.73763575737865	4.58877873393245	3.13763575737865	layer 2/3_4.18877873393245_2.73763575737865	0.0306969303069693
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.20877873393245	2.73763575737865	4.60877873393245	3.13763575737865	layer 2/3_4.20877873393245_2.73763575737865	0.0120987901209879
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.22877873393245	2.73763575737865	4.62877873393245	3.13763575737865	layer 2/3_4.22877873393245_2.73763575737865	0.0154984501549845
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.24877873393245	2.73763575737865	4.64877873393245	3.13763575737865	layer 2/3_4.24877873393245_2.73763575737865	0.0242975702429757
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.34877873393245	2.73763575737865	4.74877873393245	3.13763575737865	layer 2/3_4.34877873393245_2.73763575737865	0.0376962303769623
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.36877873393245	2.73763575737865	4.76877873393245	3.13763575737865	layer 2/3_4.36877873393245_2.73763575737865	0.0455954404559544
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	3.98877873393245	2.75763575737865	4.38877873393245	3.15763575737865	layer 2/3_3.98877873393245_2.75763575737865	0.0254974502549745
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.04877873393245	2.75763575737865	4.44877873393245	3.15763575737865	layer 2/3_4.04877873393245_2.75763575737865	0.0421957804219578
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.06877873393245	2.75763575737865	4.46877873393245	3.15763575737865	layer 2/3_4.06877873393245_2.75763575737865	0.0200979902009799
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.08877873393245	2.75763575737865	4.48877873393245	3.15763575737865	layer 2/3_4.08877873393245_2.75763575737865	0.0474952504749525
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.16877873393245	2.75763575737865	4.56877873393245	3.15763575737865	layer 2/3_4.16877873393245_2.75763575737865	0.0366963303669633
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.18877873393245	2.75763575737865	4.58877873393245	3.15763575737865	layer 2/3_4.18877873393245_2.75763575737865	0.0212978702129787
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.20877873393245	2.75763575737865	4.60877873393245	3.15763575737865	layer 2/3_4.20877873393245_2.75763575737865	0.0057994200579942
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.22877873393245	2.75763575737865	4.62877873393245	3.15763575737865	layer 2/3_4.22877873393245_2.75763575737865	0.0050994900509949
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.24877873393245	2.75763575737865	4.64877873393245	3.15763575737865	layer 2/3_4.24877873393245_2.75763575737865	0.0122987701229877
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.34877873393245	2.75763575737865	4.74877873393245	3.15763575737865	layer 2/3_4.34877873393245_2.75763575737865	0.0195980401959804
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.36877873393245	2.75763575737865	4.76877873393245	3.15763575737865	layer 2/3_4.36877873393245_2.75763575737865	0.0210978902109789
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.40877873393245	2.75763575737865	4.80877873393245	3.15763575737865	layer 2/3_4.40877873393245_2.75763575737865	0.0345965403459654
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.52877873393245	2.75763575737865	4.92877873393245	3.15763575737865	layer 2/3_4.52877873393245_2.75763575737865	0.0491950804919508
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	3.98527197082161	2.77763575737865	4.38527197082161	3.17763575737865	layer 2/3_3.98527197082161_2.77763575737865	0.0400959904009599
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.06527197082161	2.77763575737865	4.46527197082161	3.17763575737865	layer 2/3_4.06527197082161_2.77763575737865	0.0204979502049795
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.08527197082161	2.77763575737865	4.48527197082161	3.17763575737865	layer 2/3_4.08527197082161_2.77763575737865	0.0406959304069593
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.16527197082161	2.77763575737865	4.56527197082161	3.17763575737865	layer 2/3_4.16527197082161_2.77763575737865	0.0344965503449655
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.18527197082161	2.77763575737865	4.58527197082161	3.17763575737865	layer 2/3_4.18527197082161_2.77763575737865	0.0195980401959804
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.20527197082161	2.77763575737865	4.60527197082161	3.17763575737865	layer 2/3_4.20527197082161_2.77763575737865	0.0062993700629937
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.22527197082161	2.77763575737865	4.62527197082161	3.17763575737865	layer 2/3_4.22527197082161_2.77763575737865	0.0083991600839916
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.24527197082161	2.77763575737865	4.64527197082161	3.17763575737865	layer 2/3_4.24527197082161_2.77763575737865	0.0083991600839916
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.34527197082161	2.77763575737865	4.74527197082161	3.17763575737865	layer 2/3_4.34527197082161_2.77763575737865	0.034996500349965
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.06527197082161	2.79763575737865	4.46527197082161	3.19763575737865	layer 2/3_4.06527197082161_2.79763575737865	0.0404959504049595
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.18527197082161	2.79763575737865	4.58527197082161	3.19763575737865	layer 2/3_4.18527197082161_2.79763575737865	0.0375962403759624
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.20527197082161	2.79763575737865	4.60527197082161	3.19763575737865	layer 2/3_4.20527197082161_2.79763575737865	0.0134986501349865
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.22527197082161	2.79763575737865	4.62527197082161	3.19763575737865	layer 2/3_4.22527197082161_2.79763575737865	0.0151984801519848
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.24527197082161	2.79763575737865	4.64527197082161	3.19763575737865	layer 2/3_4.24527197082161_2.79763575737865	0.0138986101389861
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.34527197082161	2.79763575737865	4.74527197082161	3.19763575737865	layer 2/3_4.34527197082161_2.79763575737865	0.013998600139986
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.36527197082161	2.79763575737865	4.76527197082161	3.19763575737865	layer 2/3_4.36527197082161_2.79763575737865	0.0234976502349765
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.38527197082161	2.79763575737865	4.78527197082161	3.19763575737865	layer 2/3_4.38527197082161_2.79763575737865	0.0393960603939606
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.40527197082161	2.79763575737865	4.80527197082161	3.19763575737865	layer 2/3_4.40527197082161_2.79763575737865	0.0365963403659634
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	3.98527197082161	2.81763575737865	4.38527197082161	3.21763575737865	layer 2/3_3.98527197082161_2.81763575737865	0.040995900409959
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.06527197082161	2.81763575737865	4.46527197082161	3.21763575737865	layer 2/3_4.06527197082161_2.81763575737865	0.015998400159984
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.08527197082161	2.81763575737865	4.48527197082161	3.21763575737865	layer 2/3_4.08527197082161_2.81763575737865	0.024997500249975
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.16527197082161	2.81763575737865	4.56527197082161	3.21763575737865	layer 2/3_4.16527197082161_2.81763575737865	0.0338966103389661
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.18527197082161	2.81763575737865	4.58527197082161	3.21763575737865	layer 2/3_4.18527197082161_2.81763575737865	0.022997700229977
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.20527197082161	2.81763575737865	4.60527197082161	3.21763575737865	layer 2/3_4.20527197082161_2.81763575737865	0.0097990200979902
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.22527197082161	2.81763575737865	4.62527197082161	3.21763575737865	layer 2/3_4.22527197082161_2.81763575737865	0.0101989801019898
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.24527197082161	2.81763575737865	4.64527197082161	3.21763575737865	layer 2/3_4.24527197082161_2.81763575737865	0.0094990500949905
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.26527197082161	2.81763575737865	4.66527197082161	3.21763575737865	layer 2/3_4.26527197082161_2.81763575737865	0.0448955104489551
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.28527197082161	2.81763575737865	4.68527197082161	3.21763575737865	layer 2/3_4.28527197082161_2.81763575737865	0.0453954604539546
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.34527197082161	2.81763575737865	4.74527197082161	3.21763575737865	layer 2/3_4.34527197082161_2.81763575737865	0.0166983301669833
C57BL6J-1.028	sample_2	layer 2/3	319 Astro-TE NN	regions_1	4.36527197082161	2.81763575737865	4.76527197082161	3.21763575737865	layer 2/3_4.36527197082161_2.81763575737865	0.0477952204779522
