chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.39552950058877	2.90217100283504	3.79552950058877	3.30217100283504	layer 1_3.39552950058877_2.90217100283504	0.0440955904409559
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.39552950058877	2.92217100283504	3.79552950058877	3.32217100283504	layer 1_3.39552950058877_2.92217100283504	0.0426957304269573
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.39552950058877	2.94217100283504	3.79552950058877	3.34217100283504	layer 1_3.39552950058877_2.94217100283504	0.0425957404259574
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.37552950058877	2.96217100283504	3.77552950058877	3.36217100283504	layer 1_3.37552950058877_2.96217100283504	0.0496950304969503
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.39552950058877	2.96217100283504	3.79552950058877	3.36217100283504	layer 1_3.39552950058877_2.96217100283504	0.0422957704229577
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.36757100126147	2.98217100283504	3.76757100126147	3.38217100283504	layer 1_3.36757100126147_2.98217100283504	0.0495950404959504
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.38757100126147	2.98217100283504	3.78757100126147	3.38217100283504	layer 1_3.38757100126147_2.98217100283504	0.041995800419958
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.40757100126147	2.98217100283504	3.80757100126147	3.38217100283504	layer 1_3.40757100126147_2.98217100283504	0.0397960203979602
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.38757100126147	3.00217100283504	3.78757100126147	3.40217100283504	layer 1_3.38757100126147_3.00217100283504	0.0468953104689531
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.40757100126147	3.00217100283504	3.80757100126147	3.40217100283504	layer 1_3.40757100126147_3.00217100283504	0.0446955304469553
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.38757100126147	3.02217100283504	3.78757100126147	3.42217100283504	layer 1_3.38757100126147_3.02217100283504	0.0473952604739526
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.40757100126147	3.02217100283504	3.80757100126147	3.42217100283504	layer 1_3.40757100126147_3.02217100283504	0.0451954804519548
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.38757100126147	3.04217100283504	3.78757100126147	3.44217100283504	layer 1_3.38757100126147_3.04217100283504	0.0466953304669533
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.40757100126147	3.04217100283504	3.80757100126147	3.44217100283504	layer 1_3.40757100126147_3.04217100283504	0.0454954504549545
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.38757100126147	3.06217100283504	3.78757100126147	3.46217100283504	layer 1_3.38757100126147_3.06217100283504	0.0442955704429557
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.40757100126147	3.06217100283504	3.80757100126147	3.46217100283504	layer 1_3.40757100126147_3.06217100283504	0.0430956904309569
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.38757100126147	3.08217100283504	3.78757100126147	3.48217100283504	layer 1_3.38757100126147_3.08217100283504	0.0482951704829517
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.40757100126147	3.08217100283504	3.80757100126147	3.48217100283504	layer 1_3.40757100126147_3.08217100283504	0.0451954804519548
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.38757100126147	3.10217100283504	3.78757100126147	3.50217100283504	layer 1_3.38757100126147_3.10217100283504	0.0496950304969503
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.40757100126147	3.10217100283504	3.80757100126147	3.50217100283504	layer 1_3.40757100126147_3.10217100283504	0.0465953404659534
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.40757100126147	3.12217100283504	3.80757100126147	3.52217100283504	layer 1_3.40757100126147_3.12217100283504	0.0486951304869513
C57BL6J-1.029	sample_2	layer 1	320 Astro-OLF NN	regions_1	3.40757100126147	3.14217100283504	3.80757100126147	3.54217100283504	layer 1_3.40757100126147_3.14217100283504	0.0496950304969503
