chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.3997230014503	2.28217100283504	5.7997230014503	2.68217100283504	layer 1_5.3997230014503_2.28217100283504	0.048995100489951
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.4197230014503	2.28217100283504	5.8197230014503	2.68217100283504	layer 1_5.4197230014503_2.28217100283504	0.0420957904209579
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.4397230014503	2.28217100283504	5.8397230014503	2.68217100283504	layer 1_5.4397230014503_2.28217100283504	0.027997200279972
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.4197230014503	2.30217100283504	5.8197230014503	2.70217100283504	layer 1_5.4197230014503_2.30217100283504	0.0490950904909509
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.4397230014503	2.30217100283504	5.8397230014503	2.70217100283504	layer 1_5.4397230014503_2.30217100283504	0.0346965303469653
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.4242995018214	2.32217100283504	5.8242995018214	2.72217100283504	layer 1_5.4242995018214_2.32217100283504	0.0484951504849515
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.4442995018214	2.32217100283504	5.8442995018214	2.72217100283504	layer 1_5.4442995018214_2.32217100283504	0.0325967403259674
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.1375445010215	2.50217100283504	5.5375445010215	2.90217100283504	layer 1_5.1375445010215_2.50217100283504	0.0443955604439556
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.149095501706	2.52217100283504	5.549095501706	2.92217100283504	layer 1_5.149095501706_2.52217100283504	0.042995700429957
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.14518349795043	2.54217100283504	5.54518349795043	2.94217100283504	layer 1_5.14518349795043_2.54217100283504	0.0296970302969703
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.16518349795043	2.54217100283504	5.56518349795043	2.94217100283504	layer 1_5.16518349795043_2.54217100283504	0.0403959604039596
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.06365449894965	2.64217100283504	5.46365449894965	3.04217100283504	layer 1_5.06365449894965_2.64217100283504	0.0374962503749625
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.05242749921978	2.66217100283504	5.45242749921978	3.06217100283504	layer 1_5.05242749921978_2.66217100283504	0.0195980401959804
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.07242749921978	2.66217100283504	5.47242749921978	3.06217100283504	layer 1_5.07242749921978_2.66217100283504	0.0290970902909709
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_1	5.09242749921978	2.66217100283504	5.49242749921978	3.06217100283504	layer 1_5.09242749921978_2.66217100283504	0.0468953104689531
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_2	3.51242749921978	2.70217100283504	3.91242749921978	3.10217100283504	layer 1_3.51242749921978_2.70217100283504	0.0493950604939506
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_2	3.51242749921978	2.72217100283504	3.91242749921978	3.12217100283504	layer 1_3.51242749921978_2.72217100283504	0.0434956504349565
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_2	3.50839299979806	2.74217100283504	3.90839299979806	3.14217100283504	layer 1_3.50839299979806_2.74217100283504	0.0354964503549645
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_2	3.49552950058877	2.76217100283504	3.89552950058877	3.16217100283504	layer 1_3.49552950058877_2.76217100283504	0.0373962603739626
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_2	3.51552950058877	2.76217100283504	3.91552950058877	3.16217100283504	layer 1_3.51552950058877_2.76217100283504	0.0275972402759724
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_3	3.93220650018752	3.88217100283504	4.33220650018752	4.28217100283504	layer 1_3.93220650018752_3.88217100283504	0.0466953304669533
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_3	3.89220650018752	3.90217100283504	4.29220650018752	4.30217100283504	layer 1_3.89220650018752_3.90217100283504	0.0492950704929507
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_3	3.91220650018752	3.90217100283504	4.31220650018752	4.30217100283504	layer 1_3.91220650018752_3.90217100283504	0.0474952504749525
C57BL6J-1.029	sample_2	layer 1	329 ABC NN	regions_3	3.93220650018752	3.90217100283504	4.33220650018752	4.30217100283504	layer 1_3.93220650018752_3.90217100283504	0.0372962703729627
