chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_1	4.18447349844873	2.46876400315762	4.58447349844873	2.86876400315762	layer 2/3_4.18447349844873_2.46876400315762	0.0225977402259774
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_1	4.20447349844873	2.46876400315762	4.60447349844873	2.86876400315762	layer 2/3_4.20447349844873_2.46876400315762	0.0300969903009699
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_1	4.16447349844873	2.48876400315762	4.56447349844873	2.88876400315762	layer 2/3_4.16447349844873_2.48876400315762	0.0478952104789521
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_1	4.18447349844873	2.48876400315762	4.58447349844873	2.88876400315762	layer 2/3_4.18447349844873_2.48876400315762	0.0183981601839816
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_1	4.20447349844873	2.48876400315762	4.60447349844873	2.88876400315762	layer 2/3_4.20447349844873_2.48876400315762	0.0243975602439756
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_1	4.22447349844873	2.48876400315762	4.62447349844873	2.88876400315762	layer 2/3_4.22447349844873_2.48876400315762	0.0441955804419558
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_1	4.45962299856544	2.70876400315762	4.85962299856544	3.10876400315762	layer 2/3_4.45962299856544_2.70876400315762	0.0382961703829617
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_1	4.17100899973512	2.98876400315762	4.57100899973512	3.38876400315762	layer 2/3_4.17100899973512_2.98876400315762	0.0302969703029697
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_2	5.36447349844873	2.46876400315762	5.76447349844873	2.86876400315762	layer 2/3_5.36447349844873_2.46876400315762	0.0478952104789521
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_2	5.38447349844873	2.46876400315762	5.78447349844873	2.86876400315762	layer 2/3_5.38447349844873_2.46876400315762	0.0194980501949805
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_2	5.40447349844873	2.46876400315762	5.80447349844873	2.86876400315762	layer 2/3_5.40447349844873_2.46876400315762	0.0376962303769623
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_2	5.42447349844873	2.46876400315762	5.82447349844873	2.86876400315762	layer 2/3_5.42447349844873_2.46876400315762	0.0307969203079692
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_2	5.36447349844873	2.48876400315762	5.76447349844873	2.88876400315762	layer 2/3_5.36447349844873_2.48876400315762	0.0478952104789521
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_2	5.38447349844873	2.48876400315762	5.78447349844873	2.88876400315762	layer 2/3_5.38447349844873_2.48876400315762	0.0194980501949805
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_2	5.40447349844873	2.48876400315762	5.80447349844873	2.88876400315762	layer 2/3_5.40447349844873_2.48876400315762	0.0376962303769623
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_2	5.42447349844873	2.48876400315762	5.82447349844873	2.88876400315762	layer 2/3_5.42447349844873_2.48876400315762	0.0307969203079692
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_2	5.39531749866903	2.50876400315762	5.79531749866903	2.90876400315762	layer 2/3_5.39531749866903_2.50876400315762	0.0283971602839716
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_2	5.38882300171256	2.52876400315762	5.78882300171256	2.92876400315762	layer 2/3_5.38882300171256_2.52876400315762	0.0390960903909609
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_2	5.42882300171256	2.52876400315762	5.82882300171256	2.92876400315762	layer 2/3_5.42882300171256_2.52876400315762	0.0461953804619538
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_3	4.17012950216234	3.50876400315762	4.57012950216234	3.90876400315762	layer 2/3_4.17012950216234_3.50876400315762	0.032996700329967
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_3	4.15432600206137	3.52876400315762	4.55432600206137	3.92876400315762	layer 2/3_4.15432600206137_3.52876400315762	0.0385961403859614
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_3	4.17432600206137	3.52876400315762	4.57432600206137	3.92876400315762	layer 2/3_4.17432600206137_3.52876400315762	0.0235976402359764
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_3	4.19432600206137	3.52876400315762	4.59432600206137	3.92876400315762	layer 2/3_4.19432600206137_3.52876400315762	0.0412958704129587
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_3	4.17748700198531	3.54876400315762	4.57748700198531	3.94876400315762	layer 2/3_4.17748700198531_3.54876400315762	0.035996400359964
C57BL6J-1.029	sample_2	layer 2/3	334 Microglia NN	regions_3	4.19748700198531	3.54876400315762	4.59748700198531	3.94876400315762	layer 2/3_4.19748700198531_3.54876400315762	0.0453954604539546
