chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.37100899973512	2.84876400315762	4.77100899973512	3.24876400315762	layer 2/3_4.37100899973512_2.84876400315762	0.0498950104989501
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.39100899973512	2.84876400315762	4.79100899973512	3.24876400315762	layer 2/3_4.39100899973512_2.84876400315762	0.0455954404559544
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.41100899973512	2.84876400315762	4.81100899973512	3.24876400315762	layer 2/3_4.41100899973512_2.84876400315762	0.0416958304169583
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.43100899973512	2.84876400315762	4.83100899973512	3.24876400315762	layer 2/3_4.43100899973512_2.84876400315762	0.0400959904009599
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.45100899973512	2.84876400315762	4.85100899973512	3.24876400315762	layer 2/3_4.45100899973512_2.84876400315762	0.0381961803819618
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.47100899973512	2.84876400315762	4.87100899973512	3.24876400315762	layer 2/3_4.47100899973512_2.84876400315762	0.0365963403659634
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.49100899973512	2.84876400315762	4.89100899973512	3.24876400315762	layer 2/3_4.49100899973512_2.84876400315762	0.0322967703229677
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.51100899973512	2.84876400315762	4.91100899973512	3.24876400315762	layer 2/3_4.51100899973512_2.84876400315762	0.0297970202979702
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.53100899973512	2.84876400315762	4.93100899973512	3.24876400315762	layer 2/3_4.53100899973512_2.84876400315762	0.0278972102789721
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.55100899973512	2.84876400315762	4.95100899973512	3.24876400315762	layer 2/3_4.55100899973512_2.84876400315762	0.0253974602539746
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.57100899973512	2.84876400315762	4.97100899973512	3.24876400315762	layer 2/3_4.57100899973512_2.84876400315762	0.0226977302269773
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.59100899973512	2.84876400315762	4.99100899973512	3.24876400315762	layer 2/3_4.59100899973512_2.84876400315762	0.0213978602139786
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.61100899973512	2.84876400315762	5.01100899973512	3.24876400315762	layer 2/3_4.61100899973512_2.84876400315762	0.0194980501949805
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.63100899973512	2.84876400315762	5.03100899973512	3.24876400315762	layer 2/3_4.63100899973512_2.84876400315762	0.0184981501849815
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.65100899973512	2.84876400315762	5.05100899973512	3.24876400315762	layer 2/3_4.65100899973512_2.84876400315762	0.0154984501549845
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.67100899973512	2.84876400315762	5.07100899973512	3.24876400315762	layer 2/3_4.67100899973512_2.84876400315762	0.0134986501349865
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.69100899973512	2.84876400315762	5.09100899973512	3.24876400315762	layer 2/3_4.69100899973512_2.84876400315762	0.0108989101089891
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.71100899973512	2.84876400315762	5.11100899973512	3.24876400315762	layer 2/3_4.71100899973512_2.84876400315762	0.0104989501049895
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.39100899973512	2.86876400315762	4.79100899973512	3.26876400315762	layer 2/3_4.39100899973512_2.86876400315762	0.0490950904909509
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.41100899973512	2.86876400315762	4.81100899973512	3.26876400315762	layer 2/3_4.41100899973512_2.86876400315762	0.0451954804519548
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.43100899973512	2.86876400315762	4.83100899973512	3.26876400315762	layer 2/3_4.43100899973512_2.86876400315762	0.0435956404359564
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.45100899973512	2.86876400315762	4.85100899973512	3.26876400315762	layer 2/3_4.45100899973512_2.86876400315762	0.0411958804119588
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.47100899973512	2.86876400315762	4.87100899973512	3.26876400315762	layer 2/3_4.47100899973512_2.86876400315762	0.0390960903909609
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.49100899973512	2.86876400315762	4.89100899973512	3.26876400315762	layer 2/3_4.49100899973512_2.86876400315762	0.0347965203479652
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.51100899973512	2.86876400315762	4.91100899973512	3.26876400315762	layer 2/3_4.51100899973512_2.86876400315762	0.0322967703229677
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.53100899973512	2.86876400315762	4.93100899973512	3.26876400315762	layer 2/3_4.53100899973512_2.86876400315762	0.0303969603039696
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.55100899973512	2.86876400315762	4.95100899973512	3.26876400315762	layer 2/3_4.55100899973512_2.86876400315762	0.0277972202779722
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.57100899973512	2.86876400315762	4.97100899973512	3.26876400315762	layer 2/3_4.57100899973512_2.86876400315762	0.0251974802519748
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.59100899973512	2.86876400315762	4.99100899973512	3.26876400315762	layer 2/3_4.59100899973512_2.86876400315762	0.0238976102389761
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.61100899973512	2.86876400315762	5.01100899973512	3.26876400315762	layer 2/3_4.61100899973512_2.86876400315762	0.021997800219978
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.63100899973512	2.86876400315762	5.03100899973512	3.26876400315762	layer 2/3_4.63100899973512_2.86876400315762	0.0201979802019798
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.65100899973512	2.86876400315762	5.05100899973512	3.26876400315762	layer 2/3_4.65100899973512_2.86876400315762	0.0177982201779822
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.67100899973512	2.86876400315762	5.07100899973512	3.26876400315762	layer 2/3_4.67100899973512_2.86876400315762	0.0157984201579842
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.69100899973512	2.86876400315762	5.09100899973512	3.26876400315762	layer 2/3_4.69100899973512_2.86876400315762	0.0128987101289871
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.71100899973512	2.86876400315762	5.11100899973512	3.26876400315762	layer 2/3_4.71100899973512_2.86876400315762	0.0124987501249875
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.41100899973512	2.88876400315762	4.81100899973512	3.28876400315762	layer 2/3_4.41100899973512_2.88876400315762	0.0471952804719528
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.43100899973512	2.88876400315762	4.83100899973512	3.28876400315762	layer 2/3_4.43100899973512_2.88876400315762	0.0462953704629537
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.45100899973512	2.88876400315762	4.85100899973512	3.28876400315762	layer 2/3_4.45100899973512_2.88876400315762	0.0432956704329567
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.47100899973512	2.88876400315762	4.87100899973512	3.28876400315762	layer 2/3_4.47100899973512_2.88876400315762	0.0415958404159584
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.49100899973512	2.88876400315762	4.89100899973512	3.28876400315762	layer 2/3_4.49100899973512_2.88876400315762	0.0366963303669633
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.51100899973512	2.88876400315762	4.91100899973512	3.28876400315762	layer 2/3_4.51100899973512_2.88876400315762	0.0341965803419658
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.53100899973512	2.88876400315762	4.93100899973512	3.28876400315762	layer 2/3_4.53100899973512_2.88876400315762	0.0317968203179682
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.55100899973512	2.88876400315762	4.95100899973512	3.28876400315762	layer 2/3_4.55100899973512_2.88876400315762	0.0291970802919708
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.57100899973512	2.88876400315762	4.97100899973512	3.28876400315762	layer 2/3_4.57100899973512_2.88876400315762	0.0267973202679732
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.59100899973512	2.88876400315762	4.99100899973512	3.28876400315762	layer 2/3_4.59100899973512_2.88876400315762	0.0262973702629737
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.61100899973512	2.88876400315762	5.01100899973512	3.28876400315762	layer 2/3_4.61100899973512_2.88876400315762	0.0243975602439756
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.63100899973512	2.88876400315762	5.03100899973512	3.28876400315762	layer 2/3_4.63100899973512_2.88876400315762	0.0225977402259774
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.65100899973512	2.88876400315762	5.05100899973512	3.28876400315762	layer 2/3_4.65100899973512_2.88876400315762	0.0195980401959804
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.67100899973512	2.88876400315762	5.07100899973512	3.28876400315762	layer 2/3_4.67100899973512_2.88876400315762	0.0175982401759824
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.69100899973512	2.88876400315762	5.09100899973512	3.28876400315762	layer 2/3_4.69100899973512_2.88876400315762	0.0150984901509849
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.71100899973512	2.88876400315762	5.11100899973512	3.28876400315762	layer 2/3_4.71100899973512_2.88876400315762	0.0143985601439856
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.41100899973512	2.90876400315762	4.81100899973512	3.30876400315762	layer 2/3_4.41100899973512_2.90876400315762	0.0480951904809519
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.43100899973512	2.90876400315762	4.83100899973512	3.30876400315762	layer 2/3_4.43100899973512_2.90876400315762	0.0476952304769523
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.45100899973512	2.90876400315762	4.85100899973512	3.30876400315762	layer 2/3_4.45100899973512_2.90876400315762	0.0456954304569543
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.47100899973512	2.90876400315762	4.87100899973512	3.30876400315762	layer 2/3_4.47100899973512_2.90876400315762	0.0445955404459554
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.49100899973512	2.90876400315762	4.89100899973512	3.30876400315762	layer 2/3_4.49100899973512_2.90876400315762	0.0396960303969603
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.51100899973512	2.90876400315762	4.91100899973512	3.30876400315762	layer 2/3_4.51100899973512_2.90876400315762	0.0371962803719628
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.53100899973512	2.90876400315762	4.93100899973512	3.30876400315762	layer 2/3_4.53100899973512_2.90876400315762	0.0342965703429657
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.55100899973512	2.90876400315762	4.95100899973512	3.30876400315762	layer 2/3_4.55100899973512_2.90876400315762	0.0321967803219678
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.57100899973512	2.90876400315762	4.97100899973512	3.30876400315762	layer 2/3_4.57100899973512_2.90876400315762	0.0302969703029697
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.59100899973512	2.90876400315762	4.99100899973512	3.30876400315762	layer 2/3_4.59100899973512_2.90876400315762	0.0301969803019698
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.61100899973512	2.90876400315762	5.01100899973512	3.30876400315762	layer 2/3_4.61100899973512_2.90876400315762	0.0282971702829717
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.63100899973512	2.90876400315762	5.03100899973512	3.30876400315762	layer 2/3_4.63100899973512_2.90876400315762	0.0264973502649735
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.65100899973512	2.90876400315762	5.05100899973512	3.30876400315762	layer 2/3_4.65100899973512_2.90876400315762	0.0241975802419758
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.67100899973512	2.90876400315762	5.07100899973512	3.30876400315762	layer 2/3_4.67100899973512_2.90876400315762	0.0212978702129787
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.69100899973512	2.90876400315762	5.09100899973512	3.30876400315762	layer 2/3_4.69100899973512_2.90876400315762	0.0187981201879812
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.71100899973512	2.90876400315762	5.11100899973512	3.30876400315762	layer 2/3_4.71100899973512_2.90876400315762	0.0185981401859814
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.43100899973512	2.92876400315762	4.83100899973512	3.32876400315762	layer 2/3_4.43100899973512_2.92876400315762	0.0497950204979502
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.45100899973512	2.92876400315762	4.85100899973512	3.32876400315762	layer 2/3_4.45100899973512_2.92876400315762	0.0477952204779522
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.47100899973512	2.92876400315762	4.87100899973512	3.32876400315762	layer 2/3_4.47100899973512_2.92876400315762	0.045995400459954
C57BL6J-1.029	sample_2	layer 2/3	338 Lymphoid NN	regions_1	4.49100899973512	2.92876400315762	4.89100899973512	3.32876400315762	layer 2/3_4.49100899973512_2.92876400315762	0.0415958404159584
