brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-1.093	Anterolateral visual area	layer 1	10	8	18	0.555555555555556	0.444444444444444
C57BL6J-1.093	Anterolateral visual area	layer 2/3	148	13	161	0.919254658385093	0.0807453416149068
C57BL6J-1.093	Anterolateral visual area	layer 4	57	9	66	0.863636363636364	0.136363636363636
C57BL6J-1.093	Anterolateral visual area	layer 5	62	17	79	0.784810126582278	0.215189873417722
C57BL6J-1.093	Anterolateral visual area	layer 6a	67	5	72	0.930555555555556	0.0694444444444444
C57BL6J-1.093	Anterolateral visual area	layer 6b	7	0	7	1	0
C57BL6J-1.093	Anteromedial visual area	layer 6a	1	0	1	1	0
C57BL6J-1.093	Anteromedial visual area	layer 6b	1	0	1	1	0
C57BL6J-1.093	Perirhinal area	layer 1	0	1	1	0	1
C57BL6J-1.093	Perirhinal area	layer 2/3	8	3	11	0.727272727272727	0.272727272727273
C57BL6J-1.093	Perirhinal area	layer 5	10	1	11	0.909090909090909	0.0909090909090909
C57BL6J-1.093	Perirhinal area	layer 6a	3	2	5	0.6	0.4
C57BL6J-1.093	Posterior auditory area	layer 1	9	4	13	0.692307692307692	0.307692307692308
C57BL6J-1.093	Posterior auditory area	layer 2/3	95	9	104	0.913461538461538	0.0865384615384615
C57BL6J-1.093	Posterior auditory area	layer 4	23	8	31	0.741935483870968	0.258064516129032
C57BL6J-1.093	Posterior auditory area	layer 5	59	17	76	0.776315789473684	0.223684210526316
C57BL6J-1.093	Posterior auditory area	layer 6a	52	3	55	0.945454545454545	0.0545454545454545
C57BL6J-1.093	Posterior auditory area	layer 6b	6	0	6	1	0
C57BL6J-1.093	Primary auditory area	layer 1	54	7	61	0.885245901639344	0.114754098360656
C57BL6J-1.093	Primary auditory area	layer 2/3	179	17	196	0.913265306122449	0.086734693877551
C57BL6J-1.093	Primary auditory area	layer 4	84	9	93	0.903225806451613	0.0967741935483871
C57BL6J-1.093	Primary auditory area	layer 5	116	25	141	0.822695035460993	0.177304964539007
C57BL6J-1.093	Primary auditory area	layer 6a	79	6	85	0.929411764705882	0.0705882352941176
C57BL6J-1.093	Primary auditory area	layer 6b	9	1	10	0.9	0.1
C57BL6J-1.093	Primary visual area	layer 1	15	12	27	0.555555555555556	0.444444444444444
C57BL6J-1.093	Primary visual area	layer 2/3	264	26	290	0.910344827586207	0.0896551724137931
C57BL6J-1.093	Primary visual area	layer 4	150	12	162	0.925925925925926	0.0740740740740741
C57BL6J-1.093	Primary visual area	layer 5	102	19	121	0.84297520661157	0.15702479338843
C57BL6J-1.093	Primary visual area	layer 6a	125	4	129	0.968992248062015	0.0310077519379845
C57BL6J-1.093	Primary visual area	layer 6b	15	1	16	0.9375	0.0625
C57BL6J-1.093	Retrosplenial area	layer 1	120	14	134	0.895522388059702	0.104477611940299
C57BL6J-1.093	Retrosplenial area	layer 2/3	710	32	742	0.956873315363881	0.0431266846361186
C57BL6J-1.093	Retrosplenial area	layer 5	389	51	440	0.884090909090909	0.115909090909091
C57BL6J-1.093	Retrosplenial area	layer 6a	145	14	159	0.911949685534591	0.0880503144654088
C57BL6J-1.093	Retrosplenial area	layer 6b	13	1	14	0.928571428571429	0.0714285714285714
C57BL6J-1.093	Rostrolateral area	layer 1	8	2	10	0.8	0.2
C57BL6J-1.093	Rostrolateral area	layer 2/3	69	5	74	0.932432432432432	0.0675675675675676
C57BL6J-1.093	Rostrolateral area	layer 4	45	6	51	0.882352941176471	0.117647058823529
C57BL6J-1.093	Rostrolateral area	layer 5	25	2	27	0.925925925925926	0.0740740740740741
C57BL6J-1.093	Rostrolateral area	layer 6a	28	2	30	0.933333333333333	0.0666666666666667
C57BL6J-1.093	Rostrolateral area	layer 6b	5	1	6	0.833333333333333	0.166666666666667
C57BL6J-1.093	Temporal association areas	layer 1	2	1	3	0.666666666666667	0.333333333333333
C57BL6J-1.093	Temporal association areas	layer 2/3	64	11	75	0.853333333333333	0.146666666666667
C57BL6J-1.093	Temporal association areas	layer 4	21	5	26	0.807692307692308	0.192307692307692
C57BL6J-1.093	Temporal association areas	layer 5	61	9	70	0.871428571428571	0.128571428571429
C57BL6J-1.093	Temporal association areas	layer 6a	44	1	45	0.977777777777778	0.0222222222222222
C57BL6J-1.093	Temporal association areas	layer 6b	4	0	4	1	0
C57BL6J-1.093	Ventral auditory area	layer 1	19	3	22	0.863636363636364	0.136363636363636
C57BL6J-1.093	Ventral auditory area	layer 2/3	56	6	62	0.903225806451613	0.0967741935483871
C57BL6J-1.093	Ventral auditory area	layer 4	27	5	32	0.84375	0.15625
C57BL6J-1.093	Ventral auditory area	layer 5	72	13	85	0.847058823529412	0.152941176470588
C57BL6J-1.093	Ventral auditory area	layer 6a	45	1	46	0.978260869565217	0.0217391304347826
C57BL6J-1.093	Ventral auditory area	layer 6b	6	0	6	1	0
C57BL6J-1.093	posteromedial visual area	layer 1	0	3	3	0	1
C57BL6J-1.093	posteromedial visual area	layer 2/3	69	13	82	0.841463414634146	0.158536585365854
C57BL6J-1.093	posteromedial visual area	layer 4	46	4	50	0.92	0.08
C57BL6J-1.093	posteromedial visual area	layer 5	39	18	57	0.684210526315789	0.315789473684211
C57BL6J-1.093	posteromedial visual area	layer 6a	45	15	60	0.75	0.25
C57BL6J-1.093	posteromedial visual area	layer 6b	10	0	10	1	0
