sample_label	layer	a	b	rate
C57BL6J-1.025	layer 1	941	942	1.00106269925611
C57BL6J-1.026	layer 1	682	683	1.00146627565982
C57BL6J-1.026	layer 2/3	217	215	0.990783410138249
C57BL6J-1.027	layer 1	603	603	1
C57BL6J-1.027	layer 2/3	633	632	0.998420221169036
C57BL6J-1.028	layer 1	1149	1149	1
C57BL6J-1.028	layer 2/3	1256	1257	1.00079617834395
C57BL6J-1.029	layer 1	832	832	1
C57BL6J-1.029	layer 2/3	1837	1838	1.00054436581383
C57BL6J-1.029	layer 5	227	227	1
C57BL6J-1.030	layer 1	1220	1221	1.00081967213115
C57BL6J-1.030	layer 2/3	2114	2114	1
C57BL6J-1.030	layer 5	406	406	1
C57BL6J-1.031	layer 1	1323	1324	1.00075585789872
C57BL6J-1.031	layer 2/3	2178	2178	1
C57BL6J-1.031	layer 5	792	792	1
C57BL6J-1.032	layer 1	1142	1143	1.00087565674256
C57BL6J-1.032	layer 2/3	2301	2301	1
C57BL6J-1.032	layer 5	1257	1257	1
C57BL6J-1.033	layer 1	1300	1301	1.00076923076923
C57BL6J-1.033	layer 2/3	2436	2436	1
C57BL6J-1.033	layer 5	1759	1759	1
C57BL6J-1.034	layer 1	1111	1112	1.000900090009
C57BL6J-1.034	layer 2/3	2417	2417	1
C57BL6J-1.034	layer 5	2355	2355	1
C57BL6J-1.035	layer 1	1351	1351	1
C57BL6J-1.035	layer 2/3	2557	2558	1.00039108330074
C57BL6J-1.035	layer 5	2711	2711	1
C57BL6J-1.036	layer 1	1014	1014	1
C57BL6J-1.036	layer 2/3	2073	2074	1.00048239266763
C57BL6J-1.036	layer 5	2682	2682	1
C57BL6J-1.036	layer 6a	247	245	0.991902834008097
C57BL6J-1.037	layer 1	947	947	1
C57BL6J-1.037	layer 2/3	1675	1675	1
C57BL6J-1.037	layer 5	1845	1846	1.00054200542005
C57BL6J-1.037	layer 6a	496	496	1
C57BL6J-1.038	layer 1	1155	1156	1.0008658008658
C57BL6J-1.038	layer 2/3	2062	2062	1
C57BL6J-1.038	layer 5	2810	2810	1
C57BL6J-1.038	layer 6a	1085	1085	1
C57BL6J-1.039	layer 1	868	868	1
C57BL6J-1.039	layer 2/3	1766	1767	1.00056625141563
C57BL6J-1.039	layer 5	2548	2548	1
C57BL6J-1.039	layer 6a	1216	1216	1
C57BL6J-1.040	layer 1	1180	1180	1
C57BL6J-1.040	layer 2/3	2143	2143	1
C57BL6J-1.040	layer 5	2894	2894	1
C57BL6J-1.040	layer 6a	1705	1706	1.00058651026393
C57BL6J-1.041	layer 1	805	805	1
C57BL6J-1.041	layer 2/3	1602	1603	1.00062421972534
C57BL6J-1.041	layer 5	2315	2315	1
C57BL6J-1.041	layer 6a	1845	1845	1
C57BL6J-1.042	layer 1	956	956	1
C57BL6J-1.042	layer 2/3	1717	1717	1
C57BL6J-1.042	layer 5	2545	2546	1.00039292730845
C57BL6J-1.042	layer 6a	2361	2361	1
C57BL6J-1.042	layer 6b	71	55	0.774647887323944
C57BL6J-1.043	layer 1	845	845	1
C57BL6J-1.043	layer 2/3	1481	1482	1.00067521944632
C57BL6J-1.043	layer 5	2102	2102	1
C57BL6J-1.043	layer 6a	2170	2170	1
C57BL6J-1.043	layer 6b	96	96	1
C57BL6J-1.044	layer 1	839	836	0.99642431466031
C57BL6J-1.044	layer 2/3	1448	1448	1
C57BL6J-1.044	layer 5	2067	2067	1
C57BL6J-1.044	layer 6a	2265	2265	1
C57BL6J-1.044	layer 6b	166	166	1
C57BL6J-1.045	layer 1	754	747	0.990716180371353
C57BL6J-1.045	layer 2/3	1195	1196	1.00083682008368
C57BL6J-1.045	layer 5	1599	1599	1
C57BL6J-1.045	layer 6a	1389	1389	1
C57BL6J-1.045	layer 6b	194	194	1
C57BL6J-1.046	layer 1	998	998	1
C57BL6J-1.046	layer 2/3	1726	1727	1.00057937427578
C57BL6J-1.046	layer 4	2	0	0
C57BL6J-1.046	layer 5	1841	1841	1
C57BL6J-1.046	layer 6a	1542	1542	1
C57BL6J-1.046	layer 6b	127	127	1
C57BL6J-1.047	layer 1	850	850	1
C57BL6J-1.047	layer 2/3	1737	1737	1
C57BL6J-1.047	layer 4	167	167	1
C57BL6J-1.047	layer 5	1656	1656	1
C57BL6J-1.047	layer 6a	1167	1167	1
C57BL6J-1.047	layer 6b	111	112	1.00900900900901
C57BL6J-1.048	layer 1	761	759	0.997371879106439
C57BL6J-1.048	layer 2/3	1649	1649	1
C57BL6J-1.048	layer 4	267	267	1
C57BL6J-1.048	layer 5	1564	1564	1
C57BL6J-1.048	layer 6a	1044	1044	1
C57BL6J-1.048	layer 6b	86	87	1.01162790697674
C57BL6J-1.049	layer 1	760	760	1
C57BL6J-1.049	layer 2/3	1465	1462	0.997952218430034
C57BL6J-1.049	layer 4	318	318	1
C57BL6J-1.049	layer 5	1537	1538	1.00065061808718
C57BL6J-1.049	layer 6a	874	872	0.997711670480549
C57BL6J-1.049	layer 6b	64	63	0.984375
C57BL6J-1.050	layer 1	1004	1005	1.00099601593625
C57BL6J-1.050	layer 2/3	1838	1838	1
C57BL6J-1.050	layer 4	428	428	1
C57BL6J-1.050	layer 5	1811	1811	1
C57BL6J-1.050	layer 6a	1253	1253	1
C57BL6J-1.050	layer 6b	92	87	0.945652173913043
C57BL6J-1.051	layer 1	844	844	1
C57BL6J-1.051	layer 2/3	1632	1625	0.995710784313726
C57BL6J-1.051	layer 4	491	490	0.9979633401222
C57BL6J-1.051	layer 5	1376	1377	1.00072674418605
C57BL6J-1.051	layer 6a	1196	1196	1
C57BL6J-1.051	layer 6b	50	32	0.64
C57BL6J-1.052	layer 1	880	880	1
C57BL6J-1.052	layer 2/3	1730	1730	1
C57BL6J-1.052	layer 4	600	600	1
C57BL6J-1.052	layer 5	1579	1580	1.00063331222293
C57BL6J-1.052	layer 6a	1459	1459	1
C57BL6J-1.052	layer 6b	93	86	0.924731182795699
C57BL6J-1.053	layer 1	1000	1000	1
C57BL6J-1.053	layer 2/3	1721	1722	1.00058105752469
C57BL6J-1.053	layer 4	756	756	1
C57BL6J-1.053	layer 5	1521	1521	1
C57BL6J-1.053	layer 6a	1623	1623	1
C57BL6J-1.053	layer 6b	111	104	0.936936936936937
C57BL6J-1.054	layer 1	905	905	1
C57BL6J-1.054	layer 2/3	1489	1490	1.00067159167226
C57BL6J-1.054	layer 4	769	769	1
C57BL6J-1.054	layer 5	1381	1381	1
C57BL6J-1.054	layer 6a	1670	1670	1
C57BL6J-1.054	layer 6b	152	152	1
C57BL6J-1.055	layer 1	758	758	1
C57BL6J-1.055	layer 2/3	1510	1510	1
C57BL6J-1.055	layer 4	675	675	1
C57BL6J-1.055	layer 5	1142	1142	1
C57BL6J-1.055	layer 6a	1177	1177	1
C57BL6J-1.055	layer 6b	123	76	0.617886178861789
C57BL6J-1.056	layer 1	865	554	0.640462427745665
C57BL6J-1.056	layer 2/3	1617	1612	0.996907854050711
C57BL6J-1.056	layer 4	647	602	0.930448222565688
C57BL6J-1.056	layer 5	1280	1280	1
C57BL6J-1.056	layer 6a	1583	1583	1
C57BL6J-1.056	layer 6b	128	103	0.8046875
C57BL6J-1.057	layer 1	1007	1007	1
C57BL6J-1.057	layer 2/3	2007	2007	1
C57BL6J-1.057	layer 4	938	938	1
C57BL6J-1.057	layer 5	1431	1431	1
C57BL6J-1.057	layer 6a	1791	1791	1
C57BL6J-1.057	layer 6b	168	163	0.970238095238095
C57BL6J-1.058	layer 1	1063	1063	1
C57BL6J-1.058	layer 2/3	2027	2024	0.998519980266404
C57BL6J-1.058	layer 4	919	912	0.992383025027203
C57BL6J-1.058	layer 5	1504	1504	1
C57BL6J-1.058	layer 6a	1835	1835	1
C57BL6J-1.058	layer 6b	145	144	0.993103448275862
C57BL6J-1.059	layer 1	1019	1019	1
C57BL6J-1.059	layer 2/3	1958	1958	1
C57BL6J-1.059	layer 4	948	948	1
C57BL6J-1.059	layer 5	1376	1376	1
C57BL6J-1.059	layer 6a	1592	1592	1
C57BL6J-1.059	layer 6b	113	102	0.902654867256637
C57BL6J-1.060	layer 1	1018	1018	1
C57BL6J-1.060	layer 2/3	1999	1999	1
C57BL6J-1.060	layer 4	1003	1003	1
C57BL6J-1.060	layer 5	1544	1544	1
C57BL6J-1.060	layer 6a	2067	2067	1
C57BL6J-1.060	layer 6b	165	160	0.96969696969697
C57BL6J-1.061	layer 1	1079	1079	1
C57BL6J-1.061	layer 2/3	2193	2193	1
C57BL6J-1.061	layer 4	1051	1051	1
C57BL6J-1.061	layer 5	1504	1504	1
C57BL6J-1.061	layer 6a	1774	1775	1.00056369785795
C57BL6J-1.061	layer 6b	174	174	1
C57BL6J-1.062	layer 1	1263	1263	1
C57BL6J-1.062	layer 2/3	2228	2228	1
C57BL6J-1.062	layer 4	1066	1066	1
C57BL6J-1.062	layer 5	1626	1627	1.00061500615006
C57BL6J-1.062	layer 6a	1968	1968	1
C57BL6J-1.062	layer 6b	143	143	1
C57BL6J-1.063	layer 1	944	944	1
C57BL6J-1.063	layer 2/3	1941	1941	1
C57BL6J-1.063	layer 4	1003	1003	1
C57BL6J-1.063	layer 5	1544	1544	1
C57BL6J-1.063	layer 6a	2056	2056	1
C57BL6J-1.063	layer 6b	156	147	0.942307692307692
C57BL6J-1.064	layer 1	1238	1238	1
C57BL6J-1.064	layer 2/3	2259	2249	0.995573262505533
C57BL6J-1.064	layer 4	1256	1256	1
C57BL6J-1.064	layer 5	1900	1901	1.00052631578947
C57BL6J-1.064	layer 6a	2281	2281	1
C57BL6J-1.064	layer 6b	152	147	0.967105263157895
C57BL6J-1.065	layer 1	858	858	1
C57BL6J-1.065	layer 2/3	1632	1632	1
C57BL6J-1.065	layer 4	934	934	1
C57BL6J-1.065	layer 5	1263	1263	1
C57BL6J-1.065	layer 6a	1415	1415	1
C57BL6J-1.065	layer 6b	123	120	0.975609756097561
C57BL6J-1.066	layer 1	1077	1077	1
C57BL6J-1.066	layer 2/3	1952	1952	1
C57BL6J-1.066	layer 4	1060	1060	1
C57BL6J-1.066	layer 5	1532	1532	1
C57BL6J-1.066	layer 6a	1948	1949	1.00051334702259
C57BL6J-1.066	layer 6b	193	193	1
C57BL6J-1.067	layer 1	1270	1270	1
C57BL6J-1.067	layer 2/3	2225	2225	1
C57BL6J-1.067	layer 4	1134	1134	1
C57BL6J-1.067	layer 5	1495	1495	1
C57BL6J-1.067	layer 6a	1686	1686	1
C57BL6J-1.067	layer 6b	104	98	0.942307692307692
C57BL6J-1.068	layer 1	1344	1344	1
C57BL6J-1.068	layer 2/3	2502	2502	1
C57BL6J-1.068	layer 4	1096	1096	1
C57BL6J-1.068	layer 5	1620	1621	1.00061728395062
C57BL6J-1.068	layer 6a	1781	1781	1
C57BL6J-1.068	layer 6b	136	133	0.977941176470588
C57BL6J-1.069	layer 1	1008	1003	0.995039682539683
C57BL6J-1.069	layer 2/3	1772	1772	1
C57BL6J-1.069	layer 4	959	959	1
C57BL6J-1.069	layer 5	1254	1254	1
C57BL6J-1.069	layer 6a	1465	1465	1
C57BL6J-1.069	layer 6b	119	119	1
C57BL6J-1.070	layer 1	1144	1144	1
C57BL6J-1.070	layer 2/3	2257	2257	1
C57BL6J-1.070	layer 4	1138	1137	0.999121265377856
C57BL6J-1.070	layer 5	1730	1731	1.00057803468208
C57BL6J-1.070	layer 6a	1804	1804	1
C57BL6J-1.070	layer 6b	139	134	0.964028776978417
C57BL6J-1.071	layer 1	1161	1161	1
C57BL6J-1.071	layer 2/3	2196	2196	1
C57BL6J-1.071	layer 4	1087	1087	1
C57BL6J-1.071	layer 5	1550	1550	1
C57BL6J-1.071	layer 6a	1637	1637	1
C57BL6J-1.071	layer 6b	123	120	0.975609756097561
C57BL6J-1.072	layer 1	1134	1134	1
C57BL6J-1.072	layer 2/3	1959	1959	1
C57BL6J-1.072	layer 4	1055	1043	0.988625592417062
C57BL6J-1.072	layer 5	1469	1469	1
C57BL6J-1.072	layer 6a	1630	1630	1
C57BL6J-1.072	layer 6b	111	109	0.981981981981982
C57BL6J-1.073	layer 1	950	950	1
C57BL6J-1.073	layer 2/3	1986	1986	1
C57BL6J-1.073	layer 4	898	898	1
C57BL6J-1.073	layer 5	1300	1300	1
C57BL6J-1.073	layer 6a	1545	1545	1
C57BL6J-1.073	layer 6b	129	123	0.953488372093023
C57BL6J-1.074	layer 1	1026	1026	1
C57BL6J-1.074	layer 2/3	2437	2437	1
C57BL6J-1.074	layer 4	1142	1129	0.98861646234676
C57BL6J-1.074	layer 5	1709	1709	1
C57BL6J-1.074	layer 6a	1794	1795	1.00055741360089
C57BL6J-1.074	layer 6b	151	151	1
C57BL6J-1.076	layer 1	1219	1219	1
C57BL6J-1.076	layer 2/3	2166	2166	1
C57BL6J-1.076	layer 4	940	940	1
C57BL6J-1.076	layer 5	1657	1657	1
C57BL6J-1.076	layer 6a	1622	1622	1
C57BL6J-1.076	layer 6b	143	136	0.951048951048951
C57BL6J-1.077	layer 1	1281	1281	1
C57BL6J-1.077	layer 2/3	2481	2481	1
C57BL6J-1.077	layer 4	1167	1167	1
C57BL6J-1.077	layer 5	2144	2144	1
C57BL6J-1.077	layer 6a	2123	2123	1
C57BL6J-1.077	layer 6b	207	203	0.980676328502415
C57BL6J-1.078	layer 1	1453	1453	1
C57BL6J-1.078	layer 2/3	2768	2768	1
C57BL6J-1.078	layer 4	1251	1251	1
C57BL6J-1.078	layer 5	2204	2205	1.00045372050817
C57BL6J-1.078	layer 6a	2328	2328	1
C57BL6J-1.078	layer 6b	250	244	0.976
C57BL6J-1.079	layer 1	965	965	1
C57BL6J-1.079	layer 2/3	2286	2286	1
C57BL6J-1.079	layer 4	1060	1060	1
C57BL6J-1.079	layer 5	1777	1777	1
C57BL6J-1.079	layer 6a	2103	2103	1
C57BL6J-1.079	layer 6b	211	191	0.90521327014218
C57BL6J-1.080	layer 1	1271	1271	1
C57BL6J-1.080	layer 2/3	2880	2880	1
C57BL6J-1.080	layer 4	1240	1233	0.994354838709677
C57BL6J-1.080	layer 5	2323	2324	1.00043047783039
C57BL6J-1.080	layer 6a	2106	2106	1
C57BL6J-1.080	layer 6b	240	240	1
C57BL6J-1.081	layer 1	915	915	1
C57BL6J-1.081	layer 2/3	2310	2310	1
C57BL6J-1.081	layer 4	898	898	1
C57BL6J-1.081	layer 5	1633	1634	1.0006123698714
C57BL6J-1.081	layer 6a	1500	1500	1
C57BL6J-1.081	layer 6b	202	193	0.955445544554455
C57BL6J-1.082	layer 1	771	771	1
C57BL6J-1.082	layer 2/3	2094	2094	1
C57BL6J-1.082	layer 4	841	841	1
C57BL6J-1.082	layer 5	1466	1466	1
C57BL6J-1.082	layer 6a	1325	1325	1
C57BL6J-1.082	layer 6b	189	177	0.936507936507937
C57BL6J-1.083	layer 1	969	969	1
C57BL6J-1.083	layer 2/3	2357	2357	1
C57BL6J-1.083	layer 4	770	769	0.998701298701299
C57BL6J-1.083	layer 5	1546	1546	1
C57BL6J-1.083	layer 6a	1350	1349	0.999259259259259
C57BL6J-1.083	layer 6b	213	214	1.00469483568075
C57BL6J-1.084	layer 1	853	853	1
C57BL6J-1.084	layer 2/3	2137	2138	1.0004679457183
C57BL6J-1.084	layer 4	787	787	1
C57BL6J-1.084	layer 5	1475	1475	1
C57BL6J-1.084	layer 6a	1179	1178	0.999151823579305
C57BL6J-1.084	layer 6b	180	179	0.994444444444444
C57BL6J-1.085	layer 1	985	985	1
C57BL6J-1.085	layer 2/3	2283	2283	1
C57BL6J-1.085	layer 4	883	883	1
C57BL6J-1.085	layer 5	1736	1736	1
C57BL6J-1.085	layer 6a	1253	1252	0.999201915403033
C57BL6J-1.085	layer 6b	188	185	0.984042553191489
C57BL6J-1.086	layer 1	1065	1065	1
C57BL6J-1.086	layer 2/3	2469	2469	1
C57BL6J-1.086	layer 4	770	770	1
C57BL6J-1.086	layer 5	1632	1630	0.998774509803922
C57BL6J-1.086	layer 6a	1131	1131	1
C57BL6J-1.086	layer 6b	176	177	1.00568181818182
