a_class,subclass_code,total,true_clustered,true_non_clustered,true_partner,true_cluster_only,sample_clustered_mean,sample_non_clustered_mean,sample_partner_mean,sample_cluster_only_mean,sample_count
006 L4/5 IT CTX Glut,01,11.0,0.0,11.0,0.0,0.0,106.0,0.0,106.0,0.0,2
007 L2/3 IT CTX Glut,01,574.0,58.0,516.0,58.0,0.0,175.0,399.0,151.83333333333334,23.166666666666657,2
035 OB Eomes Ms4a15 Glut,03,128.0,127.0,1.0,127.0,0.0,0.0,128.0,0.0,0.0,2
036 HPF CR Glut,03,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2
039 OB Meis2 Thsd7b Gaba,05,118.0,111.0,7.0,111.0,0.0,0.0,118.0,0.0,0.0,2
040 OB Trdn Gaba,05,5.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,2
041 OB-in Frmd7 Gaba,05,113.0,113.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0,2
042 OB-out Frmd7 Gaba,05,102.0,86.0,16.0,86.0,0.0,0.0,102.0,0.0,0.0,2
043 OB-mi Frmd7 Gaba,05,12.0,11.0,1.0,11.0,0.0,0.0,12.0,0.0,0.0,2
044 OB Dopa-Gaba,05,41.0,36.0,5.0,36.0,0.0,0.0,41.0,0.0,0.0,2
045 OB-STR-CTX Inh IMN,05,5.0,2.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,2
046 Vip Gaba,06,32.0,4.0,28.0,4.0,0.0,14.5,17.5,14.5,0.0,2
047 Sncg Gaba,06,18.0,8.0,10.0,8.0,0.0,10.0,8.0,10.0,0.0,2
049 Lamp5 Gaba,06,56.0,9.0,47.0,9.0,0.0,36.0,20.0,27.833333333333332,8.166666666666668,2
051 Pvalb chandelier Gaba,07,7.0,2.0,5.0,2.0,0.0,6.0,1.0,6.0,0.0,2
052 Pvalb Gaba,07,13.0,1.0,12.0,1.0,0.0,8.5,4.5,8.5,0.0,2
053 Sst Gaba,07,18.0,3.0,15.0,3.0,0.0,1.0,17.0,0.0,1.0,2
117 LHA Barhl2 Glut,13,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2
319 Astro-TE NN,30,480.0,137.0,343.0,137.0,0.0,0.0,480.0,0.0,0.0,2
320 Astro-OLF NN,30,73.0,49.0,24.0,49.0,0.0,0.0,73.0,0.0,0.0,2
326 OPC NN,31,139.0,46.0,93.0,46.0,0.0,0.0,139.0,0.0,0.0,2
327 Oligo NN,31,53.0,16.0,37.0,16.0,0.0,0.0,53.0,0.0,0.0,2
328 OEC NN,32,78.0,75.0,3.0,75.0,0.0,0.0,78.0,0.0,0.0,2
330 VLMC NN,33,95.0,59.0,36.0,59.0,0.0,0.0,95.0,0.0,0.0,2
332 SMC NN,33,29.0,7.0,22.0,7.0,0.0,0.0,29.0,0.0,0.0,2
333 Endo NN,33,532.0,69.0,463.0,34.5,34.5,0.0,532.0,0.0,0.0,2
