slide,layer,a_layer,b_layer,a_class,b_class,a_glutotal,a_gabatotal,b_glutotal,b_gabatotal,a_region,b_region,a_ei,b_ei,a_merge_region,b_merge_region,a_cell_Neuron_type,b_cell_Neuron_type,a_enrich_class_cell_ids_num,b_enrich_class_cell_ids_num,a_cell_id_n,b_cell_id_n,overlap_a_in_b,overlap_b_in_a,a_source_file,b_source_file
C57BL6J-1.025,layer 1,layer 1,layer 1,049 Lamp5 Gaba,049 Lamp5 Gaba,42,106,7,6,"Frontal pole, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1,Prelimbic area, layer 1","Frontal pole, layer 1",0.39622641509433965,1.1666666666666667,regions_1,regions_2,,,3,1,148,13,0.0,0.0,sample_1_C57BL6J-1.025_layer 1_049 Lamp5 Gaba_merged_regions_table_cell_id.txt,sample_1_C57BL6J-1.025_layer 1_049 Lamp5 Gaba_merged_regions_table_cell_id.txt
C57BL6J-1.026,layer 1,layer 1,layer 1,007 L2/3 IT CTX Glut,007 L2/3 IT CTX Glut,15,9,12,3,"Secondary motor area, layer 1,Frontal pole, layer 1","Orbital area, lateral part, layer 1,Frontal pole, layer 1,Orbital area, ventrolateral part, layer 1,Orbital area, medial part, layer 1",1.6666666666666667,4.0,regions_1,regions_2,,,15,12,24,15,0.0,0.0,sample_1_C57BL6J-1.026_layer 1_007 L2.3 IT CTX Glut_merged_regions_table_cell_id.txt,sample_1_C57BL6J-1.026_layer 1_007 L2.3 IT CTX Glut_merged_regions_table_cell_id.txt
C57BL6J-1.026,layer 1,layer 1,layer 1,007 L2/3 IT CTX Glut,046 Vip Gaba,15,9,7,9,"Secondary motor area, layer 1,Frontal pole, layer 1","Frontal pole, layer 1,Secondary motor area, layer 1,Prelimbic area, layer 1",1.6666666666666667,0.7777777777777778,regions_1,regions_1,,,15,2,24,16,0.0,0.0,sample_1_C57BL6J-1.026_layer 1_007 L2.3 IT CTX Glut_merged_regions_table_cell_id.txt,sample_1_C57BL6J-1.026_layer 1_046 Vip Gaba_merged_regions_table_cell_id.txt
C57BL6J-1.026,layer 1,layer 1,layer 1,007 L2/3 IT CTX Glut,047 Sncg Gaba,15,9,19,16,"Secondary motor area, layer 1,Frontal pole, layer 1","Orbital area, lateral part, layer 1,Frontal pole, layer 1,Secondary motor area, layer 1",1.6666666666666667,1.1875,regions_1,regions_1,,,15,6,24,35,0.5833333333333334,0.4,sample_1_C57BL6J-1.026_layer 1_007 L2.3 IT CTX Glut_merged_regions_table_cell_id.txt,sample_1_C57BL6J-1.026_layer 1_047 Sncg Gaba_merged_regions_table_cell_id.txt
C57BL6J-1.026,layer 1,layer 1,layer 1,007 L2/3 IT CTX Glut,047 Sncg Gaba,15,9,0,1,"Secondary motor area, layer 1,Frontal pole, layer 1","Orbital area, medial part, layer 1",1.6666666666666667,0.0,regions_1,regions_2,,,15,1,24,1,0.0,0.0,sample_1_C57BL6J-1.026_layer 1_007 L2.3 IT CTX Glut_merged_regions_table_cell_id.txt,sample_1_C57BL6J-1.026_layer 1_047 Sncg Gaba_merged_regions_table_cell_id.txt
C57BL6J-1.026,layer 1,layer 1,layer 1,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,15,9,22,13,"Secondary motor area, layer 1,Frontal pole, layer 1","Prelimbic area, layer 1,Frontal pole, layer 1,Orbital area, ventrolateral part, layer 1,Orbital area, medial part, layer 1",1.6666666666666667,1.6923076923076923,regions_1,regions_1,,,15,9,24,35,0.0,0.0,sample_1_C57BL6J-1.026_layer 1_007 L2.3 IT CTX Glut_merged_regions_table_cell_id.txt,sample_1_C57BL6J-1.026_layer 1_049 Lamp5 Gaba_merged_regions_table_cell_id.txt
C57BL6J-1.026,layer 1,layer 1,layer 1,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,15,9,3,5,"Secondary motor area, layer 1,Frontal pole, layer 1","Frontal pole, layer 1",1.6666666666666667,0.6,regions_1,regions_2,,,15,3,24,8,0.3333333333333333,1.0,sample_1_C57BL6J-1.026_layer 1_007 L2.3 IT CTX Glut_merged_regions_table_cell_id.txt,sample_1_C57BL6J-1.026_layer 1_049 Lamp5 Gaba_merged_regions_table_cell_id.txt
C57BL6J-1.026,layer 1,layer 1,layer 1,007 L2/3 IT CTX Glut,051 Pvalb chandelier Gaba,15,9,10,10,"Secondary motor area, layer 1,Frontal pole, layer 1","Frontal pole, layer 1,Secondary motor area, layer 1,Prelimbic area, layer 1",1.6666666666666667,1.0,regions_1,regions_1,,,15,2,24,20,0.125,0.15,sample_1_C57BL6J-1.026_layer 1_007 L2.3 IT CTX Glut_merged_regions_table_cell_id.txt,sample_1_C57BL6J-1.026_layer 1_051 Pvalb chandelier Gaba_merged_regions_table_cell_id.txt
C57BL6J-1.026,layer 1,layer 1,layer 1,007 L2/3 IT CTX Glut,053 Sst Gaba,15,9,1,1,"Secondary motor area, layer 1,Frontal pole, layer 1","Orbital area, lateral part, layer 1",1.6666666666666667,1.0,regions_1,regions_1,,,15,1,24,2,0.0,0.0,sample_1_C57BL6J-1.026_layer 1_007 L2.3 IT CTX Glut_merged_regions_table_cell_id.txt,sample_1_C57BL6J-1.026_layer 1_053 Sst Gaba_merged_regions_table_cell_id.txt
C57BL6J-1.026,layer 1,layer 1,layer 1,007 L2/3 IT CTX Glut,046 Vip Gaba,12,3,7,9,"Orbital area, lateral part, layer 1,Frontal pole, layer 1,Orbital area, ventrolateral part, layer 1,Orbital area, medial part, layer 1","Frontal pole, layer 1,Secondary motor area, layer 1,Prelimbic area, layer 1",4.0,0.7777777777777778,regions_2,regions_1,,,12,2,15,16,0.0,0.0,sample_1_C57BL6J-1.026_layer 1_007 L2.3 IT CTX Glut_merged_regions_table_cell_id.txt,sample_1_C57BL6J-1.026_layer 1_046 Vip Gaba_merged_regions_table_cell_id.txt
