sample,pair_type,overlap_bin,n_rows,n_log2_pairs,log2_cell_id_pearson_r,n_ei_pairs,ei_pearson_r
true_data,Gaba-Gaba,0-20,13,13,-0.1049539225912842,13,-0.0066792190821987965
true_data,Gaba-Gaba,20-40,7,7,-0.9720970535356529,7,0.8695133435962863
true_data,Gaba-Gaba,40-60,17,17,0.9107549170440922,17,0.8686916851916264
true_data,Gaba-Gaba,60-80,8,8,0.2722726350906746,8,0.8547785220678151
true_data,Gaba-Gaba,80-100,15,15,-0.2858801421959766,15,0.06998396740472493
true_data,Gaba-Glut,0-20,12,12,-0.11944214556362269,12,0.9096196791448141
true_data,Gaba-Glut,20-40,2,2,1.0,2,1.0
true_data,Gaba-Glut,40-60,4,4,-0.21990787225355515,4,0.9872644675228331
true_data,Gaba-Glut,60-80,2,2,nan,2,nan
true_data,Gaba-Glut,80-100,9,9,0.7569679777983052,9,0.8434800008404301
true_data,Glut-Gaba,0-20,9,9,0.362191342933905,9,0.8505933997966278
true_data,Glut-Gaba,20-40,4,4,0.42623354923872664,4,0.6056585055187689
true_data,Glut-Gaba,40-60,4,4,0.997228522689811,4,0.8380632769101517
true_data,Glut-Gaba,60-80,4,4,-0.9241596721095511,4,-0.8247952996704823
true_data,Glut-Gaba,80-100,8,8,-0.03418489019233365,8,0.9904467029258271
true_data,Glut-Glut,0-20,4,4,-0.22287214014105097,4,0.999961376759272
true_data,Glut-Glut,20-40,1,1,nan,1,nan
true_data,Glut-Glut,40-60,0,0,nan,0,nan
true_data,Glut-Glut,60-80,1,1,nan,1,nan
true_data,Glut-Glut,80-100,0,0,nan,0,nan
sample_1,Gaba-Gaba,0-20,8,8,0.02472509036906702,8,0.930496007024327
sample_1,Gaba-Gaba,20-40,16,16,0.2155902463546397,16,0.8252395264921232
sample_1,Gaba-Gaba,40-60,3,3,0.9140214970134789,3,0.9973122593143104
sample_1,Gaba-Gaba,60-80,6,6,0.8824504670443322,6,0.8773380756628432
sample_1,Gaba-Gaba,80-100,7,7,0.0813839017634525,7,0.8590862623428019
sample_1,Gaba-Glut,0-20,6,6,-0.3101774228473143,6,0.06369083682406938
sample_1,Gaba-Glut,20-40,4,4,0.8909257983118664,4,0.8894336520605758
sample_1,Gaba-Glut,40-60,3,3,0.7967423101628393,3,-0.9122454608393062
sample_1,Gaba-Glut,60-80,0,0,nan,0,nan
sample_1,Gaba-Glut,80-100,4,4,-0.24131916416723487,4,0.5888261583286407
sample_1,Glut-Gaba,0-20,4,4,0.3914228871550495,4,0.8595112918896077
sample_1,Glut-Gaba,20-40,2,2,-0.9999999999999999,2,1.0
sample_1,Glut-Gaba,40-60,4,4,0.8353768202716196,4,-0.1350046350245938
sample_1,Glut-Gaba,60-80,1,1,nan,1,nan
sample_1,Glut-Gaba,80-100,6,6,0.641475436331607,6,0.45431009718624027
sample_1,Glut-Glut,0-20,1,1,nan,1,nan
sample_1,Glut-Glut,20-40,0,0,nan,0,nan
sample_1,Glut-Glut,40-60,0,0,nan,0,nan
sample_1,Glut-Glut,60-80,0,0,nan,0,nan
sample_1,Glut-Glut,80-100,1,1,nan,1,nan
sample_2,Gaba-Gaba,0-20,65,65,0.35389046095301513,65,0.6774292256778166
sample_2,Gaba-Gaba,20-40,26,26,0.7782696046564163,26,0.881637189103552
sample_2,Gaba-Gaba,40-60,26,26,0.9079223428790246,26,0.9228417456905292
sample_2,Gaba-Gaba,60-80,26,26,0.5343662741603198,26,0.7968368068205605
sample_2,Gaba-Gaba,80-100,33,33,0.2955294299841658,33,0.7760015563298179
sample_2,Gaba-Glut,0-20,21,21,0.7540844320237436,20,0.03337381899608903
sample_2,Gaba-Glut,20-40,12,12,0.8462323107593808,12,0.11222895923035667
sample_2,Gaba-Glut,40-60,12,12,0.5325765048020499,12,0.8835419814753007
sample_2,Gaba-Glut,60-80,13,13,0.5950592751636244,13,0.7848102352110609
sample_2,Gaba-Glut,80-100,21,21,0.7127596899149267,21,0.7151748210663714
sample_2,Glut-Gaba,0-20,38,38,0.6698008144149579,37,0.2087562124207499
sample_2,Glut-Gaba,20-40,20,20,0.9394641106119619,20,0.4344110079901798
sample_2,Glut-Gaba,40-60,7,7,0.9074410983596053,7,0.8134441671786051
sample_2,Glut-Gaba,60-80,8,8,0.8970397935654896,8,0.5841644035737209
sample_2,Glut-Gaba,80-100,6,6,0.8380105253562525,6,0.3435099581018491
sample_2,Glut-Glut,0-20,1,1,nan,1,nan
sample_2,Glut-Glut,20-40,2,2,0.9999999999999999,2,0.9999999999999998
sample_2,Glut-Glut,40-60,1,1,nan,1,nan
sample_2,Glut-Glut,60-80,1,1,nan,1,nan
sample_2,Glut-Glut,80-100,3,3,-0.45160820748488,3,0.9222976495932681
