sample,pair_type,overlap_bin,percent
sample_1,Gaba-Gaba,0–20%,63.63636363636363
sample_1,Gaba-Gaba,20–40%,17.045454545454547
sample_1,Gaba-Gaba,40–60%,3.409090909090909
sample_1,Gaba-Gaba,60–80%,7.954545454545454
sample_1,Gaba-Gaba,80–100%,7.954545454545454
sample_1,Gaba-Glut,0–20%,73.17073170731707
sample_1,Gaba-Glut,20–40%,7.317073170731708
sample_1,Gaba-Glut,40–60%,9.75609756097561
sample_1,Gaba-Glut,60–80%,0.0
sample_1,Gaba-Glut,80–100%,9.75609756097561
sample_1,Glut-Gaba,0–20%,68.29268292682927
sample_1,Glut-Gaba,20–40%,4.878048780487805
sample_1,Glut-Gaba,40–60%,7.317073170731708
sample_1,Glut-Gaba,60–80%,4.878048780487805
sample_1,Glut-Gaba,80–100%,14.634146341463415
sample_1,Glut-Glut,0–20%,92.85714285714286
sample_1,Glut-Glut,20–40%,0.0
sample_1,Glut-Glut,40–60%,0.0
sample_1,Glut-Glut,60–80%,0.0
sample_1,Glut-Glut,80–100%,7.142857142857143
sample_2,Gaba-Gaba,0–20%,80.76923076923077
sample_2,Gaba-Gaba,20–40%,4.849498327759197
sample_2,Gaba-Gaba,40–60%,4.3478260869565215
sample_2,Gaba-Gaba,60–80%,4.3478260869565215
sample_2,Gaba-Gaba,80–100%,5.68561872909699
sample_2,Gaba-Glut,0–20%,72.6027397260274
sample_2,Gaba-Glut,20–40%,5.936073059360731
sample_2,Gaba-Glut,40–60%,5.936073059360731
sample_2,Gaba-Glut,60–80%,5.47945205479452
sample_2,Gaba-Glut,80–100%,10.045662100456621
sample_2,Glut-Gaba,0–20%,81.27853881278538
sample_2,Glut-Gaba,20–40%,9.132420091324201
sample_2,Glut-Gaba,40–60%,3.1963470319634704
sample_2,Glut-Gaba,60–80%,3.65296803652968
sample_2,Glut-Gaba,80–100%,2.73972602739726
sample_2,Glut-Glut,0–20%,87.03703703703704
sample_2,Glut-Glut,20–40%,3.7037037037037037
sample_2,Glut-Glut,40–60%,1.8518518518518519
sample_2,Glut-Glut,60–80%,1.8518518518518519
sample_2,Glut-Glut,80–100%,5.555555555555555
