sample,pair_type,overlap_bin,percent
sample_1,Gaba-Gaba,0–20%,20.0
sample_1,Gaba-Gaba,20–40%,37.5
sample_1,Gaba-Gaba,40–60%,7.5
sample_1,Gaba-Gaba,60–80%,17.5
sample_1,Gaba-Gaba,80–100%,17.5
sample_1,Gaba-Glut,0–20%,35.294117647058826
sample_1,Gaba-Glut,20–40%,17.647058823529413
sample_1,Gaba-Glut,40–60%,23.529411764705884
sample_1,Gaba-Glut,60–80%,0.0
sample_1,Gaba-Glut,80–100%,23.529411764705884
sample_1,Glut-Gaba,0–20%,23.529411764705884
sample_1,Glut-Gaba,20–40%,11.764705882352942
sample_1,Glut-Gaba,40–60%,17.647058823529413
sample_1,Glut-Gaba,60–80%,11.764705882352942
sample_1,Glut-Gaba,80–100%,35.294117647058826
sample_1,Glut-Glut,0–20%,50.0
sample_1,Glut-Glut,20–40%,0.0
sample_1,Glut-Glut,40–60%,0.0
sample_1,Glut-Glut,60–80%,0.0
sample_1,Glut-Glut,80–100%,50.0
sample_2,Gaba-Gaba,0–20%,34.65909090909091
sample_2,Gaba-Gaba,20–40%,16.477272727272727
sample_2,Gaba-Gaba,40–60%,14.772727272727273
sample_2,Gaba-Gaba,60–80%,14.772727272727273
sample_2,Gaba-Gaba,80–100%,19.318181818181817
sample_2,Gaba-Glut,0–20%,24.050632911392405
sample_2,Gaba-Glut,20–40%,16.455696202531644
sample_2,Gaba-Glut,40–60%,16.455696202531644
sample_2,Gaba-Glut,60–80%,15.189873417721518
sample_2,Gaba-Glut,80–100%,27.848101265822784
sample_2,Glut-Gaba,0–20%,48.10126582278481
sample_2,Glut-Gaba,20–40%,25.31645569620253
sample_2,Glut-Gaba,40–60%,8.860759493670885
sample_2,Glut-Gaba,60–80%,10.126582278481013
sample_2,Glut-Gaba,80–100%,7.594936708860759
sample_2,Glut-Glut,0–20%,12.5
sample_2,Glut-Glut,20–40%,25.0
sample_2,Glut-Glut,40–60%,12.5
sample_2,Glut-Glut,60–80%,12.5
sample_2,Glut-Glut,80–100%,37.5
