sample,slide,pair_key_unordered,a_class,b_class,overlap_a_in_b
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 039 OB Meis2 Thsd7b Gaba,035 OB Eomes Ms4a15 Glut,039 OB Meis2 Thsd7b Gaba,0.5064655172413793
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 039 OB Meis2 Thsd7b Gaba,035 OB Eomes Ms4a15 Glut,039 OB Meis2 Thsd7b Gaba,0.26939655172413796
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 040 OB Trdn Gaba,035 OB Eomes Ms4a15 Glut,040 OB Trdn Gaba,1.0
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 041 OB-in Frmd7 Gaba,035 OB Eomes Ms4a15 Glut,041 OB-in Frmd7 Gaba,0.9655172413793104
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 042 OB-out Frmd7 Gaba,035 OB Eomes Ms4a15 Glut,042 OB-out Frmd7 Gaba,1.0
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 043 OB-mi Frmd7 Gaba,035 OB Eomes Ms4a15 Glut,043 OB-mi Frmd7 Gaba,1.0
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 117 LHA Barhl2 Glut,035 OB Eomes Ms4a15 Glut,117 LHA Barhl2 Glut,0.11637931034482758
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 039 OB Meis2 Thsd7b Gaba,035 OB Eomes Ms4a15 Glut,039 OB Meis2 Thsd7b Gaba,0.7391304347826086
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 040 OB Trdn Gaba,035 OB Eomes Ms4a15 Glut,040 OB Trdn Gaba,0.05434782608695652
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 041 OB-in Frmd7 Gaba,035 OB Eomes Ms4a15 Glut,041 OB-in Frmd7 Gaba,0.9619565217391305
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 042 OB-out Frmd7 Gaba,035 OB Eomes Ms4a15 Glut,042 OB-out Frmd7 Gaba,0.04076086956521739
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 043 OB-mi Frmd7 Gaba,035 OB Eomes Ms4a15 Glut,043 OB-mi Frmd7 Gaba,0.024456521739130436
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 049 Lamp5 Gaba,035 OB Eomes Ms4a15 Glut,049 Lamp5 Gaba,0.2798913043478261
true_data,C57BL6J-1.025,035 OB Eomes Ms4a15 Glut || 117 LHA Barhl2 Glut,035 OB Eomes Ms4a15 Glut,117 LHA Barhl2 Glut,0.07880434782608696
true_data,C57BL6J-1.025,039 OB Meis2 Thsd7b Gaba || 040 OB Trdn Gaba,039 OB Meis2 Thsd7b Gaba,040 OB Trdn Gaba,0.48214285714285715
true_data,C57BL6J-1.025,039 OB Meis2 Thsd7b Gaba || 041 OB-in Frmd7 Gaba,039 OB Meis2 Thsd7b Gaba,041 OB-in Frmd7 Gaba,0.8701298701298701
true_data,C57BL6J-1.025,039 OB Meis2 Thsd7b Gaba || 042 OB-out Frmd7 Gaba,039 OB Meis2 Thsd7b Gaba,042 OB-out Frmd7 Gaba,0.47564935064935066
true_data,C57BL6J-1.025,039 OB Meis2 Thsd7b Gaba || 043 OB-mi Frmd7 Gaba,039 OB Meis2 Thsd7b Gaba,043 OB-mi Frmd7 Gaba,0.461038961038961
true_data,C57BL6J-1.025,039 OB Meis2 Thsd7b Gaba || 049 Lamp5 Gaba,039 OB Meis2 Thsd7b Gaba,049 Lamp5 Gaba,0.1314935064935065
true_data,C57BL6J-1.025,039 OB Meis2 Thsd7b Gaba || 117 LHA Barhl2 Glut,039 OB Meis2 Thsd7b Gaba,117 LHA Barhl2 Glut,0.09740259740259741
true_data,C57BL6J-1.025,039 OB Meis2 Thsd7b Gaba || 040 OB Trdn Gaba,039 OB Meis2 Thsd7b Gaba,040 OB Trdn Gaba,1.0
true_data,C57BL6J-1.025,039 OB Meis2 Thsd7b Gaba || 041 OB-in Frmd7 Gaba,039 OB Meis2 Thsd7b Gaba,041 OB-in Frmd7 Gaba,0.904
true_data,C57BL6J-1.025,039 OB Meis2 Thsd7b Gaba || 042 OB-out Frmd7 Gaba,039 OB Meis2 Thsd7b Gaba,042 OB-out Frmd7 Gaba,1.0
true_data,C57BL6J-1.025,039 OB Meis2 Thsd7b Gaba || 043 OB-mi Frmd7 Gaba,039 OB Meis2 Thsd7b Gaba,043 OB-mi Frmd7 Gaba,1.0
true_data,C57BL6J-1.025,039 OB Meis2 Thsd7b Gaba || 117 LHA Barhl2 Glut,039 OB Meis2 Thsd7b Gaba,117 LHA Barhl2 Glut,0.024
true_data,C57BL6J-1.025,040 OB Trdn Gaba || 041 OB-in Frmd7 Gaba,040 OB Trdn Gaba,041 OB-in Frmd7 Gaba,0.9372623574144486
true_data,C57BL6J-1.025,040 OB Trdn Gaba || 042 OB-out Frmd7 Gaba,040 OB Trdn Gaba,042 OB-out Frmd7 Gaba,0.9828897338403042
true_data,C57BL6J-1.025,040 OB Trdn Gaba || 043 OB-mi Frmd7 Gaba,040 OB Trdn Gaba,043 OB-mi Frmd7 Gaba,0.9752851711026616
true_data,C57BL6J-1.025,040 OB Trdn Gaba || 117 LHA Barhl2 Glut,040 OB Trdn Gaba,117 LHA Barhl2 Glut,0.1311787072243346
true_data,C57BL6J-1.025,041 OB-in Frmd7 Gaba || 042 OB-out Frmd7 Gaba,041 OB-in Frmd7 Gaba,042 OB-out Frmd7 Gaba,0.5768321513002365
true_data,C57BL6J-1.025,041 OB-in Frmd7 Gaba || 043 OB-mi Frmd7 Gaba,041 OB-in Frmd7 Gaba,043 OB-mi Frmd7 Gaba,0.5697399527186762
true_data,C57BL6J-1.025,041 OB-in Frmd7 Gaba || 049 Lamp5 Gaba,041 OB-in Frmd7 Gaba,049 Lamp5 Gaba,0.1111111111111111
true_data,C57BL6J-1.025,041 OB-in Frmd7 Gaba || 117 LHA Barhl2 Glut,041 OB-in Frmd7 Gaba,117 LHA Barhl2 Glut,0.09810874704491726
true_data,C57BL6J-1.025,042 OB-out Frmd7 Gaba || 043 OB-mi Frmd7 Gaba,042 OB-out Frmd7 Gaba,043 OB-mi Frmd7 Gaba,0.9827586206896551
true_data,C57BL6J-1.025,042 OB-out Frmd7 Gaba || 117 LHA Barhl2 Glut,042 OB-out Frmd7 Gaba,117 LHA Barhl2 Glut,0.11685823754789272
true_data,C57BL6J-1.025,043 OB-mi Frmd7 Gaba || 117 LHA Barhl2 Glut,043 OB-mi Frmd7 Gaba,117 LHA Barhl2 Glut,0.11695906432748537
true_data,C57BL6J-1.026,007 L2/3 IT CTX Glut || 035 OB Eomes Ms4a15 Glut,007 L2/3 IT CTX Glut,035 OB Eomes Ms4a15 Glut,0.016317016317016316
true_data,C57BL6J-1.026,007 L2/3 IT CTX Glut || 046 Vip Gaba,007 L2/3 IT CTX Glut,046 Vip Gaba,0.48951048951048953
true_data,C57BL6J-1.026,007 L2/3 IT CTX Glut || 047 Sncg Gaba,007 L2/3 IT CTX Glut,047 Sncg Gaba,0.4988344988344988
true_data,C57BL6J-1.026,007 L2/3 IT CTX Glut || 049 Lamp5 Gaba,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,0.21212121212121213
true_data,C57BL6J-1.026,007 L2/3 IT CTX Glut || 051 Pvalb chandelier Gaba,007 L2/3 IT CTX Glut,051 Pvalb chandelier Gaba,0.4149184149184149
true_data,C57BL6J-1.026,007 L2/3 IT CTX Glut || 052 Pvalb Gaba,007 L2/3 IT CTX Glut,052 Pvalb Gaba,0.12121212121212122
true_data,C57BL6J-1.026,007 L2/3 IT CTX Glut || 053 Sst Gaba,007 L2/3 IT CTX Glut,053 Sst Gaba,0.2097902097902098
true_data,C57BL6J-1.026,035 OB Eomes Ms4a15 Glut || 049 Lamp5 Gaba,035 OB Eomes Ms4a15 Glut,049 Lamp5 Gaba,0.12903225806451613
true_data,C57BL6J-1.026,036 HPF CR Glut || 049 Lamp5 Gaba,036 HPF CR Glut,049 Lamp5 Gaba,0.1746031746031746
true_data,C57BL6J-1.026,036 HPF CR Glut || 051 Pvalb chandelier Gaba,036 HPF CR Glut,051 Pvalb chandelier Gaba,0.1746031746031746
