pair_type,overlap_bin,true_percent,sample_n,sample_mean,sample_sd,p_value,significance
Gaba-Gaba,0–20%,34.722222,2,27.329545,10.365543,0.6,ns
Gaba-Gaba,20–40%,9.722222,2,26.988636,14.865313,0.6,ns
Gaba-Gaba,40–60%,23.611111,2,11.136364,5.142595,0.6,ns
Gaba-Gaba,60–80%,11.111111,2,16.136364,1.928473,0.6,ns
Gaba-Gaba,80–100%,20.833333,2,18.409091,1.285649,0.6,ns
Gaba-Glut,0–20%,57.500000,2,29.672375,7.950344,0.6,ns
Gaba-Glut,20–40%,5.000000,2,17.051378,0.842421,0.6,ns
Gaba-Glut,40–60%,10.000000,2,19.992554,5.001872,0.6,ns
Gaba-Glut,60–80%,5.000000,2,7.594937,10.740862,1,ns
Gaba-Glut,80–100%,22.500000,2,25.688757,3.053775,0.6,ns
Glut-Gaba,0–20%,50.000000,2,35.815339,17.374925,0.6,ns
Glut-Gaba,20–40%,10.000000,2,18.540581,9.582534,0.6,ns
Glut-Gaba,40–60%,10.000000,2,13.253909,6.212852,1,ns
Glut-Gaba,60–80%,10.000000,2,10.945644,1.158328,0.6,ns
Glut-Gaba,80–100%,20.000000,2,21.444527,19.586279,1,ns
Glut-Glut,0–20%,83.333333,2,31.250000,26.516504,0.6,ns
Glut-Glut,20–40%,8.333333,2,12.500000,17.677670,1,ns
Glut-Glut,40–60%,0.000000,2,6.250000,8.838835,1,ns
Glut-Glut,60–80%,8.333333,2,6.250000,8.838835,1,ns
Glut-Glut,80–100%,0.000000,2,43.750000,8.838835,0.6,ns
