slide	layer	a_layer	b_layer	a_class	b_class	a_glutotal	a_gabatotal	b_glutotal	b_gabatotal	a_region	b_region	a_ei	b_ei	a_merge_region	b_merge_region	a_cell_Neuron_type	b_cell_Neuron_type	a_enrich_class_cell_ids_num	b_enrich_class_cell_ids_num	a_cell_id_n	b_cell_id_n	overlap_a_in_b	overlap_b_in_a
C57BL6J-1.036	layer 5	layer 5	layer 5	049 Lamp5 Gaba	113 MEA-COA-BMA Ccdc42 Glut	106	21	161	25	Agranular insular area, dorsal part, layer 5,Orbital area, lateral part, layer 5,Agranular insular area, ventral part, layer 5	Agranular insular area, dorsal part, layer 5,Orbital area, lateral part, layer 5,Secondary motor area, layer 5,Agranular insular area, ventral part, layer 5	5.04761904761905	6.44	regions_2	regions_1	Gaba	Glut	4	1	258	407	0.868217054263566	0.55036855036855
C57BL6J-1.040	layer 2/3	layer 2/3	layer 2/3	046 Vip Gaba	113 MEA-COA-BMA Ccdc42 Glut	19	7	108	14	Orbital area, lateral part, layer 2/3	Orbital area, lateral part, layer 2/3	2.71428571428571	7.71428571428571	regions_5	regions_1	Gaba	Glut	3	1	48	196	1	0.244897959183673
C57BL6J-1.040	layer 2/3	layer 2/3	layer 2/3	053 Sst Gaba	113 MEA-COA-BMA Ccdc42 Glut	2	1	108	14	Orbital area, lateral part, layer 2/3	Orbital area, lateral part, layer 2/3	2	7.71428571428571	regions_5	regions_1	Gaba	Glut	1	1	3	196	1	0.0153061224489796
C57BL6J-1.042	layer 6a	layer 6a	layer 6a	056 Sst Chodl Gaba	115 MS-SF Bsx Glut	25	3	140	26	Orbital area, ventrolateral part, layer 6a,Orbital area, lateral part, layer 6a	Infralimbic area, layer 6a,Orbital area, ventrolateral part, layer 6a,Orbital area, lateral part, layer 6a,Orbital area, medial part, layer 6a	8.33333333333333	5.38461538461539	regions_3	regions_1	Gaba	Glut	1	1	40	302	1	0.132450331125828
C57BL6J-1.042	layer 6a	layer 6a	layer 6a	056 Sst Chodl Gaba	115 MS-SF Bsx Glut	0	3	140	26	Orbital area, medial part, layer 6a	Infralimbic area, layer 6a,Orbital area, ventrolateral part, layer 6a,Orbital area, lateral part, layer 6a,Orbital area, medial part, layer 6a	0	5.38461538461539	regions_4	regions_1	Gaba	Glut	1	1	19	302	1	0.0629139072847682
C57BL6J-1.046	layer 5	layer 5	layer 5	053 Sst Gaba	262 Pineal Crx Glut	68	17	100	20	Anterior cingulate area, dorsal part, layer 5,Secondary motor area, layer 5,Prelimbic area, layer 5	Anterior cingulate area, dorsal part, layer 5,Secondary motor area, layer 5	4	5	regions_2	regions_1	Gaba	Glut	8	2	171	250	0.83625730994152	0.572
C57BL6J-1.048	layer 2/3	layer 2/3	layer 2/3	047 Sncg Gaba	113 MEA-COA-BMA Ccdc42 Glut	3	2	91	14	Anterior cingulate area, ventral part, layer 2/3	Anterior cingulate area, ventral part, layer 2/3,Anterior cingulate area, dorsal part, layer 2/3	1.5	6.5	regions_2	regions_1	Gaba	Glut	1	1	9	140	1	0.0642857142857143
C57BL6J-1.048	layer 5	layer 5	layer 5	047 Sncg Gaba	114 COAa-PAA-MEA Barhl2 Glut	19	2	46	10	Agranular insular area, ventral part, layer 5	Agranular insular area, ventral part, layer 5	9.5	4.6	regions_2	regions_1	Gaba	Glut	1	1	46	112	0.869565217391304	0.357142857142857
C57BL6J-1.050	layer 5	layer 5	layer 5	046 Vip Gaba	115 MS-SF Bsx Glut	30	7	73	10	Anterior cingulate area, ventral part, layer 5	Anterior cingulate area, ventral part, layer 5	4.28571428571429	7.3	regions_2	regions_1	Gaba	Glut	2	1	54	133	0.814814814814815	0.330827067669173
C57BL6J-1.050	layer 5	layer 5	layer 5	047 Sncg Gaba	114 COAa-PAA-MEA Barhl2 Glut	22	5	82	10	Agranular insular area, ventral part, layer 5	Agranular insular area, ventral part, layer 5,Agranular insular area, dorsal part, layer 5	4.4	8.2	regions_2	regions_1	Gaba	Glut	1	1	48	143	1	0.335664335664336
C57BL6J-1.050	layer 2/3	layer 2/3	layer 2/3	052 Pvalb Gaba	113 MEA-COA-BMA Ccdc42 Glut	13	5	64	12	Secondary motor area, layer 2/3	Anterior cingulate area, dorsal part, layer 2/3,Secondary motor area, layer 2/3	2.6	5.33333333333333	regions_1	regions_1	Gaba	Glut	2	1	27	103	1	0.262135922330097
C57BL6J-1.051	layer 2/3	layer 2/3	layer 2/3	052 Pvalb Gaba	114 COAa-PAA-MEA Barhl2 Glut	0	2	38	9	Agranular insular area, ventral part, layer 2/3	Agranular insular area, ventral part, layer 2/3,Agranular insular area, dorsal part, layer 2/3	0	4.22222222222222	regions_5	regions_1	Gaba	Glut	1	1	6	122	1	0.0491803278688525
C57BL6J-1.051	layer 2/3	layer 2/3	layer 2/3	053 Sst Gaba	114 COAa-PAA-MEA Barhl2 Glut	0	1	38	9	Agranular insular area, dorsal part, layer 2/3	Agranular insular area, ventral part, layer 2/3,Agranular insular area, dorsal part, layer 2/3	0	4.22222222222222	regions_3	regions_1	Gaba	Glut	1	1	4	122	1	0.0327868852459016
C57BL6J-1.051	layer 5	layer 5	layer 5	049 Lamp5 Gaba	114 COAa-PAA-MEA Barhl2 Glut	2	2	87	12	Agranular insular area, ventral part, layer 5	Agranular insular area, dorsal part, layer 5,Agranular insular area, ventral part, layer 5	1	7.25	regions_2	regions_1	Gaba	Glut	1	2	10	164	1	0.0609756097560976
C57BL6J-1.051	layer 5	layer 5	layer 5	051 Pvalb chandelier Gaba	114 COAa-PAA-MEA Barhl2 Glut	59	3	87	12	Agranular insular area, ventral part, layer 5,Agranular insular area, dorsal part, layer 5	Agranular insular area, dorsal part, layer 5,Agranular insular area, ventral part, layer 5	19.6666666666667	7.25	regions_1	regions_1	Gaba	Glut	1	2	105	164	1	0.640243902439024
