slide	sample	subclass	layer	region_num	enrich_num	glut_num	gaba_num	glut_gaba_ratio
C57BL6J-1.025	sample_1	035 OB Eomes Ms4a15 Glut	layer 1	2	23.5	25.5	52	0.490384615384615
C57BL6J-1.025	sample_1	036 HPF CR Glut	layer 1	1	1	17	34	0.5
C57BL6J-1.025	sample_1	039 OB Meis2 Thsd7b Gaba	layer 1	1	69	64	206	0.310679611650485
C57BL6J-1.025	sample_1	040 OB Trdn Gaba	layer 1	1	5	73	231	0.316017316017316
C57BL6J-1.025	sample_1	041 OB-in Frmd7 Gaba	layer 1	2	44	42	138	0.304347826086957
C57BL6J-1.025	sample_1	042 OB-out Frmd7 Gaba	layer 1	1	51	58	170	0.341176470588235
C57BL6J-1.025	sample_1	043 OB-mi Frmd7 Gaba	layer 1	1	9	71	197	0.360406091370558
C57BL6J-1.025	sample_1	044 OB Dopa-Gaba	layer 1	1	28	75	219	0.342465753424658
C57BL6J-1.025	sample_1	045 OB-STR-CTX Inh IMN	layer 1	1	5	76	236	0.322033898305085
C57BL6J-1.025	sample_1	049 Lamp5 Gaba	layer 1	2	2	24.5	56	0.4375
C57BL6J-1.025	sample_1	067 LSX Sall3 Pax6 Gaba	layer 1	1	1	15	44	0.340909090909091
C57BL6J-1.025	sample_1	113 MEA-COA-BMA Ccdc42 Glut	layer 1	1	1	12	30	0.4
C57BL6J-1.025	sample_1	118 ADP-MPO Trp73 Glut	layer 1	1	2	61	188	0.324468085106383
C57BL6J-1.025	sample_1	319 Astro-TE NN	layer 1	1	9	12	53	0.226415094339623
C57BL6J-1.025	sample_1	320 Astro-OLF NN	layer 1	1	23	19	97	0.195876288659794
C57BL6J-1.025	sample_1	326 OPC NN	layer 1	3	6.33333333333333	27	73.3333333333333	0.368181818181818
C57BL6J-1.025	sample_1	327 Oligo NN	layer 1	1	14	59	172	0.343023255813953
C57BL6J-1.025	sample_1	328 OEC NN	layer 1	2	32	51.5	131.5	0.391634980988593
C57BL6J-1.025	sample_1	330 VLMC NN	layer 1	1	14	29	75	0.386666666666667
C57BL6J-1.025	sample_1	331 Peri NN	layer 1	1	3	18	41	0.439024390243902
C57BL6J-1.025	sample_1	332 SMC NN	layer 1	1	3	19	58	0.327586206896552
C57BL6J-1.025	sample_1	333 Endo NN	layer 1	2	26	29.5	101	0.292079207920792
C57BL6J-1.025	sample_1	334 Microglia NN	layer 1	2	6.5	18	59.5	0.302521008403361
C57BL6J-1.025	sample_1	335 BAM NN	layer 1	2	3.5	21	82.5	0.254545454545455
C57BL6J-1.025	sample_2	035 OB Eomes Ms4a15 Glut	layer 1	1	78	82	176	0.465909090909091
C57BL6J-1.025	sample_2	039 OB Meis2 Thsd7b Gaba	layer 1	1	52	47	169	0.27810650887574
C57BL6J-1.025	sample_2	040 OB Trdn Gaba	layer 1	1	4	46	104	0.442307692307692
C57BL6J-1.025	sample_2	041 OB-in Frmd7 Gaba	layer 1	2	33.5	29.5	99	0.297979797979798
C57BL6J-1.025	sample_2	042 OB-out Frmd7 Gaba	layer 1	1	18	19	44	0.431818181818182
C57BL6J-1.025	sample_2	043 OB-mi Frmd7 Gaba	layer 1	1	6	26	117	0.222222222222222
C57BL6J-1.025	sample_2	044 OB Dopa-Gaba	layer 1	1	16	28	116	0.241379310344828
C57BL6J-1.025	sample_2	045 OB-STR-CTX Inh IMN	layer 1	1	2	22	42	0.523809523809524
C57BL6J-1.025	sample_2	117 LHA Barhl2 Glut	layer 1	1	1	7	34	0.205882352941176
C57BL6J-1.025	sample_2	118 ADP-MPO Trp73 Glut	layer 1	1	2	45	100	0.45
C57BL6J-1.025	sample_2	320 Astro-OLF NN	layer 1	1	35	43	149	0.288590604026846
C57BL6J-1.025	sample_2	326 OPC NN	layer 1	2	7.5	32.5	116.5	0.278969957081545
C57BL6J-1.025	sample_2	327 Oligo NN	layer 1	1	17	77	223	0.345291479820628
C57BL6J-1.025	sample_2	328 OEC NN	layer 1	2	26.5	39	98.5	0.395939086294416
C57BL6J-1.025	sample_2	329 ABC NN	layer 1	1	1	12	19	0.631578947368421
C57BL6J-1.025	sample_2	330 VLMC NN	layer 1	2	13.5	28.5	85.5	0.333333333333333
C57BL6J-1.025	sample_2	331 Peri NN	layer 1	1	5	43	170	0.252941176470588
C57BL6J-1.025	sample_2	332 SMC NN	layer 1	1	5	45	100	0.45
C57BL6J-1.025	sample_2	333 Endo NN	layer 1	1	30	39	84	0.464285714285714
C57BL6J-1.025	sample_2	334 Microglia NN	layer 1	1	15	76	190	0.4
C57BL6J-1.025	sample_2	335 BAM NN	layer 1	1	4	43	99	0.434343434343434
C57BL6J-1.026	sample_1	007 L2/3 IT CTX Glut	layer 1	2	13.5	13.5	6	2.25
C57BL6J-1.026	sample_1	035 OB Eomes Ms4a15 Glut	layer 1	1	1	8	5	1.6
C57BL6J-1.026	sample_1	036 HPF CR Glut	layer 1	1	1	3	3	1
C57BL6J-1.026	sample_1	046 Vip Gaba	layer 1	1	2	7	9	0.777777777777778
C57BL6J-1.026	sample_1	046 Vip Gaba	layer 2/3	1	3	14	4	3.5
C57BL6J-1.026	sample_1	047 Sncg Gaba	layer 1	2	3.5	9.5	8.5	1.11764705882353
C57BL6J-1.026	sample_1	047 Sncg Gaba	layer 2/3	1	2	26	6	4.33333333333333
C57BL6J-1.026	sample_1	049 Lamp5 Gaba	layer 1	2	6	12.5	9	1.38888888888889
C57BL6J-1.026	sample_1	051 Pvalb chandelier Gaba	layer 1	1	2	10	10	1
C57BL6J-1.026	sample_1	051 Pvalb chandelier Gaba	layer 2/3	1	2	45	8	5.625
C57BL6J-1.026	sample_1	052 Pvalb Gaba	layer 2/3	1	2	8	3	2.66666666666667
C57BL6J-1.026	sample_1	053 Sst Gaba	layer 1	1	1	1	1	1
C57BL6J-1.026	sample_1	319 Astro-TE NN	layer 1	2	58	14.5	10.5	1.38095238095238
C57BL6J-1.026	sample_1	319 Astro-TE NN	layer 2/3	1	12	69	8	8.625
C57BL6J-1.026	sample_1	326 OPC NN	layer 1	3	13.6666666666667	9.66666666666667	5.33333333333333	1.8125
C57BL6J-1.026	sample_1	326 OPC NN	layer 2/3	1	6	59	8	7.375
C57BL6J-1.026	sample_1	327 Oligo NN	layer 1	1	4	10	5	2
C57BL6J-1.026	sample_1	328 OEC NN	layer 1	2	2	7.5	6	1.25
C57BL6J-1.026	sample_1	330 VLMC NN	layer 1	2	5	3.5	3	1.16666666666667
C57BL6J-1.026	sample_1	331 Peri NN	layer 1	2	6.5	8.5	5.5	1.54545454545455
C57BL6J-1.026	sample_1	331 Peri NN	layer 2/3	1	3	49	7	7
C57BL6J-1.026	sample_1	332 SMC NN	layer 1	1	5	6	9	0.666666666666667
C57BL6J-1.026	sample_1	333 Endo NN	layer 1	2	26.5	7	4	1.75
C57BL6J-1.026	sample_1	334 Microglia NN	layer 1	2	21	9	7.5	1.2
C57BL6J-1.026	sample_1	334 Microglia NN	layer 2/3	1	2	2	1	2
C57BL6J-1.026	sample_1	335 BAM NN	layer 2/3	1	1	9	2	4.5
C57BL6J-1.026	sample_1	338 Lymphoid NN	layer 1	2	1	1.5	1	1.5
C57BL6J-1.026	sample_2	007 L2/3 IT CTX Glut	layer 1	2	12	12	8.5	1.41176470588235
C57BL6J-1.026	sample_2	007 L2/3 IT CTX Glut	layer 2/3	1	89	89	11	8.09090909090909
C57BL6J-1.026	sample_2	035 OB Eomes Ms4a15 Glut	layer 1	1	1	3	2	1.5
C57BL6J-1.026	sample_2	036 HPF CR Glut	layer 1	1	1	3	4	0.75
C57BL6J-1.026	sample_2	044 OB Dopa-Gaba	layer 1	1	1	5	1	5
C57BL6J-1.026	sample_2	046 Vip Gaba	layer 1	1	3	15	14	1.07142857142857
C57BL6J-1.026	sample_2	046 Vip Gaba	layer 2/3	1	6	70	15	4.66666666666667
C57BL6J-1.026	sample_2	047 Sncg Gaba	layer 1	1	3	9	10	0.9
C57BL6J-1.026	sample_2	049 Lamp5 Gaba	layer 1	1	8	14	13	1.07692307692308
C57BL6J-1.026	sample_2	049 Lamp5 Gaba	layer 2/3	1	4	64	10	6.4
C57BL6J-1.026	sample_2	051 Pvalb chandelier Gaba	layer 1	1	2	9	7	1.28571428571429
C57BL6J-1.026	sample_2	052 Pvalb Gaba	layer 2/3	1	1	0	1	0
C57BL6J-1.026	sample_2	053 Sst Gaba	layer 1	1	2	4	4	1
C57BL6J-1.026	sample_2	053 Sst Gaba	layer 2/3	1	1	15	1	15
C57BL6J-1.026	sample_2	319 Astro-TE NN	layer 1	3	31.6666666666667	7	6	1.16666666666667
C57BL6J-1.026	sample_2	326 OPC NN	layer 1	2	13.5	10	6.5	1.53846153846154
C57BL6J-1.026	sample_2	326 OPC NN	layer 2/3	1	3	18	3	6
C57BL6J-1.026	sample_2	327 Oligo NN	layer 1	2	4.5	10.5	7	1.5
C57BL6J-1.026	sample_2	327 Oligo NN	layer 2/3	1	1	2	0	NA
C57BL6J-1.026	sample_2	328 OEC NN	layer 1	2	1.5	3.5	3.5	1
C57BL6J-1.026	sample_2	330 VLMC NN	layer 1	2	7.5	7.5	7	1.07142857142857
C57BL6J-1.026	sample_2	331 Peri NN	layer 1	2	6.5	11	7	1.57142857142857
C57BL6J-1.026	sample_2	331 Peri NN	layer 2/3	1	3	43	9	4.77777777777778
C57BL6J-1.026	sample_2	332 SMC NN	layer 1	3	3.33333333333333	8.33333333333333	2.66666666666667	3.125
C57BL6J-1.026	sample_2	333 Endo NN	layer 1	3	28	5	5.66666666666667	0.882352941176471
C57BL6J-1.026	sample_2	333 Endo NN	layer 2/3	1	13	23	7	3.28571428571429
C57BL6J-1.026	sample_2	334 Microglia NN	layer 1	3	14.6666666666667	6	4.33333333333333	1.38461538461538
C57BL6J-1.026	sample_2	335 BAM NN	layer 1	2	1.5	2.5	1.5	1.66666666666667
C57BL6J-1.026	sample_2	335 BAM NN	layer 2/3	1	1	5	0	NA
C57BL6J-1.026	sample_2	338 Lymphoid NN	layer 1	1	2	13	6	2.16666666666667
C57BL6J-1.027	sample_1	006 L4/5 IT CTX Glut	layer 2/3	2	2	12	3	4
C57BL6J-1.027	sample_1	007 L2/3 IT CTX Glut	layer 1	3	15	15	4.66666666666667	3.21428571428571
C57BL6J-1.027	sample_1	007 L2/3 IT CTX Glut	layer 2/3	1	71	73	6	12.1666666666667
C57BL6J-1.027	sample_1	046 Vip Gaba	layer 1	1	6	19	14	1.35714285714286
C57BL6J-1.027	sample_1	046 Vip Gaba	layer 2/3	1	12	151	25	6.04
C57BL6J-1.027	sample_1	047 Sncg Gaba	layer 1	1	1	3	4	0.75
C57BL6J-1.027	sample_1	047 Sncg Gaba	layer 2/3	2	2.5	47.5	8.5	5.58823529411765
C57BL6J-1.027	sample_1	049 Lamp5 Gaba	layer 1	1	8	9	9	1
C57BL6J-1.027	sample_1	049 Lamp5 Gaba	layer 2/3	1	3	43	13	3.30769230769231
C57BL6J-1.027	sample_1	052 Pvalb Gaba	layer 1	1	1	10	4	2.5
C57BL6J-1.027	sample_1	052 Pvalb Gaba	layer 2/3	1	4	94	17	5.52941176470588
C57BL6J-1.027	sample_1	319 Astro-TE NN	layer 1	4	28.5	7.5	2.75	2.72727272727273
C57BL6J-1.027	sample_1	326 OPC NN	layer 1	1	13	7	3	2.33333333333333
C57BL6J-1.027	sample_1	327 Oligo NN	layer 1	2	5.5	9.5	5	1.9
C57BL6J-1.027	sample_1	329 ABC NN	layer 1	2	2	6.5	2	3.25
C57BL6J-1.027	sample_1	330 VLMC NN	layer 1	1	6	10	5	2
C57BL6J-1.027	sample_1	331 Peri NN	layer 1	2	5.5	10	4.5	2.22222222222222
C57BL6J-1.027	sample_1	332 SMC NN	layer 1	1	2	7	6	1.16666666666667
C57BL6J-1.027	sample_1	333 Endo NN	layer 1	2	30	8	5	1.6
C57BL6J-1.027	sample_1	334 Microglia NN	layer 1	3	7.33333333333333	3.33333333333333	1.66666666666667	2
C57BL6J-1.027	sample_1	335 BAM NN	layer 1	2	1.5	6.5	5	1.3
C57BL6J-1.027	sample_2	006 L4/5 IT CTX Glut	layer 2/3	1	9	130	16	8.125
C57BL6J-1.027	sample_2	007 L2/3 IT CTX Glut	layer 1	3	10	10	2.66666666666667	3.75
C57BL6J-1.027	sample_2	007 L2/3 IT CTX Glut	layer 2/3	2	98	102.5	12.5	8.2
C57BL6J-1.027	sample_2	046 Vip Gaba	layer 1	4	1.5	1.75	2.5	0.7
C57BL6J-1.027	sample_2	046 Vip Gaba	layer 2/3	1	13	198	36	5.5
C57BL6J-1.027	sample_2	047 Sncg Gaba	layer 1	1	1	4	3	1.33333333333333
C57BL6J-1.027	sample_2	047 Sncg Gaba	layer 2/3	1	3	62	8	7.75
C57BL6J-1.027	sample_2	049 Lamp5 Gaba	layer 1	3	4	5	4.66666666666667	1.07142857142857
C57BL6J-1.027	sample_2	049 Lamp5 Gaba	layer 2/3	1	1	3	1	3
C57BL6J-1.027	sample_2	051 Pvalb chandelier Gaba	layer 2/3	1	1	26	4	6.5
C57BL6J-1.027	sample_2	052 Pvalb Gaba	layer 1	1	1	7	6	1.16666666666667
C57BL6J-1.027	sample_2	052 Pvalb Gaba	layer 2/3	1	4	117	14	8.35714285714286
C57BL6J-1.027	sample_2	053 Sst Gaba	layer 1	1	1	3	4	0.75
C57BL6J-1.027	sample_2	053 Sst Gaba	layer 2/3	1	5	64	11	5.81818181818182
C57BL6J-1.027	sample_2	319 Astro-TE NN	layer 1	2	23	2.5	3	0.833333333333333
C57BL6J-1.027	sample_2	319 Astro-TE NN	layer 2/3	1	34	181	29	6.24137931034483
C57BL6J-1.027	sample_2	326 OPC NN	layer 1	1	22	14	8	1.75
C57BL6J-1.027	sample_2	326 OPC NN	layer 2/3	1	12	142	23	6.17391304347826
C57BL6J-1.027	sample_2	327 Oligo NN	layer 1	1	7	11	3	3.66666666666667
