subclass	sample	random_cluster_n	random_max_cluster_size	true_mean_cluster_size	difference_true_mean_minus_random_max
001 CLA-EPd-CTX Car3 Glut	sample_1	1059	1180.0	277.578231292517	-902.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_10	1064	1973.0	277.578231292517	-1695.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_100	1062	1144.0	277.578231292517	-866.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_101	1045	1201.0	277.578231292517	-923.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_102	1087	1484.0	277.578231292517	-1206.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_103	1021	1769.0	277.578231292517	-1491.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_104	1052	1268.0	277.578231292517	-990.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_105	1054	1213.0	277.578231292517	-935.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_106	1064	1016.0	277.578231292517	-738.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_107	1039	1171.0	277.578231292517	-893.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_108	1096	1249.0	277.578231292517	-971.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_109	1052	1684.0	277.578231292517	-1406.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_11	1061	1448.0	277.578231292517	-1170.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_110	1047	1557.0	277.578231292517	-1279.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_111	1032	1156.0	277.578231292517	-878.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_112	1051	1609.0	277.578231292517	-1331.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_113	1026	1899.0	277.578231292517	-1621.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_114	1049	1990.0	277.578231292517	-1712.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_115	1028	1284.0	277.578231292517	-1006.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_116	1070	1888.0	277.578231292517	-1610.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_117	1042	1201.0	277.578231292517	-923.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_118	1038	1662.0	277.578231292517	-1384.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_119	1085	1409.0	277.578231292517	-1131.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_12	1038	1081.0	277.578231292517	-803.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_120	1056	1058.0	277.578231292517	-780.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_121	1018	1693.0	277.578231292517	-1415.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_122	1068	1019.0	277.578231292517	-741.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_123	1045	1551.0	277.578231292517	-1273.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_124	1038	1231.0	277.578231292517	-953.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_125	1035	1668.0	277.578231292517	-1390.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_126	1036	1358.0	277.578231292517	-1080.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_127	1055	1562.0	277.578231292517	-1284.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_128	1022	1266.0	277.578231292517	-988.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_129	1050	1045.0	277.578231292517	-767.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_13	1059	1074.0	277.578231292517	-796.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_130	1054	1408.0	277.578231292517	-1130.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_131	1052	1663.0	277.578231292517	-1385.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_132	1070	1063.0	277.578231292517	-785.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_133	1003	1533.0	277.578231292517	-1255.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_134	1080	1112.0	277.578231292517	-834.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_135	1065	1260.0	277.578231292517	-982.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_136	1055	1165.0	277.578231292517	-887.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_137	1009	1510.0	277.578231292517	-1232.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_138	1068	1135.0	277.578231292517	-857.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_139	1023	1325.0	277.578231292517	-1047.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_14	1021	1463.0	277.578231292517	-1185.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_140	1087	1373.0	277.578231292517	-1095.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_141	1011	1192.0	277.578231292517	-914.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_142	1062	1071.0	277.578231292517	-793.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_143	1047	1259.0	277.578231292517	-981.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_144	1046	1004.0	277.578231292517	-726.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_145	1052	942.0	277.578231292517	-664.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_146	1052	1234.0	277.578231292517	-956.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_147	1065	1535.0	277.578231292517	-1257.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_148	1095	1270.0	277.578231292517	-992.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_149	1050	1881.0	277.578231292517	-1603.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_15	1070	1568.0	277.578231292517	-1290.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_150	1062	1374.0	277.578231292517	-1096.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_151	1046	1541.0	277.578231292517	-1263.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_152	1064	1278.0	277.578231292517	-1000.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_153	1032	1164.0	277.578231292517	-886.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_154	1058	1296.0	277.578231292517	-1018.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_155	1051	1424.0	277.578231292517	-1146.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_156	1086	1448.0	277.578231292517	-1170.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_157	1072	1240.0	277.578231292517	-962.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_158	1072	1184.0	277.578231292517	-906.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_159	1039	1647.0	277.578231292517	-1369.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_16	1057	1523.0	277.578231292517	-1245.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_160	1049	1292.0	277.578231292517	-1014.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_161	1068	1436.0	277.578231292517	-1158.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_162	1048	1042.0	277.578231292517	-764.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_163	1078	1303.0	277.578231292517	-1025.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_164	1049	1773.0	277.578231292517	-1495.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_165	1079	1308.0	277.578231292517	-1030.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_166	1055	1308.0	277.578231292517	-1030.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_167	1045	1425.0	277.578231292517	-1147.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_168	1062	1379.0	277.578231292517	-1101.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_169	1016	1458.0	277.578231292517	-1180.421768707483
001 CLA-EPd-CTX Car3 Glut	sample_17	1045	1536.0	277.578231292517	-1258.421768707483
