subclass	true_cluster_n	true_mean_cluster_size	true_median_cluster_size	random_sample_n	random_mean_of_replicate_maxima	random_median_of_replicate_maxima	random_q1	random_q3	random_min	random_max	difference_true_mean_minus_random_max_mean	fold_change_true_mean_over_random_max_mean	p_one_sided_true_gt	p_one_sided_true_lt	p_two_sided
001 CLA-EPd-CTX Car3 Glut	588	277.578231292517	178.0	500	1361.158	1313.5	1150.0	1533.5	791.0	2461.0	-1083.5797687074828	0.20392800196047559	1.0	0.001996007984031936	0.003992015968063872
002 IT EP-CLA Glut	251	163.71314741035857	134.0	500	977.176	936.5	812.5	1108.0	546.0	1992.0	-813.4628525896414	0.16753701217626973	1.0	0.001996007984031936	0.00998003992015968
003 L5/6 IT TPE-ENT Glut	142	156.08450704225353	131.0	500	901.508	849.5	765.75	999.0	517.0	1638.0	-745.4234929577465	0.1731371291682975	1.0	0.001996007984031936	0.001996007984031936
004 L6 IT CTX Glut	790	311.86962025316456	165.0	500	1749.664	1661.0	1453.75	1957.75	999.0	4099.0	-1437.7943797468354	0.17824543469669865	1.0	0.001996007984031936	0.015968063872255488
005 L5 IT CTX Glut	690	367.2782608695652	245.5	500	1979.368	1897.5	1579.75	2280.5	975.0	4527.0	-1612.0897391304347	0.18555329825962893	1.0	0.001996007984031936	0.007984031936127744
006 L4/5 IT CTX Glut	1124	362.37544483985766	247.0	500	1802.822	1722.5	1493.5	2045.0	970.0	3525.0	-1440.4465551601422	0.20100456109358422	1.0	0.001996007984031936	0.007984031936127744
007 L2/3 IT CTX Glut	1307	293.20198928844684	175.0	500	1528.42	1408.5	1221.75	1716.5	838.0	3191.0	-1235.2180107115532	0.1918333895712218	1.0	0.001996007984031936	0.02594810379241517
008 L2/3 IT ENT Glut	51	108.82352941176471	73.0	500	541.06	516.5	455.75	599.5	340.0	1208.0	-432.23647058823525	0.2011302432480034	1.0	0.001996007984031936	0.00998003992015968
009 L2/3 IT PIR-ENTl Glut	90	118.88888888888889	106.5	500	614.226	590.0	533.75	677.25	435.0	949.0	-495.3371111111111	0.19355886740204564	1.0	0.001996007984031936	0.001996007984031936
010 IT AON-TT-DP Glut	71	156.6056338028169	128.0	500	964.274	906.5	736.5	1116.25	429.0	2538.0	-807.6683661971831	0.16240781541638258	1.0	0.001996007984031936	0.027944111776447105
011 L2 IT ENT-po Glut	10	98.1	68.0	500	342.062	315.5	247.0	419.25	163.0	716.0	-243.96200000000002	0.28679011407288735	1.0	0.001996007984031936	0.031936127744510975
012 MEA Slc17a7 Glut	4	113.5	110.0	500	170.364	174.5	153.0	189.0	79.0	236.0	-56.864000000000004	0.6662205630297481	0.9660678642714571	0.03592814371257485	0.043912175648702596
013 COAp Grxcr2 Glut	3	148.66666666666666	156.0	500	258.906	263.0	233.0	286.0	128.0	343.0	-110.23933333333335	0.5742109748969381	0.9940119760479041	0.007984031936127744	0.007984031936127744
