Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.6018185231859_3.43526638534395	4.6018185231859	3.43526638534395	5.0018185231859	3.83526638534395	0.0360963903609639
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.60203960690884_3.41526638534395	4.60203960690884	3.41526638534395	5.00203960690884	3.81526638534395	0.0461953804619538
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.61366456778621_3.39526638534395	4.61366456778621	3.39526638534395	5.01366456778621	3.79526638534395	0.0374962503749625
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.61514627782736_3.33526638534395	4.61514627782736	3.33526638534395	5.01514627782736	3.73526638534395	0.0466953304669533
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.61944165015836_3.37526638534395	4.61944165015836	3.37526638534395	5.01944165015836	3.77526638534395	0.0376962303769623
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.6218185231859_3.43526638534395	4.6218185231859	3.43526638534395	5.0218185231859	3.83526638534395	0.0257974202579742
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.6218185231859_3.45526638534395	4.6218185231859	3.45526638534395	5.0218185231859	3.85526638534395	0.0396960303969603
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.62203960690884_3.41526638534395	4.62203960690884	3.41526638534395	5.02203960690884	3.81526638534395	0.035996400359964
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.63366456778621_3.39526638534395	4.63366456778621	3.39526638534395	5.03366456778621	3.79526638534395	0.0121987801219878
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.63514627782736_3.33526638534395	4.63514627782736	3.33526638534395	5.03514627782736	3.73526638534395	0.0134986501349865
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.63514627782736_3.35526638534395	4.63514627782736	3.35526638534395	5.03514627782736	3.75526638534395	0.0176982301769823
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.63944165015836_3.37526638534395	4.63944165015836	3.37526638534395	5.03944165015836	3.77526638534395	0.0143985601439856
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.6418185231859_3.43526638534395	4.6418185231859	3.43526638534395	5.0418185231859	3.83526638534395	0.0117988201179882
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.6418185231859_3.45526638534395	4.6418185231859	3.45526638534395	5.0418185231859	3.85526638534395	0.017998200179982
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.64203960690884_3.41526638534395	4.64203960690884	3.41526638534395	5.04203960690884	3.81526638534395	0.0108989101089891
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.65366456778621_3.39526638534395	4.65366456778621	3.39526638534395	5.05366456778621	3.79526638534395	0.0052994700529947
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.65514627782736_3.33526638534395	4.65514627782736	3.33526638534395	5.05514627782736	3.73526638534395	0.0051994800519948
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.65514627782736_3.35526638534395	4.65514627782736	3.35526638534395	5.05514627782736	3.75526638534395	0.0068993100689931
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.65944165015836_3.37526638534395	4.65944165015836	3.37526638534395	5.05944165015836	3.77526638534395	0.0052994700529947
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.6618185231859_3.43526638534395	4.6618185231859	3.43526638534395	5.0618185231859	3.83526638534395	0.0055994400559944
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.6618185231859_3.45526638534395	4.6618185231859	3.45526638534395	5.0618185231859	3.85526638534395	0.0096990300969903
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.66203960690884_3.41526638534395	4.66203960690884	3.41526638534395	5.06203960690884	3.81526638534395	0.0030996900309969
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.67366456778621_3.39526638534395	4.67366456778621	3.39526638534395	5.07366456778621	3.79526638534395	0.0111988801119888
042 OB-out Frmd7 Gaba	layer 1	regions_1	4.67514627782736_3.33526638534395	4.67514627782736	3.33526638534395	5.07514627782736	3.73526638534395	0.0122987701229877
