Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.61143832479942_3.51526638534395	4.61143832479942	3.51526638534395	5.01143832479942	3.91526638534395	0.0401959804019598
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.61153824734647_3.53526638534395	4.61153824734647	3.53526638534395	5.01153824734647	3.93526638534395	0.0217978202179782
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.61153824734647_3.55526638534395	4.61153824734647	3.55526638534395	5.01153824734647	3.95526638534395	0.0152984701529847
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.61153824734647_3.57526638534395	4.61153824734647	3.57526638534395	5.01153824734647	3.97526638534395	0.0345965403459654
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.63143832479942_3.49526638534395	4.63143832479942	3.49526638534395	5.03143832479942	3.89526638534395	0.0476952304769523
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.63143832479942_3.51526638534395	4.63143832479942	3.51526638534395	5.03143832479942	3.91526638534395	0.0343965603439656
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.63153824734647_3.53526638534395	4.63153824734647	3.53526638534395	5.03153824734647	3.93526638534395	0.01999800019998
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.63153824734647_3.55526638534395	4.63153824734647	3.55526638534395	5.03153824734647	3.95526638534395	0.0146985301469853
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.63153824734647_3.57526638534395	4.63153824734647	3.57526638534395	5.03153824734647	3.97526638534395	0.0335966403359664
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.65143832479942_3.49526638534395	4.65143832479942	3.49526638534395	5.05143832479942	3.89526638534395	0.0377962203779622
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.65143832479942_3.51526638534395	4.65143832479942	3.51526638534395	5.05143832479942	3.91526638534395	0.0286971302869713
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.65153824734647_3.53526638534395	4.65153824734647	3.53526638534395	5.05153824734647	3.93526638534395	0.0170982901709829
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.65153824734647_3.55526638534395	4.65153824734647	3.55526638534395	5.05153824734647	3.95526638534395	0.0121987801219878
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.65153824734647_3.57526638534395	4.65153824734647	3.57526638534395	5.05153824734647	3.97526638534395	0.0284971502849715
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.6618185231859_3.47526638534395	4.6618185231859	3.47526638534395	5.0618185231859	3.87526638534395	0.0431956804319568
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.67100131281686_3.59526638534395	4.67100131281686	3.59526638534395	5.07100131281686	3.99526638534395	0.0142985701429857
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.67143832479942_3.49526638534395	4.67143832479942	3.49526638534395	5.07143832479942	3.89526638534395	0.0075992400759924
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.67143832479942_3.51526638534395	4.67143832479942	3.51526638534395	5.07143832479942	3.91526638534395	0.0055994400559944
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.67153824734647_3.53526638534395	4.67153824734647	3.53526638534395	5.07153824734647	3.93526638534395	0.0023997600239976
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.67153824734647_3.55526638534395	4.67153824734647	3.55526638534395	5.07153824734647	3.95526638534395	0.0014998500149985
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.67153824734647_3.57526638534395	4.67153824734647	3.57526638534395	5.07153824734647	3.97526638534395	0.0051994800519948
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.67366456778621_3.39526638534395	4.67366456778621	3.39526638534395	5.07366456778621	3.79526638534395	0.008999100089991
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.67514627782736_3.33526638534395	4.67514627782736	3.33526638534395	5.07514627782736	3.73526638534395	0.0087991200879912
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.67514627782736_3.35526638534395	4.67514627782736	3.35526638534395	5.07514627782736	3.75526638534395	0.0097990200979902
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.67944165015836_3.37526638534395	4.67944165015836	3.37526638534395	5.07944165015836	3.77526638534395	0.0102989701029897
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.6818185231859_3.43526638534395	4.6818185231859	3.43526638534395	5.0818185231859	3.83526638534395	0.0058994100589941
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.6818185231859_3.45526638534395	4.6818185231859	3.45526638534395	5.0818185231859	3.85526638534395	0.0036996300369963
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.6818185231859_3.47526638534395	4.6818185231859	3.47526638534395	5.0818185231859	3.87526638534395	0.0024997500249975
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.68203960690884_3.41526638534395	4.68203960690884	3.41526638534395	5.08203960690884	3.81526638534395	0.0078992100789921
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.69100131281686_3.59526638534395	4.69100131281686	3.59526638534395	5.09100131281686	3.99526638534395	0.0170982901709829
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.69143832479942_3.49526638534395	4.69143832479942	3.49526638534395	5.09143832479942	3.89526638534395	0.0011998800119988
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.69143832479942_3.51526638534395	4.69143832479942	3.51526638534395	5.09143832479942	3.91526638534395	0.0007999200079992
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.69153824734647_3.53526638534395	4.69153824734647	3.53526638534395	5.09153824734647	3.93526638534395	0.0004999500049995
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.69153824734647_3.55526638534395	4.69153824734647	3.55526638534395	5.09153824734647	3.95526638534395	0.0010998900109989
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.69153824734647_3.57526638534395	4.69153824734647	3.57526638534395	5.09153824734647	3.97526638534395	0.0053994600539946
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.69366456778621_3.39526638534395	4.69366456778621	3.39526638534395	5.09366456778621	3.79526638534395	0.0098990100989901
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.69514627782736_3.33526638534395	4.69514627782736	3.33526638534395	5.09514627782736	3.73526638534395	0.008999100089991
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.69514627782736_3.35526638534395	4.69514627782736	3.35526638534395	5.09514627782736	3.75526638534395	0.0106989301069893
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.69944165015836_3.37526638534395	4.69944165015836	3.37526638534395	5.09944165015836	3.77526638534395	0.0100989901009899
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.7018185231859_3.43526638534395	4.7018185231859	3.43526638534395	5.1018185231859	3.83526638534395	0.0052994700529947
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.7018185231859_3.45526638534395	4.7018185231859	3.45526638534395	5.1018185231859	3.85526638534395	0.002999700029997
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.7018185231859_3.47526638534395	4.7018185231859	3.47526638534395	5.1018185231859	3.87526638534395	0.0021997800219978
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.70203960690884_3.41526638534395	4.70203960690884	3.41526638534395	5.10203960690884	3.81526638534395	0.0072992700729927
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.71100131281686_3.59526638534395	4.71100131281686	3.59526638534395	5.11100131281686	3.99526638534395	0.001999800019998
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.71143832479942_3.49526638534395	4.71143832479942	3.49526638534395	5.11143832479942	3.89526638534395	0.0001999800019998
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.71143832479942_3.51526638534395	4.71143832479942	3.51526638534395	5.11143832479942	3.91526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.71153824734647_3.53526638534395	4.71153824734647	3.53526638534395	5.11153824734647	3.93526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.71153824734647_3.55526638534395	4.71153824734647	3.55526638534395	5.11153824734647	3.95526638534395	0.0002999700029997
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.71153824734647_3.57526638534395	4.71153824734647	3.57526638534395	5.11153824734647	3.97526638534395	0.0005999400059994
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.71366456778621_3.39526638534395	4.71366456778621	3.39526638534395	5.11366456778621	3.79526638534395	0.001999800019998
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.71514627782736_3.33526638534395	4.71514627782736	3.33526638534395	5.11514627782736	3.73526638534395	0.0017998200179982
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.71514627782736_3.35526638534395	4.71514627782736	3.35526638534395	5.11514627782736	3.75526638534395	0.0017998200179982
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.71944165015836_3.37526638534395	4.71944165015836	3.37526638534395	5.11944165015836	3.77526638534395	0.0002999700029997
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.7218185231859_3.43526638534395	4.7218185231859	3.43526638534395	5.1218185231859	3.83526638534395	0.0001999800019998
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.7218185231859_3.45526638534395	4.7218185231859	3.45526638534395	5.1218185231859	3.85526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.7218185231859_3.47526638534395	4.7218185231859	3.47526638534395	5.1218185231859	3.87526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.72203960690884_3.41526638534395	4.72203960690884	3.41526638534395	5.12203960690884	3.81526638534395	0.0002999700029997
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.73100131281686_3.59526638534395	4.73100131281686	3.59526638534395	5.13100131281686	3.99526638534395	0.0022997700229977
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.73143832479942_3.49526638534395	4.73143832479942	3.49526638534395	5.13143832479942	3.89526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.73143832479942_3.51526638534395	4.73143832479942	3.51526638534395	5.13143832479942	3.91526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.73153824734647_3.53526638534395	4.73153824734647	3.53526638534395	5.13153824734647	3.93526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.73153824734647_3.55526638534395	4.73153824734647	3.55526638534395	5.13153824734647	3.95526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.73153824734647_3.57526638534395	4.73153824734647	3.57526638534395	5.13153824734647	3.97526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.73366456778621_3.39526638534395	4.73366456778621	3.39526638534395	5.13366456778621	3.79526638534395	0.0003999600039996
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.73514627782736_3.33526638534395	4.73514627782736	3.33526638534395	5.13514627782736	3.73526638534395	0.0015998400159984
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.73514627782736_3.35526638534395	4.73514627782736	3.35526638534395	5.13514627782736	3.75526638534395	0.0015998400159984
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.73944165015836_3.37526638534395	4.73944165015836	3.37526638534395	5.13944165015836	3.77526638534395	0.0002999700029997
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.7418185231859_3.43526638534395	4.7418185231859	3.43526638534395	5.1418185231859	3.83526638534395	0.0001999800019998
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.7418185231859_3.45526638534395	4.7418185231859	3.45526638534395	5.1418185231859	3.85526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.7418185231859_3.47526638534395	4.7418185231859	3.47526638534395	5.1418185231859	3.87526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.74203960690884_3.41526638534395	4.74203960690884	3.41526638534395	5.14203960690884	3.81526638534395	0.0003999600039996
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.75100131281686_3.59526638534395	4.75100131281686	3.59526638534395	5.15100131281686	3.99526638534395	0.0024997500249975
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.75143832479942_3.49526638534395	4.75143832479942	3.49526638534395	5.15143832479942	3.89526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.75143832479942_3.51526638534395	4.75143832479942	3.51526638534395	5.15143832479942	3.91526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.75153824734647_3.53526638534395	4.75153824734647	3.53526638534395	5.15153824734647	3.93526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.75153824734647_3.55526638534395	4.75153824734647	3.55526638534395	5.15153824734647	3.95526638534395	9.99900009999e-05
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.75153824734647_3.57526638534395	4.75153824734647	3.57526638534395	5.15153824734647	3.97526638534395	0.0001999800019998
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.75366456778621_3.39526638534395	4.75366456778621	3.39526638534395	5.15366456778621	3.79526638534395	0.0003999600039996
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.75514627782736_3.33526638534395	4.75514627782736	3.33526638534395	5.15514627782736	3.73526638534395	0.0013998600139986
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.75514627782736_3.35526638534395	4.75514627782736	3.35526638534395	5.15514627782736	3.75526638534395	0.0014998500149985
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.75944165015836_3.37526638534395	4.75944165015836	3.37526638534395	5.15944165015836	3.77526638534395	0.0002999700029997
043 OB-mi Frmd7 Gaba	layer 1	regions_1	4.7618185231859_3.43526638534395	4.7618185231859	3.43526638534395	5.1618185231859	3.83526638534395	0.0001999800019998
