Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
044 OB Dopa-Gaba	layer 1	regions_1	4.45100131281686_3.61526638534395	4.45100131281686	3.61526638534395	4.85100131281686	4.01526638534395	0.0422957704229577
044 OB Dopa-Gaba	layer 1	regions_1	4.47100131281686_3.61526638534395	4.47100131281686	3.61526638534395	4.87100131281686	4.01526638534395	0.0424957504249575
044 OB Dopa-Gaba	layer 1	regions_1	4.49100131281686_3.61526638534395	4.49100131281686	3.61526638534395	4.89100131281686	4.01526638534395	0.0402959704029597
044 OB Dopa-Gaba	layer 1	regions_1	4.51100131281686_3.61526638534395	4.51100131281686	3.61526638534395	4.91100131281686	4.01526638534395	0.0441955804419558
044 OB Dopa-Gaba	layer 1	regions_1	4.66203960690884_3.41526638534395	4.66203960690884	3.41526638534395	5.06203960690884	3.81526638534395	0.0471952804719528
044 OB Dopa-Gaba	layer 1	regions_1	4.69366456778621_3.39526638534395	4.69366456778621	3.39526638534395	5.09366456778621	3.79526638534395	0.0331966803319668
044 OB Dopa-Gaba	layer 1	regions_1	4.69514627782736_3.33526638534395	4.69514627782736	3.33526638534395	5.09514627782736	3.73526638534395	0.0301969803019698
044 OB Dopa-Gaba	layer 1	regions_1	4.69514627782736_3.35526638534395	4.69514627782736	3.35526638534395	5.09514627782736	3.75526638534395	0.0363963603639636
044 OB Dopa-Gaba	layer 1	regions_1	4.75366456778621_3.39526638534395	4.75366456778621	3.39526638534395	5.15366456778621	3.79526638534395	0.0381961803819618
044 OB Dopa-Gaba	layer 1	regions_1	4.75514627782736_3.33526638534395	4.75514627782736	3.33526638534395	5.15514627782736	3.73526638534395	0.0250974902509749
044 OB Dopa-Gaba	layer 1	regions_1	4.75514627782736_3.35526638534395	4.75514627782736	3.35526638534395	5.15514627782736	3.75526638534395	0.0321967803219678
044 OB Dopa-Gaba	layer 1	regions_1	4.75944165015836_3.37526638534395	4.75944165015836	3.37526638534395	5.15944165015836	3.77526638534395	0.0293970602939706
044 OB Dopa-Gaba	layer 1	regions_1	4.7618185231859_3.43526638534395	4.7618185231859	3.43526638534395	5.1618185231859	3.83526638534395	0.0444955504449555
044 OB Dopa-Gaba	layer 1	regions_1	4.76203960690884_3.41526638534395	4.76203960690884	3.41526638534395	5.16203960690884	3.81526638534395	0.0166983301669833
044 OB Dopa-Gaba	layer 1	regions_1	4.77366456778621_3.39526638534395	4.77366456778621	3.39526638534395	5.17366456778621	3.79526638534395	0.0223977602239776
044 OB Dopa-Gaba	layer 1	regions_1	4.77514627782736_3.33526638534395	4.77514627782736	3.33526638534395	5.17514627782736	3.73526638534395	0.0131986801319868
044 OB Dopa-Gaba	layer 1	regions_1	4.77514627782736_3.35526638534395	4.77514627782736	3.35526638534395	5.17514627782736	3.75526638534395	0.0176982301769823
044 OB Dopa-Gaba	layer 1	regions_1	4.77944165015836_3.37526638534395	4.77944165015836	3.37526638534395	5.17944165015836	3.77526638534395	0.0444955504449555
044 OB Dopa-Gaba	layer 1	regions_1	4.78203960690884_3.41526638534395	4.78203960690884	3.41526638534395	5.18203960690884	3.81526638534395	0.0263973602639736
044 OB Dopa-Gaba	layer 1	regions_1	4.95366456778621_3.39526638534395	4.95366456778621	3.39526638534395	5.35366456778621	3.79526638534395	0.0347965203479652
044 OB Dopa-Gaba	layer 1	regions_1	4.95514627782736_3.33526638534395	4.95514627782736	3.33526638534395	5.35514627782736	3.73526638534395	0.0127987201279872
044 OB Dopa-Gaba	layer 1	regions_1	4.95514627782736_3.35526638534395	4.95514627782736	3.35526638534395	5.35514627782736	3.75526638534395	0.0182981701829817
