Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
045 OB-STR-CTX Inh IMN	layer 1	regions_1	3.95100131281686_3.91526638534395	3.95100131281686	3.91526638534395	4.35100131281686	4.31526638534395	0.0462953704629537
045 OB-STR-CTX Inh IMN	layer 1	regions_1	3.97100131281686_3.91526638534395	3.97100131281686	3.91526638534395	4.37100131281686	4.31526638534395	0.0445955404459554
045 OB-STR-CTX Inh IMN	layer 1	regions_1	3.99100131281686_3.91526638534395	3.99100131281686	3.91526638534395	4.39100131281686	4.31526638534395	0.0384961503849615
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.01100131281686_3.89526638534395	4.01100131281686	3.89526638534395	4.41100131281686	4.29526638534395	0.0456954304569543
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.01100131281686_3.91526638534395	4.01100131281686	3.91526638534395	4.41100131281686	4.31526638534395	0.0328967103289671
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.03100131281686_3.89526638534395	4.03100131281686	3.89526638534395	4.43100131281686	4.29526638534395	0.0363963603639636
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.03100131281686_3.91526638534395	4.03100131281686	3.91526638534395	4.43100131281686	4.31526638534395	0.0257974202579742
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.05100131281686_3.87526638534395	4.05100131281686	3.87526638534395	4.45100131281686	4.27526638534395	0.0461953804619538
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.05100131281686_3.89526638534395	4.05100131281686	3.89526638534395	4.45100131281686	4.29526638534395	0.0323967603239676
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.05100131281686_3.91526638534395	4.05100131281686	3.91526638534395	4.45100131281686	4.31526638534395	0.0241975802419758
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.07100131281686_3.85526638534395	4.07100131281686	3.85526638534395	4.47100131281686	4.25526638534395	0.0441955804419558
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.07100131281686_3.87526638534395	4.07100131281686	3.87526638534395	4.47100131281686	4.27526638534395	0.0341965803419658
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.07100131281686_3.89526638534395	4.07100131281686	3.89526638534395	4.47100131281686	4.29526638534395	0.0241975802419758
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.07100131281686_3.91526638534395	4.07100131281686	3.91526638534395	4.47100131281686	4.31526638534395	0.0174982501749825
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.09100131281686_3.83526638534395	4.09100131281686	3.83526638534395	4.49100131281686	4.23526638534395	0.0452954704529547
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.09100131281686_3.85526638534395	4.09100131281686	3.85526638534395	4.49100131281686	4.25526638534395	0.0373962603739626
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.09100131281686_3.87526638534395	4.09100131281686	3.87526638534395	4.49100131281686	4.27526638534395	0.0276972302769723
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.09100131281686_3.89526638534395	4.09100131281686	3.89526638534395	4.49100131281686	4.29526638534395	0.0183981601839816
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.09100131281686_3.91526638534395	4.09100131281686	3.91526638534395	4.49100131281686	4.31526638534395	0.0134986501349865
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.11100131281686_3.81526638534395	4.11100131281686	3.81526638534395	4.51100131281686	4.21526638534395	0.0472952704729527
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.11100131281686_3.83526638534395	4.11100131281686	3.83526638534395	4.51100131281686	4.23526638534395	0.0323967603239676
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.11100131281686_3.85526638534395	4.11100131281686	3.85526638534395	4.51100131281686	4.25526638534395	0.0271972802719728
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.11100131281686_3.87526638534395	4.11100131281686	3.87526638534395	4.51100131281686	4.27526638534395	0.0198980101989801
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.11100131281686_3.89526638534395	4.11100131281686	3.89526638534395	4.51100131281686	4.29526638534395	0.0118988101189881
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.11100131281686_3.91526638534395	4.11100131281686	3.91526638534395	4.51100131281686	4.31526638534395	0.0080991900809919
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.13100131281686_3.79526638534395	4.13100131281686	3.79526638534395	4.53100131281686	4.19526638534395	0.0456954304569543
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.13100131281686_3.81526638534395	4.13100131281686	3.81526638534395	4.53100131281686	4.21526638534395	0.0394960503949605
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.13100131281686_3.83526638534395	4.13100131281686	3.83526638534395	4.53100131281686	4.23526638534395	0.0271972802719728
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.13100131281686_3.85526638534395	4.13100131281686	3.85526638534395	4.53100131281686	4.25526638534395	0.0232976702329767
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.13100131281686_3.87526638534395	4.13100131281686	3.87526638534395	4.53100131281686	4.27526638534395	0.0174982501749825
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.13100131281686_3.89526638534395	4.13100131281686	3.89526638534395	4.53100131281686	4.29526638534395	0.0098990100989901
045 OB-STR-CTX Inh IMN	layer 1	regions_1	4.13100131281686_3.91526638534395	4.13100131281686	3.91526638534395	4.53100131281686	4.31526638534395	0.0064993500649935
