Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
117 LHA Barhl2 Glut	layer 1	regions_1	4.45100131281686_3.69526638534395	4.45100131281686	3.69526638534395	4.85100131281686	4.09526638534395	0.0435956404359564
117 LHA Barhl2 Glut	layer 1	regions_1	4.45100131281686_3.71526638534395	4.45100131281686	3.71526638534395	4.85100131281686	4.11526638534395	0.0242975702429757
117 LHA Barhl2 Glut	layer 1	regions_1	4.45100131281686_3.73526638534395	4.45100131281686	3.73526638534395	4.85100131281686	4.13526638534395	0.008999100089991
117 LHA Barhl2 Glut	layer 1	regions_1	4.47100131281686_3.69526638534395	4.47100131281686	3.69526638534395	4.87100131281686	4.09526638534395	0.0421957804219578
117 LHA Barhl2 Glut	layer 1	regions_1	4.47100131281686_3.71526638534395	4.47100131281686	3.71526638534395	4.87100131281686	4.11526638534395	0.0216978302169783
117 LHA Barhl2 Glut	layer 1	regions_1	4.47100131281686_3.73526638534395	4.47100131281686	3.73526638534395	4.87100131281686	4.13526638534395	0.0078992100789921
117 LHA Barhl2 Glut	layer 1	regions_1	4.49100131281686_3.69526638534395	4.49100131281686	3.69526638534395	4.89100131281686	4.09526638534395	0.0402959704029597
117 LHA Barhl2 Glut	layer 1	regions_1	4.49100131281686_3.71526638534395	4.49100131281686	3.71526638534395	4.89100131281686	4.11526638534395	0.0202979702029797
117 LHA Barhl2 Glut	layer 1	regions_1	4.49100131281686_3.73526638534395	4.49100131281686	3.73526638534395	4.89100131281686	4.13526638534395	0.0064993500649935
117 LHA Barhl2 Glut	layer 1	regions_1	4.51100131281686_3.69526638534395	4.51100131281686	3.69526638534395	4.91100131281686	4.09526638534395	0.0406959304069593
117 LHA Barhl2 Glut	layer 1	regions_1	4.51100131281686_3.71526638534395	4.51100131281686	3.71526638534395	4.91100131281686	4.11526638534395	0.0201979802019798
117 LHA Barhl2 Glut	layer 1	regions_1	4.51100131281686_3.73526638534395	4.51100131281686	3.73526638534395	4.91100131281686	4.13526638534395	0.0056994300569943
117 LHA Barhl2 Glut	layer 1	regions_1	4.53100131281686_3.69526638534395	4.53100131281686	3.69526638534395	4.93100131281686	4.09526638534395	0.0358964103589641
117 LHA Barhl2 Glut	layer 1	regions_1	4.53100131281686_3.71526638534395	4.53100131281686	3.71526638534395	4.93100131281686	4.11526638534395	0.0173982601739826
117 LHA Barhl2 Glut	layer 1	regions_1	4.53100131281686_3.73526638534395	4.53100131281686	3.73526638534395	4.93100131281686	4.13526638534395	0.0043995600439956
117 LHA Barhl2 Glut	layer 1	regions_1	4.55100131281686_3.69526638534395	4.55100131281686	3.69526638534395	4.95100131281686	4.09526638534395	0.0391960803919608
