Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
320 Astro-OLF NN	layer 1	regions_1	4.0418185231859_3.43526638534395	4.0418185231859	3.43526638534395	4.4418185231859	3.83526638534395	0.048995100489951
320 Astro-OLF NN	layer 1	regions_1	4.0418185231859_3.45526638534395	4.0418185231859	3.45526638534395	4.4418185231859	3.85526638534395	0.045995400459954
320 Astro-OLF NN	layer 1	regions_1	4.0418185231859_3.47526638534395	4.0418185231859	3.47526638534395	4.4418185231859	3.87526638534395	0.0455954404559544
320 Astro-OLF NN	layer 1	regions_1	4.0618185231859_3.45526638534395	4.0618185231859	3.45526638534395	4.4618185231859	3.85526638534395	0.0484951504849515
320 Astro-OLF NN	layer 1	regions_1	4.0618185231859_3.47526638534395	4.0618185231859	3.47526638534395	4.4618185231859	3.87526638534395	0.0421957804219578
320 Astro-OLF NN	layer 1	regions_1	4.0818185231859_3.45526638534395	4.0818185231859	3.45526638534395	4.4818185231859	3.85526638534395	0.0431956804319568
320 Astro-OLF NN	layer 1	regions_1	4.0818185231859_3.47526638534395	4.0818185231859	3.47526638534395	4.4818185231859	3.87526638534395	0.0385961403859614
320 Astro-OLF NN	layer 1	regions_1	4.09100131281686_3.61526638534395	4.09100131281686	3.61526638534395	4.49100131281686	4.01526638534395	0.0433956604339566
320 Astro-OLF NN	layer 1	regions_1	4.09100131281686_3.63526638534395	4.09100131281686	3.63526638534395	4.49100131281686	4.03526638534395	0.0265973402659734
320 Astro-OLF NN	layer 1	regions_1	4.09100131281686_3.65526638534395	4.09100131281686	3.65526638534395	4.49100131281686	4.05526638534395	0.0386961303869613
320 Astro-OLF NN	layer 1	regions_1	4.09100131281686_3.69526638534395	4.09100131281686	3.69526638534395	4.49100131281686	4.09526638534395	0.0386961303869613
320 Astro-OLF NN	layer 1	regions_1	4.09100131281686_3.71526638534395	4.09100131281686	3.71526638534395	4.49100131281686	4.11526638534395	0.0430956904309569
320 Astro-OLF NN	layer 1	regions_1	4.09153824734647_3.57526638534395	4.09153824734647	3.57526638534395	4.49153824734647	3.97526638534395	0.0471952804719528
320 Astro-OLF NN	layer 1	regions_1	4.11100131281686_3.61526638534395	4.11100131281686	3.61526638534395	4.51100131281686	4.01526638534395	0.0383961603839616
320 Astro-OLF NN	layer 1	regions_1	4.11100131281686_3.63526638534395	4.11100131281686	3.63526638534395	4.51100131281686	4.03526638534395	0.0178982101789821
320 Astro-OLF NN	layer 1	regions_1	4.11100131281686_3.65526638534395	4.11100131281686	3.65526638534395	4.51100131281686	4.05526638534395	0.0251974802519748
320 Astro-OLF NN	layer 1	regions_1	4.11100131281686_3.69526638534395	4.11100131281686	3.69526638534395	4.51100131281686	4.09526638534395	0.018998100189981
320 Astro-OLF NN	layer 1	regions_1	4.11100131281686_3.71526638534395	4.11100131281686	3.71526638534395	4.51100131281686	4.11526638534395	0.0193980601939806
320 Astro-OLF NN	layer 1	regions_1	4.11100131281686_3.73526638534395	4.11100131281686	3.73526638534395	4.51100131281686	4.13526638534395	0.0256974302569743
320 Astro-OLF NN	layer 1	regions_1	4.13100131281686_3.59526638534395	4.13100131281686	3.59526638534395	4.53100131281686	3.99526638534395	0.0282971702829717
320 Astro-OLF NN	layer 1	regions_1	4.13100131281686_3.61526638534395	4.13100131281686	3.61526638534395	4.53100131281686	4.01526638534395	0.0121987801219878
320 Astro-OLF NN	layer 1	regions_1	4.13100131281686_3.63526638534395	4.13100131281686	3.63526638534395	4.53100131281686	4.03526638534395	0.0046995300469953
320 Astro-OLF NN	layer 1	regions_1	4.13100131281686_3.65526638534395	4.13100131281686	3.65526638534395	4.53100131281686	4.05526638534395	0.0048995100489951
320 Astro-OLF NN	layer 1	regions_1	4.13100131281686_3.67526638534395	4.13100131281686	3.67526638534395	4.53100131281686	4.07526638534395	0.0125987401259874
320 Astro-OLF NN	layer 1	regions_1	4.13100131281686_3.69526638534395	4.13100131281686	3.69526638534395	4.53100131281686	4.09526638534395	0.0031996800319968
320 Astro-OLF NN	layer 1	regions_1	4.13100131281686_3.71526638534395	4.13100131281686	3.71526638534395	4.53100131281686	4.11526638534395	0.0080991900809919
320 Astro-OLF NN	layer 1	regions_1	4.13100131281686_3.73526638534395	4.13100131281686	3.73526638534395	4.53100131281686	4.13526638534395	0.0074992500749925
320 Astro-OLF NN	layer 1	regions_1	4.13153824734647_3.55526638534395	4.13153824734647	3.55526638534395	4.53153824734647	3.95526638534395	0.0474952504749525
320 Astro-OLF NN	layer 1	regions_1	4.13153824734647_3.57526638534395	4.13153824734647	3.57526638534395	4.53153824734647	3.97526638534395	0.0264973502649735
320 Astro-OLF NN	layer 1	regions_1	4.15100131281686_3.59526638534395	4.15100131281686	3.59526638534395	4.55100131281686	3.99526638534395	0.0218978102189781
320 Astro-OLF NN	layer 1	regions_1	4.15100131281686_3.61526638534395	4.15100131281686	3.61526638534395	4.55100131281686	4.01526638534395	0.0084991500849915
320 Astro-OLF NN	layer 1	regions_1	4.15100131281686_3.63526638534395	4.15100131281686	3.63526638534395	4.55100131281686	4.03526638534395	0.0022997700229977
320 Astro-OLF NN	layer 1	regions_1	4.15100131281686_3.65526638534395	4.15100131281686	3.65526638534395	4.55100131281686	4.05526638534395	0.001999800019998
