Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
328 OEC NN	layer 1	regions_1	4.05366456778621_3.39526638534395	4.05366456778621	3.39526638534395	4.45366456778621	3.79526638534395	0.0261973802619738
328 OEC NN	layer 1	regions_1	4.05944165015836_3.37526638534395	4.05944165015836	3.37526638534395	4.45944165015836	3.77526638534395	0.0375962403759624
328 OEC NN	layer 1	regions_1	4.06203960690884_3.41526638534395	4.06203960690884	3.41526638534395	4.46203960690884	3.81526638534395	0.0420957904209579
328 OEC NN	layer 1	regions_1	4.07366456778621_3.39526638534395	4.07366456778621	3.39526638534395	4.47366456778621	3.79526638534395	0.0281971802819718
328 OEC NN	layer 1	regions_1	4.07514627782736_3.33526638534395	4.07514627782736	3.33526638534395	4.47514627782736	3.73526638534395	0.0042995700429957
328 OEC NN	layer 1	regions_1	4.07514627782736_3.35526638534395	4.07514627782736	3.35526638534395	4.47514627782736	3.75526638534395	0.0075992400759924
328 OEC NN	layer 1	regions_1	4.07944165015836_3.37526638534395	4.07944165015836	3.37526638534395	4.47944165015836	3.77526638534395	0.0188981101889811
328 OEC NN	layer 1	regions_1	4.0818185231859_3.43526638534395	4.0818185231859	3.43526638534395	4.4818185231859	3.83526638534395	0.0342965703429657
328 OEC NN	layer 1	regions_1	4.0818185231859_3.45526638534395	4.0818185231859	3.45526638534395	4.4818185231859	3.85526638534395	0.0466953304669533
328 OEC NN	layer 1	regions_1	4.08203960690884_3.41526638534395	4.08203960690884	3.41526638534395	4.48203960690884	3.81526638534395	0.020997900209979
328 OEC NN	layer 1	regions_1	4.09366456778621_3.39526638534395	4.09366456778621	3.39526638534395	4.49366456778621	3.79526638534395	0.0140985901409859
328 OEC NN	layer 1	regions_1	4.09514627782736_3.33526638534395	4.09514627782736	3.33526638534395	4.49514627782736	3.73526638534395	0.0004999500049995
328 OEC NN	layer 1	regions_1	4.09514627782736_3.35526638534395	4.09514627782736	3.35526638534395	4.49514627782736	3.75526638534395	0.0015998400159984
328 OEC NN	layer 1	regions_1	4.09944165015836_3.37526638534395	4.09944165015836	3.37526638534395	4.49944165015836	3.77526638534395	0.0005999400059994
328 OEC NN	layer 1	regions_1	4.1018185231859_3.43526638534395	4.1018185231859	3.43526638534395	4.5018185231859	3.83526638534395	0.0015998400159984
328 OEC NN	layer 1	regions_1	4.1018185231859_3.45526638534395	4.1018185231859	3.45526638534395	4.5018185231859	3.85526638534395	0.001999800019998
328 OEC NN	layer 1	regions_1	4.1018185231859_3.47526638534395	4.1018185231859	3.47526638534395	4.5018185231859	3.87526638534395	0.003999600039996
328 OEC NN	layer 1	regions_1	4.10203960690884_3.41526638534395	4.10203960690884	3.41526638534395	4.50203960690884	3.81526638534395	0.0007999200079992
328 OEC NN	layer 1	regions_1	4.11143832479942_3.49526638534395	4.11143832479942	3.49526638534395	4.51143832479942	3.89526638534395	0.0092990700929907
328 OEC NN	layer 1	regions_1	4.11143832479942_3.51526638534395	4.11143832479942	3.51526638534395	4.51143832479942	3.91526638534395	0.0097990200979902
328 OEC NN	layer 1	regions_1	4.11153824734647_3.53526638534395	4.11153824734647	3.53526638534395	4.51153824734647	3.93526638534395	0.0137986201379862
328 OEC NN	layer 1	regions_1	4.11153824734647_3.55526638534395	4.11153824734647	3.55526638534395	4.51153824734647	3.95526638534395	0.0086991300869913
328 OEC NN	layer 1	regions_1	4.11153824734647_3.57526638534395	4.11153824734647	3.57526638534395	4.51153824734647	3.97526638534395	0.0082991700829917
328 OEC NN	layer 1	regions_1	4.11366456778621_3.39526638534395	4.11366456778621	3.39526638534395	4.51366456778621	3.79526638534395	0.0020997900209979
328 OEC NN	layer 1	regions_1	4.11514627782736_3.33526638534395	4.11514627782736	3.33526638534395	4.51514627782736	3.73526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.11514627782736_3.35526638534395	4.11514627782736	3.35526638534395	4.51514627782736	3.75526638534395	0.0004999500049995
328 OEC NN	layer 1	regions_1	4.11944165015836_3.37526638534395	4.11944165015836	3.37526638534395	4.51944165015836	3.77526638534395	0.0003999600039996
328 OEC NN	layer 1	regions_1	4.1218185231859_3.43526638534395	4.1218185231859	3.43526638534395	4.5218185231859	3.83526638534395	0.0023997600239976
328 OEC NN	layer 1	regions_1	4.1218185231859_3.45526638534395	4.1218185231859	3.45526638534395	4.5218185231859	3.85526638534395	0.0022997700229977
328 OEC NN	layer 1	regions_1	4.1218185231859_3.47526638534395	4.1218185231859	3.47526638534395	4.5218185231859	3.87526638534395	0.0032996700329967
328 OEC NN	layer 1	regions_1	4.12203960690884_3.41526638534395	4.12203960690884	3.41526638534395	4.52203960690884	3.81526638534395	0.0003999600039996
328 OEC NN	layer 1	regions_1	4.13100131281686_3.59526638534395	4.13100131281686	3.59526638534395	4.53100131281686	3.99526638534395	0.0140985901409859
328 OEC NN	layer 1	regions_1	4.13143832479942_3.49526638534395	4.13143832479942	3.49526638534395	4.53143832479942	3.89526638534395	0.0018998100189981
328 OEC NN	layer 1	regions_1	4.13143832479942_3.51526638534395	4.13143832479942	3.51526638534395	4.53143832479942	3.91526638534395	0.0017998200179982
328 OEC NN	layer 1	regions_1	4.13153824734647_3.53526638534395	4.13153824734647	3.53526638534395	4.53153824734647	3.93526638534395	0.002999700029997
328 OEC NN	layer 1	regions_1	4.13153824734647_3.55526638534395	4.13153824734647	3.55526638534395	4.53153824734647	3.95526638534395	0.0008999100089991
328 OEC NN	layer 1	regions_1	4.13153824734647_3.57526638534395	4.13153824734647	3.57526638534395	4.53153824734647	3.97526638534395	0.0007999200079992
328 OEC NN	layer 1	regions_1	4.13366456778621_3.39526638534395	4.13366456778621	3.39526638534395	4.53366456778621	3.79526638534395	0.0004999500049995
328 OEC NN	layer 1	regions_1	4.13514627782736_3.33526638534395	4.13514627782736	3.33526638534395	4.53514627782736	3.73526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.13514627782736_3.35526638534395	4.13514627782736	3.35526638534395	4.53514627782736	3.75526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.13944165015836_3.37526638534395	4.13944165015836	3.37526638534395	4.53944165015836	3.77526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.1418185231859_3.43526638534395	4.1418185231859	3.43526638534395	4.5418185231859	3.83526638534395	0.0002999700029997
328 OEC NN	layer 1	regions_1	4.1418185231859_3.45526638534395	4.1418185231859	3.45526638534395	4.5418185231859	3.85526638534395	0.0002999700029997
328 OEC NN	layer 1	regions_1	4.1418185231859_3.47526638534395	4.1418185231859	3.47526638534395	4.5418185231859	3.87526638534395	0.0003999600039996
328 OEC NN	layer 1	regions_1	4.14203960690884_3.41526638534395	4.14203960690884	3.41526638534395	4.54203960690884	3.81526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.15100131281686_3.59526638534395	4.15100131281686	3.59526638534395	4.55100131281686	3.99526638534395	0.0006999300069993
328 OEC NN	layer 1	regions_1	4.15143832479942_3.49526638534395	4.15143832479942	3.49526638534395	4.55143832479942	3.89526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.15143832479942_3.51526638534395	4.15143832479942	3.51526638534395	4.55143832479942	3.91526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.15153824734647_3.53526638534395	4.15153824734647	3.53526638534395	4.55153824734647	3.93526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.15153824734647_3.55526638534395	4.15153824734647	3.55526638534395	4.55153824734647	3.95526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.15153824734647_3.57526638534395	4.15153824734647	3.57526638534395	4.55153824734647	3.97526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.15366456778621_3.39526638534395	4.15366456778621	3.39526638534395	4.55366456778621	3.79526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.15514627782736_3.33526638534395	4.15514627782736	3.33526638534395	4.55514627782736	3.73526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.15514627782736_3.35526638534395	4.15514627782736	3.35526638534395	4.55514627782736	3.75526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.15944165015836_3.37526638534395	4.15944165015836	3.37526638534395	4.55944165015836	3.77526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.1618185231859_3.43526638534395	4.1618185231859	3.43526638534395	4.5618185231859	3.83526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.1618185231859_3.45526638534395	4.1618185231859	3.45526638534395	4.5618185231859	3.85526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.1618185231859_3.47526638534395	4.1618185231859	3.47526638534395	4.5618185231859	3.87526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.16203960690884_3.41526638534395	4.16203960690884	3.41526638534395	4.56203960690884	3.81526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.17100131281686_3.59526638534395	4.17100131281686	3.59526638534395	4.57100131281686	3.99526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.17143832479942_3.49526638534395	4.17143832479942	3.49526638534395	4.57143832479942	3.89526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.17143832479942_3.51526638534395	4.17143832479942	3.51526638534395	4.57143832479942	3.91526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.17153824734647_3.53526638534395	4.17153824734647	3.53526638534395	4.57153824734647	3.93526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.17153824734647_3.55526638534395	4.17153824734647	3.55526638534395	4.57153824734647	3.95526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.17153824734647_3.57526638534395	4.17153824734647	3.57526638534395	4.57153824734647	3.97526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.17366456778621_3.39526638534395	4.17366456778621	3.39526638534395	4.57366456778621	3.79526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.17514627782736_3.33526638534395	4.17514627782736	3.33526638534395	4.57514627782736	3.73526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.17514627782736_3.35526638534395	4.17514627782736	3.35526638534395	4.57514627782736	3.75526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.17944165015836_3.37526638534395	4.17944165015836	3.37526638534395	4.57944165015836	3.77526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.1818185231859_3.43526638534395	4.1818185231859	3.43526638534395	4.5818185231859	3.83526638534395	9.99900009999e-05
328 OEC NN	layer 1	regions_1	4.1818185231859_3.45526638534395	4.1818185231859	3.45526638534395	4.5818185231859	3.85526638534395	9.99900009999e-05
