Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
332 SMC NN	layer 1	regions_1	4.01944165015836_3.37526638534395	4.01944165015836	3.37526638534395	4.41944165015836	3.77526638534395	0.0356964303569643
332 SMC NN	layer 1	regions_1	4.03944165015836_3.37526638534395	4.03944165015836	3.37526638534395	4.43944165015836	3.77526638534395	0.0052994700529947
332 SMC NN	layer 1	regions_1	4.0418185231859_3.43526638534395	4.0418185231859	3.43526638534395	4.4418185231859	3.83526638534395	0.0140985901409859
332 SMC NN	layer 1	regions_1	4.0418185231859_3.45526638534395	4.0418185231859	3.45526638534395	4.4418185231859	3.85526638534395	0.0164983501649835
332 SMC NN	layer 1	regions_1	4.0418185231859_3.47526638534395	4.0418185231859	3.47526638534395	4.4418185231859	3.87526638534395	0.0215978402159784
332 SMC NN	layer 1	regions_1	4.04203960690884_3.41526638534395	4.04203960690884	3.41526638534395	4.44203960690884	3.81526638534395	0.0105989401059894
332 SMC NN	layer 1	regions_1	4.05143832479942_3.49526638534395	4.05143832479942	3.49526638534395	4.45143832479942	3.89526638534395	0.0263973602639736
332 SMC NN	layer 1	regions_1	4.05143832479942_3.51526638534395	4.05143832479942	3.51526638534395	4.45143832479942	3.91526638534395	0.0274972502749725
332 SMC NN	layer 1	regions_1	4.05153824734647_3.53526638534395	4.05153824734647	3.53526638534395	4.45153824734647	3.93526638534395	0.0318968103189681
332 SMC NN	layer 1	regions_1	4.05366456778621_3.39526638534395	4.05366456778621	3.39526638534395	4.45366456778621	3.79526638534395	0.0098990100989901
332 SMC NN	layer 1	regions_1	4.05944165015836_3.37526638534395	4.05944165015836	3.37526638534395	4.45944165015836	3.77526638534395	0.0082991700829917
332 SMC NN	layer 1	regions_1	4.0618185231859_3.43526638534395	4.0618185231859	3.43526638534395	4.4618185231859	3.83526638534395	0.0158984101589841
332 SMC NN	layer 1	regions_1	4.0618185231859_3.45526638534395	4.0618185231859	3.45526638534395	4.4618185231859	3.85526638534395	0.0167983201679832
332 SMC NN	layer 1	regions_1	4.0618185231859_3.47526638534395	4.0618185231859	3.47526638534395	4.4618185231859	3.87526638534395	0.0215978402159784
332 SMC NN	layer 1	regions_1	4.06203960690884_3.41526638534395	4.06203960690884	3.41526638534395	4.46203960690884	3.81526638534395	0.0126987301269873
332 SMC NN	layer 1	regions_1	4.07143832479942_3.49526638534395	4.07143832479942	3.49526638534395	4.47143832479942	3.89526638534395	0.0255974402559744
332 SMC NN	layer 1	regions_1	4.07143832479942_3.51526638534395	4.07143832479942	3.51526638534395	4.47143832479942	3.91526638534395	0.0262973702629737
332 SMC NN	layer 1	regions_1	4.07153824734647_3.53526638534395	4.07153824734647	3.53526638534395	4.47153824734647	3.93526638534395	0.0310968903109689
332 SMC NN	layer 1	regions_1	4.07366456778621_3.39526638534395	4.07366456778621	3.39526638534395	4.47366456778621	3.79526638534395	0.0134986501349865
332 SMC NN	layer 1	regions_1	4.07514627782736_3.33526638534395	4.07514627782736	3.33526638534395	4.47514627782736	3.73526638534395	0.0057994200579942
332 SMC NN	layer 1	regions_1	4.07514627782736_3.35526638534395	4.07514627782736	3.35526638534395	4.47514627782736	3.75526638534395	0.0071992800719928
332 SMC NN	layer 1	regions_1	4.07944165015836_3.37526638534395	4.07944165015836	3.37526638534395	4.47944165015836	3.77526638534395	0.0113988601139886
332 SMC NN	layer 1	regions_1	4.0818185231859_3.43526638534395	4.0818185231859	3.43526638534395	4.4818185231859	3.83526638534395	0.0197980201979802
332 SMC NN	layer 1	regions_1	4.0818185231859_3.45526638534395	4.0818185231859	3.45526638534395	4.4818185231859	3.85526638534395	0.0210978902109789
332 SMC NN	layer 1	regions_1	4.0818185231859_3.47526638534395	4.0818185231859	3.47526638534395	4.4818185231859	3.87526638534395	0.0266973302669733
332 SMC NN	layer 1	regions_1	4.08203960690884_3.41526638534395	4.08203960690884	3.41526638534395	4.48203960690884	3.81526638534395	0.0158984101589841
332 SMC NN	layer 1	regions_1	4.09143832479942_3.49526638534395	4.09143832479942	3.49526638534395	4.49143832479942	3.89526638534395	0.0297970202979702
332 SMC NN	layer 1	regions_1	4.09143832479942_3.51526638534395	4.09143832479942	3.51526638534395	4.49143832479942	3.91526638534395	0.0292970702929707
332 SMC NN	layer 1	regions_1	4.09153824734647_3.53526638534395	4.09153824734647	3.53526638534395	4.49153824734647	3.93526638534395	0.0341965803419658
332 SMC NN	layer 1	regions_1	4.09366456778621_3.39526638534395	4.09366456778621	3.39526638534395	4.49366456778621	3.79526638534395	0.0181981801819818
332 SMC NN	layer 1	regions_1	4.09514627782736_3.33526638534395	4.09514627782736	3.33526638534395	4.49514627782736	3.73526638534395	0.0096990300969903
