Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
333 Endo NN	layer 1	regions_1	4.01366456778621_3.39526638534395	4.01366456778621	3.39526638534395	4.41366456778621	3.79526638534395	0.0208979102089791
333 Endo NN	layer 1	regions_1	4.01944165015836_3.37526638534395	4.01944165015836	3.37526638534395	4.41944165015836	3.77526638534395	0.0037996200379962
333 Endo NN	layer 1	regions_1	4.03366456778621_3.39526638534395	4.03366456778621	3.39526638534395	4.43366456778621	3.79526638534395	0.010998900109989
333 Endo NN	layer 1	regions_1	4.03944165015836_3.37526638534395	4.03944165015836	3.37526638534395	4.43944165015836	3.77526638534395	0.0044995500449955
333 Endo NN	layer 1	regions_1	4.05366456778621_3.39526638534395	4.05366456778621	3.39526638534395	4.45366456778621	3.79526638534395	0.0196980301969803
333 Endo NN	layer 1	regions_1	4.05944165015836_3.37526638534395	4.05944165015836	3.37526638534395	4.45944165015836	3.77526638534395	0.0118988101189881
333 Endo NN	layer 1	regions_1	4.07366456778621_3.39526638534395	4.07366456778621	3.39526638534395	4.47366456778621	3.79526638534395	0.0255974402559744
333 Endo NN	layer 1	regions_1	4.07514627782736_3.33526638534395	4.07514627782736	3.33526638534395	4.47514627782736	3.73526638534395	0.0090990900909909
333 Endo NN	layer 1	regions_1	4.07514627782736_3.35526638534395	4.07514627782736	3.35526638534395	4.47514627782736	3.75526638534395	0.0103989601039896
333 Endo NN	layer 1	regions_1	4.07944165015836_3.37526638534395	4.07944165015836	3.37526638534395	4.47944165015836	3.77526638534395	0.0146985301469853
333 Endo NN	layer 1	regions_1	4.09366456778621_3.39526638534395	4.09366456778621	3.39526638534395	4.49366456778621	3.79526638534395	0.0305969403059694
333 Endo NN	layer 1	regions_1	4.09514627782736_3.33526638534395	4.09514627782736	3.33526638534395	4.49514627782736	3.73526638534395	0.0162983701629837
333 Endo NN	layer 1	regions_1	4.09514627782736_3.35526638534395	4.09514627782736	3.35526638534395	4.49514627782736	3.75526638534395	0.0174982501749825
333 Endo NN	layer 1	regions_1	4.09944165015836_3.37526638534395	4.09944165015836	3.37526638534395	4.49944165015836	3.77526638534395	0.0234976502349765
333 Endo NN	layer 1	regions_1	4.11366456778621_3.39526638534395	4.11366456778621	3.39526638534395	4.51366456778621	3.79526638534395	0.0231976802319768
333 Endo NN	layer 1	regions_1	4.11514627782736_3.33526638534395	4.11514627782736	3.33526638534395	4.51514627782736	3.73526638534395	0.0115988401159884
333 Endo NN	layer 1	regions_1	4.11514627782736_3.35526638534395	4.11514627782736	3.35526638534395	4.51514627782736	3.75526638534395	0.0137986201379862
333 Endo NN	layer 1	regions_1	4.11944165015836_3.37526638534395	4.11944165015836	3.37526638534395	4.51944165015836	3.77526638534395	0.0338966103389661
333 Endo NN	layer 1	regions_1	4.13366456778621_3.39526638534395	4.13366456778621	3.39526638534395	4.53366456778621	3.79526638534395	0.0481951804819518
333 Endo NN	layer 1	regions_1	4.13514627782736_3.33526638534395	4.13514627782736	3.33526638534395	4.53514627782736	3.73526638534395	0.0284971502849715
333 Endo NN	layer 1	regions_1	4.13514627782736_3.35526638534395	4.13514627782736	3.35526638534395	4.53514627782736	3.75526638534395	0.0312968703129687
333 Endo NN	layer 1	regions_1	4.13944165015836_3.37526638534395	4.13944165015836	3.37526638534395	4.53944165015836	3.77526638534395	0.0373962603739626
333 Endo NN	layer 1	regions_1	4.17514627782736_3.33526638534395	4.17514627782736	3.33526638534395	4.57514627782736	3.73526638534395	0.0428957104289571
333 Endo NN	layer 1	regions_1	4.17514627782736_3.35526638534395	4.17514627782736	3.35526638534395	4.57514627782736	3.75526638534395	0.0452954704529547
333 Endo NN	layer 1	regions_1	4.19514627782736_3.33526638534395	4.19514627782736	3.33526638534395	4.59514627782736	3.73526638534395	0.0262973702629737
333 Endo NN	layer 1	regions_1	4.19514627782736_3.35526638534395	4.19514627782736	3.35526638534395	4.59514627782736	3.75526638534395	0.0262973702629737
333 Endo NN	layer 1	regions_1	4.19944165015836_3.37526638534395	4.19944165015836	3.37526638534395	4.59944165015836	3.77526638534395	0.0182981701829817
333 Endo NN	layer 1	regions_1	4.21514627782736_3.33526638534395	4.21514627782736	3.33526638534395	4.61514627782736	3.73526638534395	0.0333966603339666
333 Endo NN	layer 1	regions_1	4.21514627782736_3.35526638534395	4.21514627782736	3.35526638534395	4.61514627782736	3.75526638534395	0.0332966703329667
333 Endo NN	layer 1	regions_1	4.21944165015836_3.37526638534395	4.21944165015836	3.37526638534395	4.61944165015836	3.77526638534395	0.043995600439956
333 Endo NN	layer 1	regions_1	4.23514627782736_3.33526638534395	4.23514627782736	3.33526638534395	4.63514627782736	3.73526638534395	0.026997300269973
333 Endo NN	layer 1	regions_1	4.23514627782736_3.35526638534395	4.23514627782736	3.35526638534395	4.63514627782736	3.75526638534395	0.0287971202879712
333 Endo NN	layer 1	regions_2	4.93366456778621_3.39526638534395	4.93366456778621	3.39526638534395	5.33366456778621	3.79526638534395	0.0322967703229677
333 Endo NN	layer 1	regions_2	4.93514627782736_3.33526638534395	4.93514627782736	3.33526638534395	5.33514627782736	3.73526638534395	0.041995800419958
333 Endo NN	layer 1	regions_2	4.93514627782736_3.35526638534395	4.93514627782736	3.35526638534395	5.33514627782736	3.75526638534395	0.0261973802619738
333 Endo NN	layer 1	regions_2	4.93944165015836_3.37526638534395	4.93944165015836	3.37526638534395	5.33944165015836	3.77526638534395	0.0437956204379562
333 Endo NN	layer 1	regions_2	4.95366456778621_3.39526638534395	4.95366456778621	3.39526638534395	5.35366456778621	3.79526638534395	0.0448955104489551
333 Endo NN	layer 1	regions_2	4.95514627782736_3.33526638534395	4.95514627782736	3.33526638534395	5.35514627782736	3.73526638534395	0.0475952404759524
333 Endo NN	layer 1	regions_2	4.95514627782736_3.35526638534395	4.95514627782736	3.35526638534395	5.35514627782736	3.75526638534395	0.0275972402759724
333 Endo NN	layer 1	regions_2	4.95944165015836_3.37526638534395	4.95944165015836	3.37526638534395	5.35944165015836	3.77526638534395	0.0377962203779622
333 Endo NN	layer 1	regions_2	4.9618185231859_3.47526638534395	4.9618185231859	3.47526638534395	5.3618185231859	3.87526638534395	0.0362963703629637
333 Endo NN	layer 1	regions_2	4.96203960690884_3.41526638534395	4.96203960690884	3.41526638534395	5.36203960690884	3.81526638534395	0.0343965603439656
333 Endo NN	layer 1	regions_2	4.97366456778621_3.39526638534395	4.97366456778621	3.39526638534395	5.37366456778621	3.79526638534395	0.018998100189981
333 Endo NN	layer 1	regions_2	4.97514627782736_3.33526638534395	4.97514627782736	3.33526638534395	5.37514627782736	3.73526638534395	0.0183981601839816
333 Endo NN	layer 1	regions_2	4.97514627782736_3.35526638534395	4.97514627782736	3.35526638534395	5.37514627782736	3.75526638534395	0.0101989801019898
333 Endo NN	layer 1	regions_2	4.97944165015836_3.37526638534395	4.97944165015836	3.37526638534395	5.37944165015836	3.77526638534395	0.0290970902909709
333 Endo NN	layer 1	regions_2	4.9818185231859_3.47526638534395	4.9818185231859	3.47526638534395	5.3818185231859	3.87526638534395	0.0490950904909509
333 Endo NN	layer 1	regions_2	4.98203960690884_3.41526638534395	4.98203960690884	3.41526638534395	5.38203960690884	3.81526638534395	0.0370962903709629
333 Endo NN	layer 1	regions_2	4.99366456778621_3.39526638534395	4.99366456778621	3.39526638534395	5.39366456778621	3.79526638534395	0.0132986701329867
333 Endo NN	layer 1	regions_2	4.99514627782736_3.33526638534395	4.99514627782736	3.33526638534395	5.39514627782736	3.73526638534395	0.0133986601339866
333 Endo NN	layer 1	regions_2	4.99514627782736_3.35526638534395	4.99514627782736	3.35526638534395	5.39514627782736	3.75526638534395	0.0067993200679932
333 Endo NN	layer 1	regions_2	4.99944165015836_3.37526638534395	4.99944165015836	3.37526638534395	5.39944165015836	3.77526638534395	0.0078992100789921
333 Endo NN	layer 1	regions_2	5.0018185231859_3.43526638534395	5.0018185231859	3.43526638534395	5.4018185231859	3.83526638534395	0.0403959604039596
333 Endo NN	layer 1	regions_2	5.0018185231859_3.45526638534395	5.0018185231859	3.45526638534395	5.4018185231859	3.85526638534395	0.0414958504149585
333 Endo NN	layer 1	regions_2	5.0018185231859_3.47526638534395	5.0018185231859	3.47526638534395	5.4018185231859	3.87526638534395	0.0222977702229777
333 Endo NN	layer 1	regions_2	5.00203960690884_3.41526638534395	5.00203960690884	3.41526638534395	5.40203960690884	3.81526638534395	0.0116988301169883
333 Endo NN	layer 1	regions_2	5.01143832479942_3.49526638534395	5.01143832479942	3.49526638534395	5.41143832479942	3.89526638534395	0.0270972902709729
333 Endo NN	layer 1	regions_2	5.01143832479942_3.51526638534395	5.01143832479942	3.51526638534395	5.41143832479942	3.91526638534395	0.0354964503549645
333 Endo NN	layer 1	regions_2	5.01153824734647_3.53526638534395	5.01153824734647	3.53526638534395	5.41153824734647	3.93526638534395	0.0370962903709629
333 Endo NN	layer 1	regions_2	5.01366456778621_3.39526638534395	5.01366456778621	3.39526638534395	5.41366456778621	3.79526638534395	0.0174982501749825
333 Endo NN	layer 1	regions_2	5.01514627782736_3.33526638534395	5.01514627782736	3.33526638534395	5.41514627782736	3.73526638534395	0.0168983101689831
333 Endo NN	layer 1	regions_2	5.01514627782736_3.35526638534395	5.01514627782736	3.35526638534395	5.41514627782736	3.75526638534395	0.0080991900809919
333 Endo NN	layer 1	regions_2	5.01944165015836_3.37526638534395	5.01944165015836	3.37526638534395	5.41944165015836	3.77526638534395	0.0273972602739726
333 Endo NN	layer 1	regions_2	5.0218185231859_3.43526638534395	5.0218185231859	3.43526638534395	5.4218185231859	3.83526638534395	0.0410958904109589
333 Endo NN	layer 1	regions_2	5.0218185231859_3.45526638534395	5.0218185231859	3.45526638534395	5.4218185231859	3.85526638534395	0.0415958404159584
333 Endo NN	layer 1	regions_2	5.0218185231859_3.47526638534395	5.0218185231859	3.47526638534395	5.4218185231859	3.87526638534395	0.0236976302369763
333 Endo NN	layer 1	regions_2	5.02203960690884_3.41526638534395	5.02203960690884	3.41526638534395	5.42203960690884	3.81526638534395	0.0331966803319668
333 Endo NN	layer 1	regions_2	5.03143832479942_3.49526638534395	5.03143832479942	3.49526638534395	5.43143832479942	3.89526638534395	0.0467953204679532
333 Endo NN	layer 1	regions_2	5.03366456778621_3.39526638534395	5.03366456778621	3.39526638534395	5.43366456778621	3.79526638534395	0.0337966203379662
333 Endo NN	layer 1	regions_2	5.03514627782736_3.33526638534395	5.03514627782736	3.33526638534395	5.43514627782736	3.73526638534395	0.0255974402559744
333 Endo NN	layer 1	regions_2	5.03514627782736_3.35526638534395	5.03514627782736	3.35526638534395	5.43514627782736	3.75526638534395	0.0226977302269773
333 Endo NN	layer 1	regions_2	5.03944165015836_3.37526638534395	5.03944165015836	3.37526638534395	5.43944165015836	3.77526638534395	0.0283971602839716
333 Endo NN	layer 1	regions_2	5.0418185231859_3.47526638534395	5.0418185231859	3.47526638534395	5.4418185231859	3.87526638534395	0.0337966203379662
333 Endo NN	layer 1	regions_2	5.04203960690884_3.41526638534395	5.04203960690884	3.41526638534395	5.44203960690884	3.81526638534395	0.0412958704129587
333 Endo NN	layer 1	regions_2	5.05143832479942_3.49526638534395	5.05143832479942	3.49526638534395	5.45143832479942	3.89526638534395	0.0308969103089691
333 Endo NN	layer 1	regions_2	5.05143832479942_3.51526638534395	5.05143832479942	3.51526638534395	5.45143832479942	3.91526638534395	0.0423957604239576
333 Endo NN	layer 1	regions_2	5.05366456778621_3.39526638534395	5.05366456778621	3.39526638534395	5.45366456778621	3.79526638534395	0.0287971202879712
333 Endo NN	layer 1	regions_2	5.05514627782736_3.33526638534395	5.05514627782736	3.33526638534395	5.45514627782736	3.73526638534395	0.0200979902009799
333 Endo NN	layer 1	regions_2	5.05514627782736_3.35526638534395	5.05514627782736	3.35526638534395	5.45514627782736	3.75526638534395	0.0198980101989801
333 Endo NN	layer 1	regions_2	5.05944165015836_3.37526638534395	5.05944165015836	3.37526638534395	5.45944165015836	3.77526638534395	0.0267973202679732
333 Endo NN	layer 1	regions_2	5.0618185231859_3.43526638534395	5.0618185231859	3.43526638534395	5.4618185231859	3.83526638534395	0.0413958604139586
333 Endo NN	layer 1	regions_2	5.0618185231859_3.45526638534395	5.0618185231859	3.45526638534395	5.4618185231859	3.85526638534395	0.0443955604439556
333 Endo NN	layer 1	regions_2	5.0618185231859_3.47526638534395	5.0618185231859	3.47526638534395	5.4618185231859	3.87526638534395	0.0277972202779722
333 Endo NN	layer 1	regions_2	5.06203960690884_3.41526638534395	5.06203960690884	3.41526638534395	5.46203960690884	3.81526638534395	0.0441955804419558
333 Endo NN	layer 1	regions_2	5.07143832479942_3.49526638534395	5.07143832479942	3.49526638534395	5.47143832479942	3.89526638534395	0.036996300369963
333 Endo NN	layer 1	regions_2	5.07143832479942_3.51526638534395	5.07143832479942	3.51526638534395	5.47143832479942	3.91526638534395	0.0495950404959504
333 Endo NN	layer 1	regions_2	5.07366456778621_3.39526638534395	5.07366456778621	3.39526638534395	5.47366456778621	3.79526638534395	0.0373962603739626
333 Endo NN	layer 1	regions_2	5.07514627782736_3.33526638534395	5.07514627782736	3.33526638534395	5.47514627782736	3.73526638534395	0.0246975302469753
333 Endo NN	layer 1	regions_2	5.07514627782736_3.35526638534395	5.07514627782736	3.35526638534395	5.47514627782736	3.75526638534395	0.0204979502049795
333 Endo NN	layer 1	regions_2	5.07944165015836_3.37526638534395	5.07944165015836	3.37526638534395	5.47944165015836	3.77526638534395	0.0327967203279672
333 Endo NN	layer 1	regions_2	5.0818185231859_3.47526638534395	5.0818185231859	3.47526638534395	5.4818185231859	3.87526638534395	0.0420957904209579
333 Endo NN	layer 1	regions_2	5.09143832479942_3.49526638534395	5.09143832479942	3.49526638534395	5.49143832479942	3.89526638534395	0.0335966403359664
333 Endo NN	layer 1	regions_2	5.09143832479942_3.51526638534395	5.09143832479942	3.51526638534395	5.49143832479942	3.91526638534395	0.0440955904409559
333 Endo NN	layer 1	regions_2	5.09366456778621_3.39526638534395	5.09366456778621	3.39526638534395	5.49366456778621	3.79526638534395	0.0325967403259674
333 Endo NN	layer 1	regions_2	5.09514627782736_3.33526638534395	5.09514627782736	3.33526638534395	5.49514627782736	3.73526638534395	0.0234976502349765
333 Endo NN	layer 1	regions_2	5.09514627782736_3.35526638534395	5.09514627782736	3.35526638534395	5.49514627782736	3.75526638534395	0.0183981601839816
333 Endo NN	layer 1	regions_2	5.1018185231859_3.47526638534395	5.1018185231859	3.47526638534395	5.5018185231859	3.87526638534395	0.0454954504549545
