Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
007 L2/3 IT CTX Glut	layer 1	regions_1	3.9898375736169_2.95598666385658	3.9898375736169	2.95598666385658	4.3898375736169	3.35598666385658	0.0386961303869613
007 L2/3 IT CTX Glut	layer 1	regions_1	3.9898375736169_2.97598666385658	3.9898375736169	2.97598666385658	4.3898375736169	3.37598666385658	0.022997700229977
007 L2/3 IT CTX Glut	layer 1	regions_1	4.00509204836178_2.99598666385658	4.00509204836178	2.99598666385658	4.40509204836178	3.39598666385658	0.0065993400659934
007 L2/3 IT CTX Glut	layer 1	regions_1	4.00509204836178_3.01598666385658	4.00509204836178	3.01598666385658	4.40509204836178	3.41598666385658	0.0076992300769923
007 L2/3 IT CTX Glut	layer 1	regions_1	4.00509204836178_3.03598666385658	4.00509204836178	3.03598666385658	4.40509204836178	3.43598666385658	0.0066993300669933
007 L2/3 IT CTX Glut	layer 1	regions_1	4.00509204836178_3.05598666385658	4.00509204836178	3.05598666385658	4.40509204836178	3.45598666385658	0.0073992600739926
007 L2/3 IT CTX Glut	layer 1	regions_1	4.00509204836178_3.07598666385658	4.00509204836178	3.07598666385658	4.40509204836178	3.47598666385658	0.015998400159984
007 L2/3 IT CTX Glut	layer 1	regions_1	4.00509204836178_3.09598666385658	4.00509204836178	3.09598666385658	4.40509204836178	3.49598666385658	0.0203979602039796
007 L2/3 IT CTX Glut	layer 1	regions_1	4.00509204836178_3.11598666385658	4.00509204836178	3.11598666385658	4.40509204836178	3.51598666385658	0.0361963803619638
007 L2/3 IT CTX Glut	layer 1	regions_1	4.0098375736169_2.93598666385658	4.0098375736169	2.93598666385658	4.4098375736169	3.33598666385658	0.0454954504549545
007 L2/3 IT CTX Glut	layer 1	regions_1	4.0098375736169_2.95598666385658	4.0098375736169	2.95598666385658	4.4098375736169	3.35598666385658	0.0081991800819918
007 L2/3 IT CTX Glut	layer 1	regions_1	4.0098375736169_2.97598666385658	4.0098375736169	2.97598666385658	4.4098375736169	3.37598666385658	0.0044995500449955
007 L2/3 IT CTX Glut	layer 1	regions_1	4.02509204836178_2.99598666385658	4.02509204836178	2.99598666385658	4.42509204836178	3.39598666385658	0.0001999800019998
007 L2/3 IT CTX Glut	layer 1	regions_1	4.02509204836178_3.01598666385658	4.02509204836178	3.01598666385658	4.42509204836178	3.41598666385658	0.0001999800019998
007 L2/3 IT CTX Glut	layer 1	regions_1	4.02509204836178_3.03598666385658	4.02509204836178	3.03598666385658	4.42509204836178	3.43598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.02509204836178_3.05598666385658	4.02509204836178	3.05598666385658	4.42509204836178	3.45598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.02509204836178_3.07598666385658	4.02509204836178	3.07598666385658	4.42509204836178	3.47598666385658	0.0003999600039996
007 L2/3 IT CTX Glut	layer 1	regions_1	4.02509204836178_3.09598666385658	4.02509204836178	3.09598666385658	4.42509204836178	3.49598666385658	0.0012998700129987
007 L2/3 IT CTX Glut	layer 1	regions_1	4.02509204836178_3.11598666385658	4.02509204836178	3.11598666385658	4.42509204836178	3.51598666385658	0.001999800019998
007 L2/3 IT CTX Glut	layer 1	regions_1	4.02509204836178_3.13598666385658	4.02509204836178	3.13598666385658	4.42509204836178	3.53598666385658	0.0312968703129687
007 L2/3 IT CTX Glut	layer 1	regions_1	4.02509204836178_3.15598666385658	4.02509204836178	3.15598666385658	4.42509204836178	3.55598666385658	0.027997200279972
007 L2/3 IT CTX Glut	layer 1	regions_1	4.0298375736169_2.91598666385658	4.0298375736169	2.91598666385658	4.4298375736169	3.31598666385658	0.0031996800319968
007 L2/3 IT CTX Glut	layer 1	regions_1	4.0298375736169_2.93598666385658	4.0298375736169	2.93598666385658	4.4298375736169	3.33598666385658	0.0010998900109989
007 L2/3 IT CTX Glut	layer 1	regions_1	4.0298375736169_2.95598666385658	4.0298375736169	2.95598666385658	4.4298375736169	3.35598666385658	0.0001999800019998
007 L2/3 IT CTX Glut	layer 1	regions_1	4.0298375736169_2.97598666385658	4.0298375736169	2.97598666385658	4.4298375736169	3.37598666385658	0.0001999800019998
007 L2/3 IT CTX Glut	layer 1	regions_1	4.03588726165222_2.87598666385658	4.03588726165222	2.87598666385658	4.43588726165222	3.27598666385658	0.015998400159984
007 L2/3 IT CTX Glut	layer 1	regions_1	4.03588726165222_2.89598666385658	4.03588726165222	2.89598666385658	4.43588726165222	3.29598666385658	0.0067993200679932
007 L2/3 IT CTX Glut	layer 1	regions_1	4.04148384378824_2.77598666385658	4.04148384378824	2.77598666385658	4.44148384378824	3.17598666385658	0.0330966903309669
007 L2/3 IT CTX Glut	layer 1	regions_1	4.04509204836178_2.99598666385658	4.04509204836178	2.99598666385658	4.44509204836178	3.39598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.04509204836178_3.01598666385658	4.04509204836178	3.01598666385658	4.44509204836178	3.41598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.04509204836178_3.03598666385658	4.04509204836178	3.03598666385658	4.44509204836178	3.43598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.04509204836178_3.05598666385658	4.04509204836178	3.05598666385658	4.44509204836178	3.45598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.04509204836178_3.07598666385658	4.04509204836178	3.07598666385658	4.44509204836178	3.47598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.04509204836178_3.09598666385658	4.04509204836178	3.09598666385658	4.44509204836178	3.49598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.04509204836178_3.11598666385658	4.04509204836178	3.11598666385658	4.44509204836178	3.51598666385658	0.0001999800019998
007 L2/3 IT CTX Glut	layer 1	regions_1	4.04509204836178_3.13598666385658	4.04509204836178	3.13598666385658	4.44509204836178	3.53598666385658	0.0070992900709929
007 L2/3 IT CTX Glut	layer 1	regions_1	4.04509204836178_3.15598666385658	4.04509204836178	3.15598666385658	4.44509204836178	3.55598666385658	0.0280971902809719
007 L2/3 IT CTX Glut	layer 1	regions_1	4.0498375736169_2.91598666385658	4.0498375736169	2.91598666385658	4.4498375736169	3.31598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.0498375736169_2.93598666385658	4.0498375736169	2.93598666385658	4.4498375736169	3.33598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.0498375736169_2.95598666385658	4.0498375736169	2.95598666385658	4.4498375736169	3.35598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.0498375736169_2.97598666385658	4.0498375736169	2.97598666385658	4.4498375736169	3.37598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.0553324912059_2.75598666385658	4.0553324912059	2.75598666385658	4.4553324912059	3.15598666385658	0.0038996100389961
007 L2/3 IT CTX Glut	layer 1	regions_1	4.05588726165222_2.83598666385658	4.05588726165222	2.83598666385658	4.45588726165222	3.23598666385658	0.003999600039996
007 L2/3 IT CTX Glut	layer 1	regions_1	4.05588726165222_2.85598666385658	4.05588726165222	2.85598666385658	4.45588726165222	3.25598666385658	0.0016998300169983
007 L2/3 IT CTX Glut	layer 1	regions_1	4.05588726165222_2.87598666385658	4.05588726165222	2.87598666385658	4.45588726165222	3.27598666385658	0.0001999800019998
007 L2/3 IT CTX Glut	layer 1	regions_1	4.05588726165222_2.89598666385658	4.05588726165222	2.89598666385658	4.45588726165222	3.29598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.06148384378824_2.77598666385658	4.06148384378824	2.77598666385658	4.46148384378824	3.17598666385658	0.0011998800119988
007 L2/3 IT CTX Glut	layer 1	regions_1	4.06148384378824_2.79598666385658	4.06148384378824	2.79598666385658	4.46148384378824	3.19598666385658	0.0032996700329967
007 L2/3 IT CTX Glut	layer 1	regions_1	4.06148384378824_2.81598666385658	4.06148384378824	2.81598666385658	4.46148384378824	3.21598666385658	0.0062993700629937
007 L2/3 IT CTX Glut	layer 1	regions_1	4.06509204836178_2.99598666385658	4.06509204836178	2.99598666385658	4.46509204836178	3.39598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.06509204836178_3.01598666385658	4.06509204836178	3.01598666385658	4.46509204836178	3.41598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.06509204836178_3.03598666385658	4.06509204836178	3.03598666385658	4.46509204836178	3.43598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.06509204836178_3.05598666385658	4.06509204836178	3.05598666385658	4.46509204836178	3.45598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.06509204836178_3.07598666385658	4.06509204836178	3.07598666385658	4.46509204836178	3.47598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.06509204836178_3.09598666385658	4.06509204836178	3.09598666385658	4.46509204836178	3.49598666385658	9.99900009999e-05
007 L2/3 IT CTX Glut	layer 1	regions_1	4.06509204836178_3.11598666385658	4.06509204836178	3.11598666385658	4.46509204836178	3.51598666385658	9.99900009999e-05
