Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	3.98393956952529_3.65598666385658	3.98393956952529	3.65598666385658	4.38393956952529	4.05598666385658	0.0438956104389561
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	3.98393956952529_3.67598666385658	3.98393956952529	3.67598666385658	4.38393956952529	4.07598666385658	0.0345965403459654
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	3.99561770095524_3.73598666385658	3.99561770095524	3.73598666385658	4.39561770095524	4.13598666385658	0.0128987101289871
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.00309649138451_3.69598666385658	4.00309649138451	3.69598666385658	4.40309649138451	4.09598666385658	0.032996700329967
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.00309649138451_3.71598666385658	4.00309649138451	3.71598666385658	4.40309649138451	4.11598666385658	0.0205979402059794
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.00393956952529_3.65598666385658	4.00393956952529	3.65598666385658	4.40393956952529	4.05598666385658	0.0482951704829517
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.00393956952529_3.67598666385658	4.00393956952529	3.67598666385658	4.40393956952529	4.07598666385658	0.038996100389961
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.01561770095524_3.73598666385658	4.01561770095524	3.73598666385658	4.41561770095524	4.13598666385658	0.0128987101289871
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.02309649138451_3.69598666385658	4.02309649138451	3.69598666385658	4.42309649138451	4.09598666385658	0.0373962603739626
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.02309649138451_3.71598666385658	4.02309649138451	3.71598666385658	4.42309649138451	4.11598666385658	0.0205979402059794
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.02393956952529_3.67598666385658	4.02393956952529	3.67598666385658	4.42393956952529	4.07598666385658	0.0421957804219578
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.03561770095524_3.73598666385658	4.03561770095524	3.73598666385658	4.43561770095524	4.13598666385658	0.0128987101289871
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.04309649138451_3.69598666385658	4.04309649138451	3.69598666385658	4.44309649138451	4.09598666385658	0.0384961503849615
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.04309649138451_3.71598666385658	4.04309649138451	3.71598666385658	4.44309649138451	4.11598666385658	0.0205979402059794
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.04393956952529_3.67598666385658	4.04393956952529	3.67598666385658	4.44393956952529	4.07598666385658	0.0462953704629537
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.05561770095524_3.73598666385658	4.05561770095524	3.73598666385658	4.45561770095524	4.13598666385658	0.0128987101289871
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.06309649138451_3.69598666385658	4.06309649138451	3.69598666385658	4.46309649138451	4.09598666385658	0.0384961503849615
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.06309649138451_3.71598666385658	4.06309649138451	3.71598666385658	4.46309649138451	4.11598666385658	0.0205979402059794
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.06393956952529_3.67598666385658	4.06393956952529	3.67598666385658	4.46393956952529	4.07598666385658	0.0448955104489551
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.07561770095524_3.73598666385658	4.07561770095524	3.73598666385658	4.47561770095524	4.13598666385658	0.0128987101289871
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.08309649138451_3.69598666385658	4.08309649138451	3.69598666385658	4.48309649138451	4.09598666385658	0.0384961503849615
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.08309649138451_3.71598666385658	4.08309649138451	3.71598666385658	4.48309649138451	4.11598666385658	0.0205979402059794
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.08393956952529_3.67598666385658	4.08393956952529	3.67598666385658	4.48393956952529	4.07598666385658	0.0472952704729527
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.09561770095524_3.73598666385658	4.09561770095524	3.73598666385658	4.49561770095524	4.13598666385658	0.0128987101289871
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.10309649138451_3.69598666385658	4.10309649138451	3.69598666385658	4.50309649138451	4.09598666385658	0.0384961503849615
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.10309649138451_3.71598666385658	4.10309649138451	3.71598666385658	4.50309649138451	4.11598666385658	0.0205979402059794
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.10393956952529_3.67598666385658	4.10393956952529	3.67598666385658	4.50393956952529	4.07598666385658	0.0473952604739526
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.11561770095524_3.73598666385658	4.11561770095524	3.73598666385658	4.51561770095524	4.13598666385658	0.0118988101189881
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.12309649138451_3.69598666385658	4.12309649138451	3.69598666385658	4.52309649138451	4.09598666385658	0.0327967203279672
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.12309649138451_3.71598666385658	4.12309649138451	3.71598666385658	4.52309649138451	4.11598666385658	0.0167983201679832
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.12393956952529_3.67598666385658	4.12393956952529	3.67598666385658	4.52393956952529	4.07598666385658	0.0416958304169583
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.13561770095524_3.73598666385658	4.13561770095524	3.73598666385658	4.53561770095524	4.13598666385658	0.0090990900909909
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.14309649138451_3.69598666385658	4.14309649138451	3.69598666385658	4.54309649138451	4.09598666385658	0.0327967203279672
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.14309649138451_3.71598666385658	4.14309649138451	3.71598666385658	4.54309649138451	4.11598666385658	0.0167983201679832
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.14393956952529_3.67598666385658	4.14393956952529	3.67598666385658	4.54393956952529	4.07598666385658	0.0416958304169583
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.15561770095524_3.73598666385658	4.15561770095524	3.73598666385658	4.55561770095524	4.13598666385658	0.0090990900909909
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.16309649138451_3.69598666385658	4.16309649138451	3.69598666385658	4.56309649138451	4.09598666385658	0.0316968303169683
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.16309649138451_3.71598666385658	4.16309649138451	3.71598666385658	4.56309649138451	4.11598666385658	0.0156984301569843
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.16393956952529_3.65598666385658	4.16393956952529	3.65598666385658	4.56393956952529	4.05598666385658	0.0492950704929507
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.16393956952529_3.67598666385658	4.16393956952529	3.67598666385658	4.56393956952529	4.07598666385658	0.0405959404059594
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.17561770095524_3.73598666385658	4.17561770095524	3.73598666385658	4.57561770095524	4.13598666385658	0.0090990900909909
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.18309649138451_3.69598666385658	4.18309649138451	3.69598666385658	4.58309649138451	4.09598666385658	0.0303969603039696
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.18309649138451_3.71598666385658	4.18309649138451	3.71598666385658	4.58309649138451	4.11598666385658	0.0143985601439856
035 OB Eomes Ms4a15 Glut	layer 1	regions_1	4.18393956952529_3.65598666385658	4.18393956952529	3.65598666385658	4.58393956952529	4.05598666385658	0.0461953804619538
