Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
036 HPF CR Glut	layer 1	regions_1	5.30509204836178_3.13598666385658	5.30509204836178	3.13598666385658	5.70509204836178	3.53598666385658	0.0480951904809519
036 HPF CR Glut	layer 1	regions_1	5.32509204836178_3.13598666385658	5.32509204836178	3.13598666385658	5.72509204836178	3.53598666385658	0.0470952904709529
036 HPF CR Glut	layer 1	regions_1	5.34509204836178_3.09598666385658	5.34509204836178	3.09598666385658	5.74509204836178	3.49598666385658	0.045995400459954
036 HPF CR Glut	layer 1	regions_1	5.34509204836178_3.11598666385658	5.34509204836178	3.11598666385658	5.74509204836178	3.51598666385658	0.0426957304269573
036 HPF CR Glut	layer 1	regions_1	5.34509204836178_3.13598666385658	5.34509204836178	3.13598666385658	5.74509204836178	3.53598666385658	0.0375962403759624
036 HPF CR Glut	layer 1	regions_1	5.36509204836178_3.03598666385658	5.36509204836178	3.03598666385658	5.76509204836178	3.43598666385658	0.0480951904809519
036 HPF CR Glut	layer 1	regions_1	5.36509204836178_3.05598666385658	5.36509204836178	3.05598666385658	5.76509204836178	3.45598666385658	0.044995500449955
036 HPF CR Glut	layer 1	regions_1	5.36509204836178_3.07598666385658	5.36509204836178	3.07598666385658	5.76509204836178	3.47598666385658	0.044995500449955
036 HPF CR Glut	layer 1	regions_1	5.36509204836178_3.09598666385658	5.36509204836178	3.09598666385658	5.76509204836178	3.49598666385658	0.0358964103589641
036 HPF CR Glut	layer 1	regions_1	5.36509204836178_3.11598666385658	5.36509204836178	3.11598666385658	5.76509204836178	3.51598666385658	0.033996600339966
036 HPF CR Glut	layer 1	regions_1	5.36509204836178_3.13598666385658	5.36509204836178	3.13598666385658	5.76509204836178	3.53598666385658	0.0288971102889711
036 HPF CR Glut	layer 1	regions_1	5.38509204836178_3.01598666385658	5.38509204836178	3.01598666385658	5.78509204836178	3.41598666385658	0.0486951304869513
036 HPF CR Glut	layer 1	regions_1	5.38509204836178_3.03598666385658	5.38509204836178	3.03598666385658	5.78509204836178	3.43598666385658	0.045995400459954
036 HPF CR Glut	layer 1	regions_1	5.38509204836178_3.05598666385658	5.38509204836178	3.05598666385658	5.78509204836178	3.45598666385658	0.0428957104289571
036 HPF CR Glut	layer 1	regions_1	5.38509204836178_3.07598666385658	5.38509204836178	3.07598666385658	5.78509204836178	3.47598666385658	0.0428957104289571
036 HPF CR Glut	layer 1	regions_1	5.38509204836178_3.09598666385658	5.38509204836178	3.09598666385658	5.78509204836178	3.49598666385658	0.0344965503449655
036 HPF CR Glut	layer 1	regions_1	5.38509204836178_3.11598666385658	5.38509204836178	3.11598666385658	5.78509204836178	3.51598666385658	0.0325967403259674
036 HPF CR Glut	layer 1	regions_1	5.38509204836178_3.13598666385658	5.38509204836178	3.13598666385658	5.78509204836178	3.53598666385658	0.0274972502749725
036 HPF CR Glut	layer 1	regions_1	5.40148384378824_2.77598666385658	5.40148384378824	2.77598666385658	5.80148384378824	3.17598666385658	0.0455954404559544
036 HPF CR Glut	layer 1	regions_1	5.40148384378824_2.79598666385658	5.40148384378824	2.79598666385658	5.80148384378824	3.19598666385658	0.0455954404559544
036 HPF CR Glut	layer 1	regions_1	5.40148384378824_2.81598666385658	5.40148384378824	2.81598666385658	5.80148384378824	3.21598666385658	0.0481951804819518
036 HPF CR Glut	layer 1	regions_1	5.40509204836178_2.99598666385658	5.40509204836178	2.99598666385658	5.80509204836178	3.39598666385658	0.03999600039996
036 HPF CR Glut	layer 1	regions_1	5.40509204836178_3.01598666385658	5.40509204836178	3.01598666385658	5.80509204836178	3.41598666385658	0.0370962903709629
036 HPF CR Glut	layer 1	regions_1	5.40509204836178_3.03598666385658	5.40509204836178	3.03598666385658	5.80509204836178	3.43598666385658	0.0343965603439656
036 HPF CR Glut	layer 1	regions_1	5.40509204836178_3.05598666385658	5.40509204836178	3.05598666385658	5.80509204836178	3.45598666385658	0.0312968703129687
036 HPF CR Glut	layer 1	regions_1	5.40509204836178_3.07598666385658	5.40509204836178	3.07598666385658	5.80509204836178	3.47598666385658	0.0312968703129687
036 HPF CR Glut	layer 1	regions_1	5.40509204836178_3.09598666385658	5.40509204836178	3.09598666385658	5.80509204836178	3.49598666385658	0.0228977102289771
