Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
046 Vip Gaba	layer 1	regions_1	4.2553324912059_2.73598666385658	4.2553324912059	2.73598666385658	4.6553324912059	3.13598666385658	0.0080991900809919
046 Vip Gaba	layer 1	regions_1	4.2553324912059_2.75598666385658	4.2553324912059	2.75598666385658	4.6553324912059	3.15598666385658	0.0095990400959904
046 Vip Gaba	layer 1	regions_1	4.25588726165222_2.83598666385658	4.25588726165222	2.83598666385658	4.65588726165222	3.23598666385658	0.0103989601039896
046 Vip Gaba	layer 1	regions_1	4.25588726165222_2.85598666385658	4.25588726165222	2.85598666385658	4.65588726165222	3.25598666385658	0.0091990800919908
046 Vip Gaba	layer 1	regions_1	4.25588726165222_2.87598666385658	4.25588726165222	2.87598666385658	4.65588726165222	3.27598666385658	0.0081991800819918
046 Vip Gaba	layer 1	regions_1	4.25588726165222_2.89598666385658	4.25588726165222	2.89598666385658	4.65588726165222	3.29598666385658	0.0066993300669933
046 Vip Gaba	layer 1	regions_1	4.26148384378824_2.77598666385658	4.26148384378824	2.77598666385658	4.66148384378824	3.17598666385658	0.0092990700929907
046 Vip Gaba	layer 1	regions_1	4.26148384378824_2.79598666385658	4.26148384378824	2.79598666385658	4.66148384378824	3.19598666385658	0.00999900009999
046 Vip Gaba	layer 1	regions_1	4.26148384378824_2.81598666385658	4.26148384378824	2.81598666385658	4.66148384378824	3.21598666385658	0.0095990400959904
046 Vip Gaba	layer 1	regions_1	4.2753324912059_2.73598666385658	4.2753324912059	2.73598666385658	4.6753324912059	3.13598666385658	0.0090990900909909
046 Vip Gaba	layer 1	regions_1	4.2753324912059_2.75598666385658	4.2753324912059	2.75598666385658	4.6753324912059	3.15598666385658	0.0103989601039896
046 Vip Gaba	layer 1	regions_1	4.27588726165222_2.83598666385658	4.27588726165222	2.83598666385658	4.67588726165222	3.23598666385658	0.010998900109989
046 Vip Gaba	layer 1	regions_1	4.27588726165222_2.85598666385658	4.27588726165222	2.85598666385658	4.67588726165222	3.25598666385658	0.0096990300969903
046 Vip Gaba	layer 1	regions_1	4.27588726165222_2.87598666385658	4.27588726165222	2.87598666385658	4.67588726165222	3.27598666385658	0.0082991700829917
046 Vip Gaba	layer 1	regions_1	4.27588726165222_2.89598666385658	4.27588726165222	2.89598666385658	4.67588726165222	3.29598666385658	0.0068993100689931
046 Vip Gaba	layer 1	regions_1	4.28148384378824_2.77598666385658	4.28148384378824	2.77598666385658	4.68148384378824	3.17598666385658	0.0100989901009899
046 Vip Gaba	layer 1	regions_1	4.28148384378824_2.79598666385658	4.28148384378824	2.79598666385658	4.68148384378824	3.19598666385658	0.010998900109989
046 Vip Gaba	layer 1	regions_1	4.28148384378824_2.81598666385658	4.28148384378824	2.81598666385658	4.68148384378824	3.21598666385658	0.0104989501049895
046 Vip Gaba	layer 1	regions_1	4.2953324912059_2.73598666385658	4.2953324912059	2.73598666385658	4.6953324912059	3.13598666385658	0.0094990500949905
046 Vip Gaba	layer 1	regions_1	4.2953324912059_2.75598666385658	4.2953324912059	2.75598666385658	4.6953324912059	3.15598666385658	0.0108989101089891
046 Vip Gaba	layer 1	regions_1	4.29588726165222_2.83598666385658	4.29588726165222	2.83598666385658	4.69588726165222	3.23598666385658	0.0108989101089891
046 Vip Gaba	layer 1	regions_1	4.29588726165222_2.85598666385658	4.29588726165222	2.85598666385658	4.69588726165222	3.25598666385658	0.0093990600939906
