Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
047 Sncg Gaba	layer 1	regions_1	4.0298375736169_2.97598666385658	4.0298375736169	2.97598666385658	4.4298375736169	3.37598666385658	0.0160983901609839
047 Sncg Gaba	layer 1	regions_1	4.0498375736169_2.97598666385658	4.0498375736169	2.97598666385658	4.4498375736169	3.37598666385658	0.0157984201579842
047 Sncg Gaba	layer 1	regions_1	4.0698375736169_2.97598666385658	4.0698375736169	2.97598666385658	4.4698375736169	3.37598666385658	0.0162983701629837
047 Sncg Gaba	layer 1	regions_1	4.0898375736169_2.97598666385658	4.0898375736169	2.97598666385658	4.4898375736169	3.37598666385658	0.0135986401359864
047 Sncg Gaba	layer 1	regions_1	4.1098375736169_2.97598666385658	4.1098375736169	2.97598666385658	4.5098375736169	3.37598666385658	0.0116988301169883
047 Sncg Gaba	layer 1	regions_1	4.1298375736169_2.97598666385658	4.1298375736169	2.97598666385658	4.5298375736169	3.37598666385658	0.0122987701229877
047 Sncg Gaba	layer 1	regions_1	4.1498375736169_2.97598666385658	4.1498375736169	2.97598666385658	4.5498375736169	3.37598666385658	0.0116988301169883
047 Sncg Gaba	layer 1	regions_1	4.1698375736169_2.97598666385658	4.1698375736169	2.97598666385658	4.5698375736169	3.37598666385658	0.0118988101189881
047 Sncg Gaba	layer 1	regions_1	4.1898375736169_2.97598666385658	4.1898375736169	2.97598666385658	4.5898375736169	3.37598666385658	0.0115988401159884
047 Sncg Gaba	layer 1	regions_1	4.2098375736169_2.97598666385658	4.2098375736169	2.97598666385658	4.6098375736169	3.37598666385658	0.0101989801019898
047 Sncg Gaba	layer 1	regions_1	4.36509204836178_3.07598666385658	4.36509204836178	3.07598666385658	4.76509204836178	3.47598666385658	0.0463953604639536
047 Sncg Gaba	layer 1	regions_1	4.38509204836178_3.07598666385658	4.38509204836178	3.07598666385658	4.78509204836178	3.47598666385658	0.0305969403059694
047 Sncg Gaba	layer 1	regions_1	4.40509204836178_3.07598666385658	4.40509204836178	3.07598666385658	4.80509204836178	3.47598666385658	0.0245975402459754
047 Sncg Gaba	layer 1	regions_1	4.71588726165222_2.83598666385658	4.71588726165222	2.83598666385658	5.11588726165222	3.23598666385658	0.0445955404459554
047 Sncg Gaba	layer 1	regions_1	4.71588726165222_2.85598666385658	4.71588726165222	2.85598666385658	5.11588726165222	3.25598666385658	0.0450954904509549
047 Sncg Gaba	layer 1	regions_1	4.71588726165222_2.87598666385658	4.71588726165222	2.87598666385658	5.11588726165222	3.27598666385658	0.0361963803619638
047 Sncg Gaba	layer 1	regions_1	4.71588726165222_2.89598666385658	4.71588726165222	2.89598666385658	5.11588726165222	3.29598666385658	0.0278972102789721
047 Sncg Gaba	layer 1	regions_1	4.72148384378824_2.81598666385658	4.72148384378824	2.81598666385658	5.12148384378824	3.21598666385658	0.0472952704729527
047 Sncg Gaba	layer 1	regions_1	4.73588726165222_2.83598666385658	4.73588726165222	2.83598666385658	5.13588726165222	3.23598666385658	0.0367963203679632
047 Sncg Gaba	layer 1	regions_1	4.73588726165222_2.85598666385658	4.73588726165222	2.85598666385658	5.13588726165222	3.25598666385658	0.0357964203579642
047 Sncg Gaba	layer 1	regions_1	4.73588726165222_2.87598666385658	4.73588726165222	2.87598666385658	5.13588726165222	3.27598666385658	0.0297970202979702
047 Sncg Gaba	layer 1	regions_1	4.73588726165222_2.89598666385658	4.73588726165222	2.89598666385658	5.13588726165222	3.29598666385658	0.0231976802319768
047 Sncg Gaba	layer 1	regions_1	4.74148384378824_2.81598666385658	4.74148384378824	2.81598666385658	5.14148384378824	3.21598666385658	0.0430956904309569
047 Sncg Gaba	layer 1	regions_1	4.75588726165222_2.83598666385658	4.75588726165222	2.83598666385658	5.15588726165222	3.23598666385658	0.0408959104089591
047 Sncg Gaba	layer 1	regions_1	4.75588726165222_2.85598666385658	4.75588726165222	2.85598666385658	5.15588726165222	3.25598666385658	0.0367963203679632
047 Sncg Gaba	layer 1	regions_1	4.75588726165222_2.87598666385658	4.75588726165222	2.87598666385658	5.15588726165222	3.27598666385658	0.0321967803219678
047 Sncg Gaba	layer 1	regions_1	4.75588726165222_2.89598666385658	4.75588726165222	2.89598666385658	5.15588726165222	3.29598666385658	0.0254974502549745
047 Sncg Gaba	layer 1	regions_1	4.76148384378824_2.81598666385658	4.76148384378824	2.81598666385658	5.16148384378824	3.21598666385658	0.0450954904509549
047 Sncg Gaba	layer 1	regions_1	4.80148384378824_2.81598666385658	4.80148384378824	2.81598666385658	5.20148384378824	3.21598666385658	0.0416958304169583
047 Sncg Gaba	layer 1	regions_1	4.81588726165222_2.83598666385658	4.81588726165222	2.83598666385658	5.21588726165222	3.23598666385658	0.0372962703729627
047 Sncg Gaba	layer 1	regions_1	4.81588726165222_2.85598666385658	4.81588726165222	2.85598666385658	5.21588726165222	3.25598666385658	0.0345965403459654
047 Sncg Gaba	layer 1	regions_1	4.81588726165222_2.87598666385658	4.81588726165222	2.87598666385658	5.21588726165222	3.27598666385658	0.0288971102889711
047 Sncg Gaba	layer 1	regions_1	4.81588726165222_2.89598666385658	4.81588726165222	2.89598666385658	5.21588726165222	3.29598666385658	0.0263973602639736
