Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
049 Lamp5 Gaba	layer 1	regions_1	4.42509204836178_3.15598666385658	4.42509204836178	3.15598666385658	4.82509204836178	3.55598666385658	0.0392960703929607
049 Lamp5 Gaba	layer 1	regions_1	4.42509204836178_3.17598666385658	4.42509204836178	3.17598666385658	4.82509204836178	3.57598666385658	0.0392960703929607
049 Lamp5 Gaba	layer 1	regions_1	4.60509204836178_3.15598666385658	4.60509204836178	3.15598666385658	5.00509204836178	3.55598666385658	0.0455954404559544
049 Lamp5 Gaba	layer 1	regions_1	4.60509204836178_3.17598666385658	4.60509204836178	3.17598666385658	5.00509204836178	3.57598666385658	0.0455954404559544
049 Lamp5 Gaba	layer 1	regions_1	4.60591601980828_3.51598666385658	4.60591601980828	3.51598666385658	5.00591601980828	3.91598666385658	0.0458954104589541
049 Lamp5 Gaba	layer 1	regions_1	4.61988724531563_3.49598666385658	4.61988724531563	3.49598666385658	5.01988724531563	3.89598666385658	0.0465953404659534
049 Lamp5 Gaba	layer 1	regions_1	4.7698375736169_2.97598666385658	4.7698375736169	2.97598666385658	5.1698375736169	3.37598666385658	0.0361963803619638
049 Lamp5 Gaba	layer 1	regions_1	4.78509204836178_2.99598666385658	4.78509204836178	2.99598666385658	5.18509204836178	3.39598666385658	0.0347965203479652
049 Lamp5 Gaba	layer 1	regions_1	4.7898375736169_2.97598666385658	4.7898375736169	2.97598666385658	5.1898375736169	3.37598666385658	0.0390960903909609
049 Lamp5 Gaba	layer 1	regions_1	4.80509204836178_2.99598666385658	4.80509204836178	2.99598666385658	5.20509204836178	3.39598666385658	0.0487951204879512
049 Lamp5 Gaba	layer 1	regions_1	4.9698375736169_2.97598666385658	4.9698375736169	2.97598666385658	5.3698375736169	3.37598666385658	0.033996600339966
