Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
051 Pvalb chandelier Gaba	layer 1	regions_1	4.57588726165222_2.83598666385658	4.57588726165222	2.83598666385658	4.97588726165222	3.23598666385658	0.035996400359964
051 Pvalb chandelier Gaba	layer 1	regions_1	4.57588726165222_2.85598666385658	4.57588726165222	2.85598666385658	4.97588726165222	3.25598666385658	0.0320967903209679
051 Pvalb chandelier Gaba	layer 1	regions_1	4.57588726165222_2.87598666385658	4.57588726165222	2.87598666385658	4.97588726165222	3.27598666385658	0.0267973202679732
051 Pvalb chandelier Gaba	layer 1	regions_1	4.57588726165222_2.89598666385658	4.57588726165222	2.89598666385658	4.97588726165222	3.29598666385658	0.0218978102189781
051 Pvalb chandelier Gaba	layer 1	regions_1	4.58148384378824_2.79598666385658	4.58148384378824	2.79598666385658	4.98148384378824	3.19598666385658	0.0484951504849515
051 Pvalb chandelier Gaba	layer 1	regions_1	4.58148384378824_2.81598666385658	4.58148384378824	2.81598666385658	4.98148384378824	3.21598666385658	0.0410958904109589
051 Pvalb chandelier Gaba	layer 1	regions_1	4.58509204836178_2.99598666385658	4.58509204836178	2.99598666385658	4.98509204836178	3.39598666385658	0.0083991600839916
051 Pvalb chandelier Gaba	layer 1	regions_1	4.58509204836178_3.01598666385658	4.58509204836178	3.01598666385658	4.98509204836178	3.41598666385658	0.0055994400559944
051 Pvalb chandelier Gaba	layer 1	regions_1	4.58509204836178_3.03598666385658	4.58509204836178	3.03598666385658	4.98509204836178	3.43598666385658	0.0045995400459954
051 Pvalb chandelier Gaba	layer 1	regions_1	4.5898375736169_2.91598666385658	4.5898375736169	2.91598666385658	4.9898375736169	3.31598666385658	0.0186981301869813
051 Pvalb chandelier Gaba	layer 1	regions_1	4.5898375736169_2.93598666385658	4.5898375736169	2.93598666385658	4.9898375736169	3.33598666385658	0.0160983901609839
051 Pvalb chandelier Gaba	layer 1	regions_1	4.5898375736169_2.95598666385658	4.5898375736169	2.95598666385658	4.9898375736169	3.35598666385658	0.0123987601239876
051 Pvalb chandelier Gaba	layer 1	regions_1	4.5898375736169_2.97598666385658	4.5898375736169	2.97598666385658	4.9898375736169	3.37598666385658	0.0105989401059894
051 Pvalb chandelier Gaba	layer 1	regions_1	4.59588726165222_2.83598666385658	4.59588726165222	2.83598666385658	4.99588726165222	3.23598666385658	0.0374962503749625
051 Pvalb chandelier Gaba	layer 1	regions_1	4.59588726165222_2.85598666385658	4.59588726165222	2.85598666385658	4.99588726165222	3.25598666385658	0.0333966603339666
051 Pvalb chandelier Gaba	layer 1	regions_1	4.59588726165222_2.87598666385658	4.59588726165222	2.87598666385658	4.99588726165222	3.27598666385658	0.0278972102789721
051 Pvalb chandelier Gaba	layer 1	regions_1	4.59588726165222_2.89598666385658	4.59588726165222	2.89598666385658	4.99588726165222	3.29598666385658	0.0227977202279772
051 Pvalb chandelier Gaba	layer 1	regions_1	4.60148384378824_2.79598666385658	4.60148384378824	2.79598666385658	5.00148384378824	3.19598666385658	0.0494950504949505
051 Pvalb chandelier Gaba	layer 1	regions_1	4.60148384378824_2.81598666385658	4.60148384378824	2.81598666385658	5.00148384378824	3.21598666385658	0.0401959804019598
051 Pvalb chandelier Gaba	layer 1	regions_1	4.60509204836178_2.99598666385658	4.60509204836178	2.99598666385658	5.00509204836178	3.39598666385658	0.0105989401059894
051 Pvalb chandelier Gaba	layer 1	regions_1	4.60509204836178_3.01598666385658	4.60509204836178	3.01598666385658	5.00509204836178	3.41598666385658	0.0088991100889911
051 Pvalb chandelier Gaba	layer 1	regions_1	4.60509204836178_3.03598666385658	4.60509204836178	3.03598666385658	5.00509204836178	3.43598666385658	0.0074992500749925
051 Pvalb chandelier Gaba	layer 1	regions_1	4.6098375736169_2.91598666385658	4.6098375736169	2.91598666385658	5.0098375736169	3.31598666385658	0.0181981801819818
051 Pvalb chandelier Gaba	layer 1	regions_1	4.6098375736169_2.93598666385658	4.6098375736169	2.93598666385658	5.0098375736169	3.33598666385658	0.015998400159984
051 Pvalb chandelier Gaba	layer 1	regions_1	4.6098375736169_2.95598666385658	4.6098375736169	2.95598666385658	5.0098375736169	3.35598666385658	0.0140985901409859
051 Pvalb chandelier Gaba	layer 1	regions_1	4.6098375736169_2.97598666385658	4.6098375736169	2.97598666385658	5.0098375736169	3.37598666385658	0.0123987601239876
051 Pvalb chandelier Gaba	layer 1	regions_1	4.61588726165222_2.83598666385658	4.61588726165222	2.83598666385658	5.01588726165222	3.23598666385658	0.0324967503249675
051 Pvalb chandelier Gaba	layer 1	regions_1	4.61588726165222_2.85598666385658	4.61588726165222	2.85598666385658	5.01588726165222	3.25598666385658	0.0286971302869713
051 Pvalb chandelier Gaba	layer 1	regions_1	4.61588726165222_2.87598666385658	4.61588726165222	2.87598666385658	5.01588726165222	3.27598666385658	0.0244975502449755
051 Pvalb chandelier Gaba	layer 1	regions_1	4.61588726165222_2.89598666385658	4.61588726165222	2.89598666385658	5.01588726165222	3.29598666385658	0.0205979402059794
051 Pvalb chandelier Gaba	layer 1	regions_1	4.62148384378824_2.77598666385658	4.62148384378824	2.77598666385658	5.02148384378824	3.17598666385658	0.0492950704929507
051 Pvalb chandelier Gaba	layer 1	regions_1	4.62148384378824_2.79598666385658	4.62148384378824	2.79598666385658	5.02148384378824	3.19598666385658	0.042995700429957
051 Pvalb chandelier Gaba	layer 1	regions_1	4.62148384378824_2.81598666385658	4.62148384378824	2.81598666385658	5.02148384378824	3.21598666385658	0.0355964403559644
051 Pvalb chandelier Gaba	layer 1	regions_1	4.62509204836178_2.99598666385658	4.62509204836178	2.99598666385658	5.02509204836178	3.39598666385658	0.0101989801019898
051 Pvalb chandelier Gaba	layer 1	regions_1	4.62509204836178_3.01598666385658	4.62509204836178	3.01598666385658	5.02509204836178	3.41598666385658	0.0086991300869913
051 Pvalb chandelier Gaba	layer 1	regions_1	4.62509204836178_3.03598666385658	4.62509204836178	3.03598666385658	5.02509204836178	3.43598666385658	0.0074992500749925
051 Pvalb chandelier Gaba	layer 1	regions_1	4.6298375736169_2.91598666385658	4.6298375736169	2.91598666385658	5.0298375736169	3.31598666385658	0.0183981601839816
051 Pvalb chandelier Gaba	layer 1	regions_1	4.6298375736169_2.93598666385658	4.6298375736169	2.93598666385658	5.0298375736169	3.33598666385658	0.0160983901609839
051 Pvalb chandelier Gaba	layer 1	regions_1	4.6298375736169_2.95598666385658	4.6298375736169	2.95598666385658	5.0298375736169	3.35598666385658	0.0144985501449855
051 Pvalb chandelier Gaba	layer 1	regions_1	4.6298375736169_2.97598666385658	4.6298375736169	2.97598666385658	5.0298375736169	3.37598666385658	0.0127987201279872
