Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
052 Pvalb Gaba	layer 1	regions_1	4.32509204836178_3.09598666385658	4.32509204836178	3.09598666385658	4.72509204836178	3.49598666385658	0.04999500049995
052 Pvalb Gaba	layer 1	regions_1	4.32509204836178_3.15598666385658	4.32509204836178	3.15598666385658	4.72509204836178	3.55598666385658	0.0481951804819518
052 Pvalb Gaba	layer 1	regions_1	4.32509204836178_3.17598666385658	4.32509204836178	3.17598666385658	4.72509204836178	3.57598666385658	0.0464953504649535
052 Pvalb Gaba	layer 1	regions_1	4.34509204836178_3.09598666385658	4.34509204836178	3.09598666385658	4.74509204836178	3.49598666385658	0.046995300469953
052 Pvalb Gaba	layer 1	regions_1	4.34509204836178_3.11598666385658	4.34509204836178	3.11598666385658	4.74509204836178	3.51598666385658	0.04999500049995
052 Pvalb Gaba	layer 1	regions_1	4.34509204836178_3.13598666385658	4.34509204836178	3.13598666385658	4.74509204836178	3.53598666385658	0.0488951104889511
052 Pvalb Gaba	layer 1	regions_1	4.34509204836178_3.15598666385658	4.34509204836178	3.15598666385658	4.74509204836178	3.55598666385658	0.0451954804519548
052 Pvalb Gaba	layer 1	regions_1	4.34509204836178_3.17598666385658	4.34509204836178	3.17598666385658	4.74509204836178	3.57598666385658	0.0434956504349565
052 Pvalb Gaba	layer 1	regions_1	4.36509204836178_3.07598666385658	4.36509204836178	3.07598666385658	4.76509204836178	3.47598666385658	0.0443955604439556
052 Pvalb Gaba	layer 1	regions_1	4.36509204836178_3.09598666385658	4.36509204836178	3.09598666385658	4.76509204836178	3.49598666385658	0.0378962103789621
052 Pvalb Gaba	layer 1	regions_1	4.36509204836178_3.11598666385658	4.36509204836178	3.11598666385658	4.76509204836178	3.51598666385658	0.0376962303769623
052 Pvalb Gaba	layer 1	regions_1	4.36509204836178_3.13598666385658	4.36509204836178	3.13598666385658	4.76509204836178	3.53598666385658	0.0365963403659634
052 Pvalb Gaba	layer 1	regions_1	4.36509204836178_3.15598666385658	4.36509204836178	3.15598666385658	4.76509204836178	3.55598666385658	0.0328967103289671
052 Pvalb Gaba	layer 1	regions_1	4.36509204836178_3.17598666385658	4.36509204836178	3.17598666385658	4.76509204836178	3.57598666385658	0.0311968803119688
