Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
053 Sst Gaba	layer 1	regions_1	4.80509204836178_3.01598666385658	4.80509204836178	3.01598666385658	5.20509204836178	3.41598666385658	0.0451954804519548
053 Sst Gaba	layer 1	regions_1	4.8098375736169_2.93598666385658	4.8098375736169	2.93598666385658	5.2098375736169	3.33598666385658	0.0493950604939506
053 Sst Gaba	layer 1	regions_1	4.82509204836178_2.99598666385658	4.82509204836178	2.99598666385658	5.22509204836178	3.39598666385658	0.0044995500449955
053 Sst Gaba	layer 1	regions_1	4.82509204836178_3.01598666385658	4.82509204836178	3.01598666385658	5.22509204836178	3.41598666385658	0.0031996800319968
053 Sst Gaba	layer 1	regions_1	4.82509204836178_3.03598666385658	4.82509204836178	3.03598666385658	5.22509204836178	3.43598666385658	0.005999400059994
053 Sst Gaba	layer 1	regions_1	4.8298375736169_2.91598666385658	4.8298375736169	2.91598666385658	5.2298375736169	3.31598666385658	0.0025997400259974
053 Sst Gaba	layer 1	regions_1	4.8298375736169_2.93598666385658	4.8298375736169	2.93598666385658	5.2298375736169	3.33598666385658	0.002999700029997
053 Sst Gaba	layer 1	regions_1	4.8298375736169_2.95598666385658	4.8298375736169	2.95598666385658	5.2298375736169	3.35598666385658	0.0035996400359964
053 Sst Gaba	layer 1	regions_1	4.8298375736169_2.97598666385658	4.8298375736169	2.97598666385658	5.2298375736169	3.37598666385658	0.0044995500449955
053 Sst Gaba	layer 1	regions_1	4.83588726165222_2.85598666385658	4.83588726165222	2.85598666385658	5.23588726165222	3.25598666385658	0.0052994700529947
053 Sst Gaba	layer 1	regions_1	4.83588726165222_2.87598666385658	4.83588726165222	2.87598666385658	5.23588726165222	3.27598666385658	0.0044995500449955
053 Sst Gaba	layer 1	regions_1	4.83588726165222_2.89598666385658	4.83588726165222	2.89598666385658	5.23588726165222	3.29598666385658	0.0043995600439956
053 Sst Gaba	layer 1	regions_1	4.84509204836178_2.99598666385658	4.84509204836178	2.99598666385658	5.24509204836178	3.39598666385658	0.0044995500449955
053 Sst Gaba	layer 1	regions_1	4.84509204836178_3.01598666385658	4.84509204836178	3.01598666385658	5.24509204836178	3.41598666385658	0.0030996900309969
053 Sst Gaba	layer 1	regions_1	4.84509204836178_3.03598666385658	4.84509204836178	3.03598666385658	5.24509204836178	3.43598666385658	0.0055994400559944
053 Sst Gaba	layer 1	regions_1	4.8498375736169_2.91598666385658	4.8498375736169	2.91598666385658	5.2498375736169	3.31598666385658	0.0032996700329967
053 Sst Gaba	layer 1	regions_1	4.8498375736169_2.93598666385658	4.8498375736169	2.93598666385658	5.2498375736169	3.33598666385658	0.0036996300369963
053 Sst Gaba	layer 1	regions_1	4.8498375736169_2.95598666385658	4.8498375736169	2.95598666385658	5.2498375736169	3.35598666385658	0.003999600039996
053 Sst Gaba	layer 1	regions_1	4.8498375736169_2.97598666385658	4.8498375736169	2.97598666385658	5.2498375736169	3.37598666385658	0.004999500049995
