Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.05598666385658	4.64509204836178	3.05598666385658	5.04509204836178	3.45598666385658	0.006999300069993
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.07598666385658	4.64509204836178	3.07598666385658	5.04509204836178	3.47598666385658	0.0095990400959904
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.09598666385658	4.64509204836178	3.09598666385658	5.04509204836178	3.49598666385658	0.0060993900609939
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.11598666385658	4.64509204836178	3.11598666385658	5.04509204836178	3.51598666385658	0.0090990900909909
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.13598666385658	4.64509204836178	3.13598666385658	5.04509204836178	3.53598666385658	0.021997800219978
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.15598666385658	4.64509204836178	3.15598666385658	5.04509204836178	3.55598666385658	0.021997800219978
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.17598666385658	4.64509204836178	3.17598666385658	5.04509204836178	3.57598666385658	0.021997800219978
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.19598666385658	4.64509204836178	3.19598666385658	5.04509204836178	3.59598666385658	0.0301969803019698
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.21598666385658	4.64509204836178	3.21598666385658	5.04509204836178	3.61598666385658	0.0301969803019698
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.23598666385658	4.64509204836178	3.23598666385658	5.04509204836178	3.63598666385658	0.030996900309969
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.25598666385658	4.64509204836178	3.25598666385658	5.04509204836178	3.65598666385658	0.030996900309969
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.27598666385658	4.64509204836178	3.27598666385658	5.04509204836178	3.67598666385658	0.030996900309969
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.29598666385658	4.64509204836178	3.29598666385658	5.04509204836178	3.69598666385658	0.030996900309969
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.31598666385658	4.64509204836178	3.31598666385658	5.04509204836178	3.71598666385658	0.030996900309969
319 Astro-TE NN	layer 1	regions_1	4.64509204836178_3.33598666385658	4.64509204836178	3.33598666385658	5.04509204836178	3.73598666385658	0.030996900309969
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.05598666385658	4.66509204836178	3.05598666385658	5.06509204836178	3.45598666385658	0.0034996500349965
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.07598666385658	4.66509204836178	3.07598666385658	5.06509204836178	3.47598666385658	0.0031996800319968
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.09598666385658	4.66509204836178	3.09598666385658	5.06509204836178	3.49598666385658	0.0017998200179982
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.11598666385658	4.66509204836178	3.11598666385658	5.06509204836178	3.51598666385658	0.003999600039996
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.13598666385658	4.66509204836178	3.13598666385658	5.06509204836178	3.53598666385658	0.0054994500549945
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.15598666385658	4.66509204836178	3.15598666385658	5.06509204836178	3.55598666385658	0.0054994500549945
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.17598666385658	4.66509204836178	3.17598666385658	5.06509204836178	3.57598666385658	0.0054994500549945
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.19598666385658	4.66509204836178	3.19598666385658	5.06509204836178	3.59598666385658	0.0054994500549945
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.21598666385658	4.66509204836178	3.21598666385658	5.06509204836178	3.61598666385658	0.0054994500549945
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.23598666385658	4.66509204836178	3.23598666385658	5.06509204836178	3.63598666385658	0.0054994500549945
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.25598666385658	4.66509204836178	3.25598666385658	5.06509204836178	3.65598666385658	0.0054994500549945
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.27598666385658	4.66509204836178	3.27598666385658	5.06509204836178	3.67598666385658	0.0054994500549945
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.29598666385658	4.66509204836178	3.29598666385658	5.06509204836178	3.69598666385658	0.0054994500549945
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.31598666385658	4.66509204836178	3.31598666385658	5.06509204836178	3.71598666385658	0.0054994500549945
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.33598666385658	4.66509204836178	3.33598666385658	5.06509204836178	3.73598666385658	0.003999600039996
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.35598666385658	4.66509204836178	3.35598666385658	5.06509204836178	3.75598666385658	0.0405959404059594
319 Astro-TE NN	layer 1	regions_1	4.66509204836178_3.37598666385658	4.66509204836178	3.37598666385658	5.06509204836178	3.77598666385658	0.0308969103089691
319 Astro-TE NN	layer 1	regions_1	4.67988724531563_3.39598666385658	4.67988724531563	3.39598666385658	5.07988724531563	3.79598666385658	0.0288971102889711
319 Astro-TE NN	layer 1	regions_1	4.68509204836178_3.03598666385658	4.68509204836178	3.03598666385658	5.08509204836178	3.43598666385658	0.0420957904209579
319 Astro-TE NN	layer 1	regions_1	4.68509204836178_3.05598666385658	4.68509204836178	3.05598666385658	5.08509204836178	3.45598666385658	0.0007999200079992
