Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
319 Astro-TE NN	layer 2/3	regions_1	4.63895011674335_3.24718476212357	4.63895011674335	3.24718476212357	5.03895011674335	3.64718476212357	0.0483951604839516
319 Astro-TE NN	layer 2/3	regions_1	4.65895011674335_3.24718476212357	4.65895011674335	3.24718476212357	5.05895011674335	3.64718476212357	0.0434956504349565
319 Astro-TE NN	layer 2/3	regions_1	4.67895011674335_3.24718476212357	4.67895011674335	3.24718476212357	5.07895011674335	3.64718476212357	0.038996100389961
319 Astro-TE NN	layer 2/3	regions_1	4.69895011674335_3.22718476212357	4.69895011674335	3.22718476212357	5.09895011674335	3.62718476212357	0.0497950204979502
319 Astro-TE NN	layer 2/3	regions_1	4.69895011674335_3.24718476212357	4.69895011674335	3.24718476212357	5.09895011674335	3.64718476212357	0.0221977802219778
319 Astro-TE NN	layer 2/3	regions_1	4.69895011674335_3.26718476212357	4.69895011674335	3.26718476212357	5.09895011674335	3.66718476212357	0.0390960903909609
319 Astro-TE NN	layer 2/3	regions_1	4.71895011674335_3.22718476212357	4.71895011674335	3.22718476212357	5.11895011674335	3.62718476212357	0.0444955504449555
319 Astro-TE NN	layer 2/3	regions_1	4.71895011674335_3.24718476212357	4.71895011674335	3.24718476212357	5.11895011674335	3.64718476212357	0.0187981201879812
319 Astro-TE NN	layer 2/3	regions_1	4.71895011674335_3.26718476212357	4.71895011674335	3.26718476212357	5.11895011674335	3.66718476212357	0.0390960903909609
319 Astro-TE NN	layer 2/3	regions_1	4.73895011674335_3.22718476212357	4.73895011674335	3.22718476212357	5.13895011674335	3.62718476212357	0.0348965103489651
319 Astro-TE NN	layer 2/3	regions_1	4.73895011674335_3.24718476212357	4.73895011674335	3.24718476212357	5.13895011674335	3.64718476212357	0.0135986401359864
319 Astro-TE NN	layer 2/3	regions_1	4.73895011674335_3.26718476212357	4.73895011674335	3.26718476212357	5.13895011674335	3.66718476212357	0.0274972502749725
319 Astro-TE NN	layer 2/3	regions_1	4.73895011674335_3.28718476212357	4.73895011674335	3.28718476212357	5.13895011674335	3.68718476212357	0.0410958904109589
319 Astro-TE NN	layer 2/3	regions_1	4.75895011674335_3.24718476212357	4.75895011674335	3.24718476212357	5.15895011674335	3.64718476212357	0.0334966503349665
319 Astro-TE NN	layer 2/3	regions_1	4.75895011674335_3.26718476212357	4.75895011674335	3.26718476212357	5.15895011674335	3.66718476212357	0.0190980901909809
319 Astro-TE NN	layer 2/3	regions_1	4.75895011674335_3.28718476212357	4.75895011674335	3.28718476212357	5.15895011674335	3.68718476212357	0.0253974602539746
319 Astro-TE NN	layer 2/3	regions_1	4.77895011674335_3.24718476212357	4.77895011674335	3.24718476212357	5.17895011674335	3.64718476212357	0.0291970802919708
319 Astro-TE NN	layer 2/3	regions_1	4.77895011674335_3.26718476212357	4.77895011674335	3.26718476212357	5.17895011674335	3.66718476212357	0.0158984101589841
319 Astro-TE NN	layer 2/3	regions_1	4.77895011674335_3.28718476212357	4.77895011674335	3.28718476212357	5.17895011674335	3.68718476212357	0.0201979802019798
319 Astro-TE NN	layer 2/3	regions_1	4.79895011674335_3.22718476212357	4.79895011674335	3.22718476212357	5.19895011674335	3.62718476212357	0.0412958704129587
319 Astro-TE NN	layer 2/3	regions_1	4.79895011674335_3.24718476212357	4.79895011674335	3.24718476212357	5.19895011674335	3.64718476212357	0.0156984301569843
