Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
326 OPC NN	layer 1	regions_1	5.36509204836178_2.99598666385658	5.36509204836178	2.99598666385658	5.76509204836178	3.39598666385658	0.033996600339966
326 OPC NN	layer 1	regions_1	5.36509204836178_3.01598666385658	5.36509204836178	3.01598666385658	5.76509204836178	3.41598666385658	0.026997300269973
326 OPC NN	layer 1	regions_1	5.3698375736169_2.97598666385658	5.3698375736169	2.97598666385658	5.7698375736169	3.37598666385658	0.0443955604439556
326 OPC NN	layer 1	regions_1	5.38509204836178_2.99598666385658	5.38509204836178	2.99598666385658	5.78509204836178	3.39598666385658	0.0257974202579742
326 OPC NN	layer 1	regions_1	5.38509204836178_3.01598666385658	5.38509204836178	3.01598666385658	5.78509204836178	3.41598666385658	0.0202979702029797
326 OPC NN	layer 1	regions_1	5.3898375736169_2.93598666385658	5.3898375736169	2.93598666385658	5.7898375736169	3.33598666385658	0.0448955104489551
326 OPC NN	layer 1	regions_1	5.3898375736169_2.95598666385658	5.3898375736169	2.95598666385658	5.7898375736169	3.35598666385658	0.0351964803519648
326 OPC NN	layer 1	regions_1	5.3898375736169_2.97598666385658	5.3898375736169	2.97598666385658	5.7898375736169	3.37598666385658	0.0303969603039696
326 OPC NN	layer 1	regions_1	5.40509204836178_2.99598666385658	5.40509204836178	2.99598666385658	5.80509204836178	3.39598666385658	0.033996600339966
326 OPC NN	layer 1	regions_1	5.40509204836178_3.01598666385658	5.40509204836178	3.01598666385658	5.80509204836178	3.41598666385658	0.024997500249975
326 OPC NN	layer 1	regions_1	5.4098375736169_2.95598666385658	5.4098375736169	2.95598666385658	5.8098375736169	3.35598666385658	0.0405959404059594
326 OPC NN	layer 1	regions_1	5.4098375736169_2.97598666385658	5.4098375736169	2.97598666385658	5.8098375736169	3.37598666385658	0.033996600339966
326 OPC NN	layer 1	regions_2	3.72509204836178_3.05598666385658	3.72509204836178	3.05598666385658	4.12509204836178	3.45598666385658	0.0446955304469553
326 OPC NN	layer 1	regions_2	3.72509204836178_3.09598666385658	3.72509204836178	3.09598666385658	4.12509204836178	3.49598666385658	0.0310968903109689
326 OPC NN	layer 1	regions_2	3.72509204836178_3.15598666385658	3.72509204836178	3.15598666385658	4.12509204836178	3.55598666385658	0.048995100489951
326 OPC NN	layer 1	regions_2	3.72509204836178_3.17598666385658	3.72509204836178	3.17598666385658	4.12509204836178	3.57598666385658	0.0172982701729827
326 OPC NN	layer 1	regions_2	3.72509204836178_3.19598666385658	3.72509204836178	3.19598666385658	4.12509204836178	3.59598666385658	0.0231976802319768
326 OPC NN	layer 1	regions_2	3.72509204836178_3.21598666385658	3.72509204836178	3.21598666385658	4.12509204836178	3.61598666385658	0.0173982601739826
326 OPC NN	layer 1	regions_2	3.72509204836178_3.23598666385658	3.72509204836178	3.23598666385658	4.12509204836178	3.63598666385658	0.0456954304569543
326 OPC NN	layer 1	regions_2	3.74509204836178_3.07598666385658	3.74509204836178	3.07598666385658	4.14509204836178	3.47598666385658	0.0317968203179682
326 OPC NN	layer 1	regions_2	3.74509204836178_3.09598666385658	3.74509204836178	3.09598666385658	4.14509204836178	3.49598666385658	0.0163983601639836
326 OPC NN	layer 1	regions_2	3.74509204836178_3.11598666385658	3.74509204836178	3.11598666385658	4.14509204836178	3.51598666385658	0.0452954704529547
326 OPC NN	layer 1	regions_2	3.74509204836178_3.13598666385658	3.74509204836178	3.13598666385658	4.14509204836178	3.53598666385658	0.0306969303069693
326 OPC NN	layer 1	regions_2	3.74509204836178_3.15598666385658	3.74509204836178	3.15598666385658	4.14509204836178	3.55598666385658	0.0277972202779722
326 OPC NN	layer 1	regions_2	3.74509204836178_3.17598666385658	3.74509204836178	3.17598666385658	4.14509204836178	3.57598666385658	0.0093990600939906
326 OPC NN	layer 1	regions_2	3.74509204836178_3.19598666385658	3.74509204836178	3.19598666385658	4.14509204836178	3.59598666385658	0.0127987201279872
326 OPC NN	layer 1	regions_2	3.74509204836178_3.21598666385658	3.74509204836178	3.21598666385658	4.14509204836178	3.61598666385658	0.0077992200779922
326 OPC NN	layer 1	regions_2	3.74509204836178_3.23598666385658	3.74509204836178	3.23598666385658	4.14509204836178	3.63598666385658	0.0258974102589741
326 OPC NN	layer 1	regions_2	3.74509204836178_3.27598666385658	3.74509204836178	3.27598666385658	4.14509204836178	3.67598666385658	0.0495950404959504
326 OPC NN	layer 1	regions_2	3.74509204836178_3.29598666385658	3.74509204836178	3.29598666385658	4.14509204836178	3.69598666385658	0.042995700429957
326 OPC NN	layer 1	regions_2	3.74509204836178_3.31598666385658	3.74509204836178	3.31598666385658	4.14509204836178	3.71598666385658	0.0477952204779522
