Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
326 OPC NN	layer 2/3	regions_1	4.42874294054816_3.04718476212357	4.42874294054816	3.04718476212357	4.82874294054816	3.44718476212357	0.0357964203579642
326 OPC NN	layer 2/3	regions_1	4.42874294054816_3.06718476212357	4.42874294054816	3.06718476212357	4.82874294054816	3.46718476212357	0.0440955904409559
326 OPC NN	layer 2/3	regions_1	4.42874294054816_3.08718476212357	4.42874294054816	3.08718476212357	4.82874294054816	3.48718476212357	0.0416958304169583
326 OPC NN	layer 2/3	regions_1	4.42874294054816_3.10718476212357	4.42874294054816	3.10718476212357	4.82874294054816	3.50718476212357	0.0340965903409659
326 OPC NN	layer 2/3	regions_1	4.42874294054816_3.12718476212357	4.42874294054816	3.12718476212357	4.82874294054816	3.52718476212357	0.021997800219978
326 OPC NN	layer 2/3	regions_1	4.44874294054816_3.04718476212357	4.44874294054816	3.04718476212357	4.84874294054816	3.44718476212357	0.0334966503349665
326 OPC NN	layer 2/3	regions_1	4.44874294054816_3.06718476212357	4.44874294054816	3.06718476212357	4.84874294054816	3.46718476212357	0.0413958604139586
326 OPC NN	layer 2/3	regions_1	4.44874294054816_3.08718476212357	4.44874294054816	3.08718476212357	4.84874294054816	3.48718476212357	0.0390960903909609
326 OPC NN	layer 2/3	regions_1	4.44874294054816_3.10718476212357	4.44874294054816	3.10718476212357	4.84874294054816	3.50718476212357	0.0286971302869713
326 OPC NN	layer 2/3	regions_1	4.44874294054816_3.12718476212357	4.44874294054816	3.12718476212357	4.84874294054816	3.52718476212357	0.0183981601839816
