Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
327 Oligo NN	layer 1	regions_1	4.50509204836178_3.09598666385658	4.50509204836178	3.09598666385658	4.90509204836178	3.49598666385658	0.044995500449955
327 Oligo NN	layer 1	regions_1	4.52509204836178_3.09598666385658	4.52509204836178	3.09598666385658	4.92509204836178	3.49598666385658	0.0402959704029597
327 Oligo NN	layer 1	regions_1	4.54509204836178_3.09598666385658	4.54509204836178	3.09598666385658	4.94509204836178	3.49598666385658	0.034996500349965
327 Oligo NN	layer 1	regions_1	4.54509204836178_3.11598666385658	4.54509204836178	3.11598666385658	4.94509204836178	3.51598666385658	0.0401959804019598
327 Oligo NN	layer 1	regions_1	4.87988724531563_3.39598666385658	4.87988724531563	3.39598666385658	5.27988724531563	3.79598666385658	0.0447955204479552
327 Oligo NN	layer 1	regions_1	4.87988724531563_3.41598666385658	4.87988724531563	3.41598666385658	5.27988724531563	3.81598666385658	0.0326967303269673
327 Oligo NN	layer 1	regions_1	5.04509204836178_3.35598666385658	5.04509204836178	3.35598666385658	5.44509204836178	3.75598666385658	0.0476952304769523
327 Oligo NN	layer 1	regions_1	5.06509204836178_3.35598666385658	5.06509204836178	3.35598666385658	5.46509204836178	3.75598666385658	0.0418958104189581
327 Oligo NN	layer 1	regions_1	5.08509204836178_3.35598666385658	5.08509204836178	3.35598666385658	5.48509204836178	3.75598666385658	0.0334966503349665
327 Oligo NN	layer 1	regions_1	5.10509204836178_3.35598666385658	5.10509204836178	3.35598666385658	5.50509204836178	3.75598666385658	0.0334966503349665
327 Oligo NN	layer 1	regions_1	5.12509204836178_3.35598666385658	5.12509204836178	3.35598666385658	5.52509204836178	3.75598666385658	0.0292970702929707
327 Oligo NN	layer 1	regions_1	5.14509204836178_3.35598666385658	5.14509204836178	3.35598666385658	5.54509204836178	3.75598666385658	0.0257974202579742
