Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
330 VLMC NN	layer 1	regions_1	5.02148384378824_2.77598666385658	5.02148384378824	2.77598666385658	5.42148384378824	3.17598666385658	0.0430956904309569
330 VLMC NN	layer 1	regions_1	5.02148384378824_2.79598666385658	5.02148384378824	2.79598666385658	5.42148384378824	3.19598666385658	0.0456954304569543
330 VLMC NN	layer 1	regions_1	5.0353324912059_2.73598666385658	5.0353324912059	2.73598666385658	5.4353324912059	3.13598666385658	0.012998700129987
330 VLMC NN	layer 1	regions_1	5.0353324912059_2.75598666385658	5.0353324912059	2.75598666385658	5.4353324912059	3.15598666385658	0.0153984601539846
330 VLMC NN	layer 1	regions_1	5.04148384378824_2.77598666385658	5.04148384378824	2.77598666385658	5.44148384378824	3.17598666385658	0.0124987501249875
330 VLMC NN	layer 1	regions_1	5.04148384378824_2.79598666385658	5.04148384378824	2.79598666385658	5.44148384378824	3.19598666385658	0.0133986601339866
330 VLMC NN	layer 1	regions_1	5.0553324912059_2.73598666385658	5.0553324912059	2.73598666385658	5.4553324912059	3.13598666385658	0.0096990300969903
330 VLMC NN	layer 1	regions_1	5.0553324912059_2.75598666385658	5.0553324912059	2.75598666385658	5.4553324912059	3.15598666385658	0.0138986101389861
330 VLMC NN	layer 1	regions_1	5.06148384378824_2.77598666385658	5.06148384378824	2.77598666385658	5.46148384378824	3.17598666385658	0.0161983801619838
330 VLMC NN	layer 1	regions_1	5.06148384378824_2.79598666385658	5.06148384378824	2.79598666385658	5.46148384378824	3.19598666385658	0.0177982201779822
330 VLMC NN	layer 1	regions_1	5.0753324912059_2.73598666385658	5.0753324912059	2.73598666385658	5.4753324912059	3.13598666385658	0.0027997200279972
330 VLMC NN	layer 1	regions_1	5.0753324912059_2.75598666385658	5.0753324912059	2.75598666385658	5.4753324912059	3.15598666385658	0.0050994900509949
330 VLMC NN	layer 1	regions_1	5.08148384378824_2.77598666385658	5.08148384378824	2.77598666385658	5.48148384378824	3.17598666385658	0.0052994700529947
330 VLMC NN	layer 1	regions_1	5.08148384378824_2.79598666385658	5.08148384378824	2.79598666385658	5.48148384378824	3.19598666385658	0.0055994400559944
330 VLMC NN	layer 1	regions_1	5.0953324912059_2.73598666385658	5.0953324912059	2.73598666385658	5.4953324912059	3.13598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.0953324912059_2.75598666385658	5.0953324912059	2.75598666385658	5.4953324912059	3.15598666385658	0.0001999800019998
330 VLMC NN	layer 1	regions_1	5.09588726165222_2.83598666385658	5.09588726165222	2.83598666385658	5.49588726165222	3.23598666385658	0.0136986301369863
330 VLMC NN	layer 1	regions_1	5.10148384378824_2.77598666385658	5.10148384378824	2.77598666385658	5.50148384378824	3.17598666385658	0.0001999800019998
330 VLMC NN	layer 1	regions_1	5.10148384378824_2.79598666385658	5.10148384378824	2.79598666385658	5.50148384378824	3.19598666385658	0.0001999800019998
330 VLMC NN	layer 1	regions_1	5.10148384378824_2.81598666385658	5.10148384378824	2.81598666385658	5.50148384378824	3.21598666385658	0.0006999300069993
330 VLMC NN	layer 1	regions_1	5.1153324912059_2.73598666385658	5.1153324912059	2.73598666385658	5.5153324912059	3.13598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.1153324912059_2.75598666385658	5.1153324912059	2.75598666385658	5.5153324912059	3.15598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.11588726165222_2.83598666385658	5.11588726165222	2.83598666385658	5.51588726165222	3.23598666385658	0.0030996900309969
330 VLMC NN	layer 1	regions_1	5.12148384378824_2.77598666385658	5.12148384378824	2.77598666385658	5.52148384378824	3.17598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.12148384378824_2.79598666385658	5.12148384378824	2.79598666385658	5.52148384378824	3.19598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.12148384378824_2.81598666385658	5.12148384378824	2.81598666385658	5.52148384378824	3.21598666385658	0.0003999600039996
330 VLMC NN	layer 1	regions_1	5.1353324912059_2.73598666385658	5.1353324912059	2.73598666385658	5.5353324912059	3.13598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.1353324912059_2.75598666385658	5.1353324912059	2.75598666385658	5.5353324912059	3.15598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.13588726165222_2.83598666385658	5.13588726165222	2.83598666385658	5.53588726165222	3.23598666385658	0.0005999400059994
330 VLMC NN	layer 1	regions_1	5.13588726165222_2.85598666385658	5.13588726165222	2.85598666385658	5.53588726165222	3.25598666385658	0.0351964803519648
330 VLMC NN	layer 1	regions_1	5.14148384378824_2.77598666385658	5.14148384378824	2.77598666385658	5.54148384378824	3.17598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.14148384378824_2.79598666385658	5.14148384378824	2.79598666385658	5.54148384378824	3.19598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.14148384378824_2.81598666385658	5.14148384378824	2.81598666385658	5.54148384378824	3.21598666385658	0.0001999800019998
330 VLMC NN	layer 1	regions_1	5.1553324912059_2.73598666385658	5.1553324912059	2.73598666385658	5.5553324912059	3.13598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.1553324912059_2.75598666385658	5.1553324912059	2.75598666385658	5.5553324912059	3.15598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.15588726165222_2.83598666385658	5.15588726165222	2.83598666385658	5.55588726165222	3.23598666385658	0.0003999600039996
330 VLMC NN	layer 1	regions_1	5.15588726165222_2.85598666385658	5.15588726165222	2.85598666385658	5.55588726165222	3.25598666385658	0.0296970302969703
330 VLMC NN	layer 1	regions_1	5.16148384378824_2.77598666385658	5.16148384378824	2.77598666385658	5.56148384378824	3.17598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.16148384378824_2.79598666385658	5.16148384378824	2.79598666385658	5.56148384378824	3.19598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.16148384378824_2.81598666385658	5.16148384378824	2.81598666385658	5.56148384378824	3.21598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.1753324912059_2.73598666385658	5.1753324912059	2.73598666385658	5.5753324912059	3.13598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.1753324912059_2.75598666385658	5.1753324912059	2.75598666385658	5.5753324912059	3.15598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.17588726165222_2.83598666385658	5.17588726165222	2.83598666385658	5.57588726165222	3.23598666385658	0.0001999800019998
330 VLMC NN	layer 1	regions_1	5.17588726165222_2.85598666385658	5.17588726165222	2.85598666385658	5.57588726165222	3.25598666385658	0.0207979202079792
330 VLMC NN	layer 1	regions_1	5.18148384378824_2.77598666385658	5.18148384378824	2.77598666385658	5.58148384378824	3.17598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.18148384378824_2.79598666385658	5.18148384378824	2.79598666385658	5.58148384378824	3.19598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.18148384378824_2.81598666385658	5.18148384378824	2.81598666385658	5.58148384378824	3.21598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.1953324912059_2.73598666385658	5.1953324912059	2.73598666385658	5.5953324912059	3.13598666385658	9.99900009999e-05
330 VLMC NN	layer 1	regions_1	5.1953324912059_2.75598666385658	5.1953324912059	2.75598666385658	5.5953324912059	3.15598666385658	9.99900009999e-05
