Class	layer	merge_regions	loc	xstart	ystart	xend	yend	p
331 Peri NN	layer 1	regions_1	3.90509204836178_3.13598666385658	3.90509204836178	3.13598666385658	4.30509204836178	3.53598666385658	0.0462953704629537
331 Peri NN	layer 1	regions_1	3.90509204836178_3.15598666385658	3.90509204836178	3.15598666385658	4.30509204836178	3.55598666385658	0.0432956704329567
331 Peri NN	layer 1	regions_1	3.90509204836178_3.17598666385658	3.90509204836178	3.17598666385658	4.30509204836178	3.57598666385658	0.0392960703929607
331 Peri NN	layer 1	regions_1	3.90509204836178_3.29598666385658	3.90509204836178	3.29598666385658	4.30509204836178	3.69598666385658	0.0190980901909809
331 Peri NN	layer 1	regions_1	3.90509204836178_3.31598666385658	3.90509204836178	3.31598666385658	4.30509204836178	3.71598666385658	0.0212978702129787
331 Peri NN	layer 1	regions_1	3.90509204836178_3.33598666385658	3.90509204836178	3.33598666385658	4.30509204836178	3.73598666385658	0.0248975102489751
331 Peri NN	layer 1	regions_1	4.12509204836178_3.29598666385658	4.12509204836178	3.29598666385658	4.52509204836178	3.69598666385658	0.027997200279972
331 Peri NN	layer 1	regions_1	4.12509204836178_3.31598666385658	4.12509204836178	3.31598666385658	4.52509204836178	3.71598666385658	0.0390960903909609
331 Peri NN	layer 1	regions_1	4.12509204836178_3.33598666385658	4.12509204836178	3.33598666385658	4.52509204836178	3.73598666385658	0.0492950704929507
331 Peri NN	layer 1	regions_1	4.14509204836178_3.29598666385658	4.14509204836178	3.29598666385658	4.54509204836178	3.69598666385658	0.0270972902709729
331 Peri NN	layer 1	regions_1	4.14509204836178_3.31598666385658	4.14509204836178	3.31598666385658	4.54509204836178	3.71598666385658	0.0365963403659634
331 Peri NN	layer 1	regions_1	4.14509204836178_3.33598666385658	4.14509204836178	3.33598666385658	4.54509204836178	3.73598666385658	0.0436956304369563
331 Peri NN	layer 1	regions_1	4.16509204836178_3.29598666385658	4.16509204836178	3.29598666385658	4.56509204836178	3.69598666385658	0.0256974302569743
331 Peri NN	layer 1	regions_1	4.16509204836178_3.31598666385658	4.16509204836178	3.31598666385658	4.56509204836178	3.71598666385658	0.0352964703529647
331 Peri NN	layer 1	regions_1	4.16509204836178_3.33598666385658	4.16509204836178	3.33598666385658	4.56509204836178	3.73598666385658	0.0413958604139586
331 Peri NN	layer 1	regions_1	4.18509204836178_3.29598666385658	4.18509204836178	3.29598666385658	4.58509204836178	3.69598666385658	0.0243975602439756
331 Peri NN	layer 1	regions_1	4.18509204836178_3.31598666385658	4.18509204836178	3.31598666385658	4.58509204836178	3.71598666385658	0.0346965303469653
331 Peri NN	layer 1	regions_1	4.18509204836178_3.33598666385658	4.18509204836178	3.33598666385658	4.58509204836178	3.73598666385658	0.0395960403959604
331 Peri NN	layer 1	regions_1	4.22509204836178_3.25598666385658	4.22509204836178	3.25598666385658	4.62509204836178	3.65598666385658	0.0381961803819618
331 Peri NN	layer 1	regions_1	4.22509204836178_3.27598666385658	4.22509204836178	3.27598666385658	4.62509204836178	3.67598666385658	0.0406959304069593
331 Peri NN	layer 1	regions_1	4.22509204836178_3.29598666385658	4.22509204836178	3.29598666385658	4.62509204836178	3.69598666385658	0.0152984701529847
331 Peri NN	layer 1	regions_1	4.22509204836178_3.31598666385658	4.22509204836178	3.31598666385658	4.62509204836178	3.71598666385658	0.021997800219978
