slide,layer,a_layer,b_layer,a_class,b_class,a_glutotal,a_gabatotal,b_glutotal,b_gabatotal,a_region,b_region,a_ei,b_ei,a_merge_region,b_merge_region,a_cell_Neuron_type,b_cell_Neuron_type,a_enrich_class_cell_ids_num,b_enrich_class_cell_ids_num,a_cell_id_n,b_cell_id_n,overlap_a_in_b,overlap_b_in_a,a_source_file,b_source_file
C57BL6J-1.025,layer 1,layer 1,layer 1,035 OB Eomes Ms4a15 Glut,035 OB Eomes Ms4a15 Glut,77,233,55,158,"Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1","Frontal pole, layer 1,Orbital area, ventrolateral part, layer 1,Secondary motor area, layer 1,Orbital area, lateral part, layer 1",0.33047210300429186,0.34810126582278483,regions_1,regions_2,Glut,Glut,74,52,464,368,0.0,0.0,C57BL6J-1.025_035 OB Eomes Ms4a15 Glut_layer 1_merged_regions_table_cell_id.txt,C57BL6J-1.025_035 OB Eomes Ms4a15 Glut_layer 1_merged_regions_table_cell_id.txt
C57BL6J-1.025,layer 1,layer 1,layer 1,035 OB Eomes Ms4a15 Glut,039 OB Meis2 Thsd7b Gaba,77,233,73,247,"Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1","Frontal pole, layer 1,Orbital area, ventrolateral part, layer 1,Secondary motor area, layer 1,Orbital area, lateral part, layer 1,Prelimbic area, layer 1",0.33047210300429186,0.29554655870445345,regions_1,regions_1,Glut,GABA,74,90,464,616,0.5064655172413793,0.3814935064935065,C57BL6J-1.025_035 OB Eomes Ms4a15 Glut_layer 1_merged_regions_table_cell_id.txt,C57BL6J-1.025_039 OB Meis2 Thsd7b Gaba_layer 1_merged_regions_table_cell_id.txt
C57BL6J-1.025,layer 1,layer 1,layer 1,035 OB Eomes Ms4a15 Glut,039 OB Meis2 Thsd7b Gaba,77,233,25,72,"Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1","Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1",0.33047210300429186,0.3472222222222222,regions_1,regions_2,Glut,GABA,74,21,464,125,0.26939655172413796,1.0,C57BL6J-1.025_035 OB Eomes Ms4a15 Glut_layer 1_merged_regions_table_cell_id.txt,C57BL6J-1.025_039 OB Meis2 Thsd7b Gaba_layer 1_merged_regions_table_cell_id.txt
C57BL6J-1.025,layer 1,layer 1,layer 1,035 OB Eomes Ms4a15 Glut,040 OB Trdn Gaba,77,233,80,245,"Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1","Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1,Orbital area, lateral part, layer 1",0.33047210300429186,0.32653061224489793,regions_1,regions_1,Glut,GABA,74,5,464,526,1.0,0.8821292775665399,C57BL6J-1.025_035 OB Eomes Ms4a15 Glut_layer 1_merged_regions_table_cell_id.txt,C57BL6J-1.025_040 OB Trdn Gaba_layer 1_merged_regions_table_cell_id.txt
C57BL6J-1.025,layer 1,layer 1,layer 1,035 OB Eomes Ms4a15 Glut,041 OB-in Frmd7 Gaba,77,233,130,388,"Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1","Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1,Secondary motor area, layer 1,Orbital area, lateral part, layer 1",0.33047210300429186,0.33505154639175255,regions_1,regions_1,Glut,GABA,74,113,464,846,0.9655172413793104,0.5295508274231678,C57BL6J-1.025_035 OB Eomes Ms4a15 Glut_layer 1_merged_regions_table_cell_id.txt,C57BL6J-1.025_041 OB-in Frmd7 Gaba_layer 1_merged_regions_table_cell_id.txt
C57BL6J-1.025,layer 1,layer 1,layer 1,035 OB Eomes Ms4a15 Glut,042 OB-out Frmd7 Gaba,77,233,78,245,"Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1","Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1",0.33047210300429186,0.3183673469387755,regions_1,regions_1,Glut,GABA,74,86,464,522,1.0,0.8888888888888888,C57BL6J-1.025_035 OB Eomes Ms4a15 Glut_layer 1_merged_regions_table_cell_id.txt,C57BL6J-1.025_042 OB-out Frmd7 Gaba_layer 1_merged_regions_table_cell_id.txt
C57BL6J-1.025,layer 1,layer 1,layer 1,035 OB Eomes Ms4a15 Glut,043 OB-mi Frmd7 Gaba,77,233,78,241,"Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1","Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1",0.33047210300429186,0.3236514522821577,regions_1,regions_1,Glut,GABA,74,11,464,513,1.0,0.9044834307992202,C57BL6J-1.025_035 OB Eomes Ms4a15 Glut_layer 1_merged_regions_table_cell_id.txt,C57BL6J-1.025_043 OB-mi Frmd7 Gaba_layer 1_merged_regions_table_cell_id.txt
C57BL6J-1.025,layer 1,layer 1,layer 1,035 OB Eomes Ms4a15 Glut,044 OB Dopa-Gaba,77,233,90,269,"Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1","Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1,Orbital area, lateral part, layer 1",0.33047210300429186,0.3345724907063197,regions_1,regions_1,Glut,NonNeuron,74,35,464,555,1.0,0.836036036036036,C57BL6J-1.025_035 OB Eomes Ms4a15 Glut_layer 1_merged_regions_table_cell_id.txt,C57BL6J-1.025_044 OB Dopa-Gaba_layer 1_merged_regions_table_cell_id.txt
C57BL6J-1.025,layer 1,layer 1,layer 1,035 OB Eomes Ms4a15 Glut,045 OB-STR-CTX Inh IMN,77,233,15,82,"Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1","Frontal pole, layer 1,Secondary motor area, layer 1",0.33047210300429186,0.18292682926829268,regions_1,regions_1,Glut,NonNeuron,74,2,464,123,0.0,0.0,C57BL6J-1.025_035 OB Eomes Ms4a15 Glut_layer 1_merged_regions_table_cell_id.txt,C57BL6J-1.025_045 OB-STR-CTX Inh IMN_layer 1_merged_regions_table_cell_id.txt
C57BL6J-1.025,layer 1,layer 1,layer 1,035 OB Eomes Ms4a15 Glut,049 Lamp5 Gaba,77,233,19,30,"Frontal pole, layer 1,Prelimbic area, layer 1,Orbital area, medial part, layer 1,Orbital area, ventrolateral part, layer 1","Frontal pole, layer 1,Secondary motor area, layer 1",0.33047210300429186,0.6333333333333333,regions_1,regions_1,Glut,GABA,74,2,464,106,0.0,0.0,C57BL6J-1.025_035 OB Eomes Ms4a15 Glut_layer 1_merged_regions_table_cell_id.txt,C57BL6J-1.025_049 Lamp5 Gaba_layer 1_merged_regions_table_cell_id.txt
