slide	subclass	layer	sample	true_region_num	random_region_num	true_gt_random_region_num	true_glut_num	random_glut_num	true_gt_random_glut_num	true_gaba_num	random_gaba_num	true_gt_random_gaba_num	true_ei_ratio	random_ei_ratio	true_gt_random_ei_ratio
C57BL6J-1.025	035 OB Eomes Ms4a15 Glut	layer 1	sample_1	2.000000	2.000000	0	66.000000	25.500000	1	195.500000	52.000000	1	0.339287	0.490385	0
C57BL6J-1.025	035 OB Eomes Ms4a15 Glut	layer 1	sample_2	2.000000	1.000000	1	66.000000	82.000000	0	195.500000	176.000000	1	0.339287	0.465909	0
C57BL6J-1.025	039 OB Meis2 Thsd7b Gaba	layer 1	sample_1	2.000000	1.000000	1	49.000000	64.000000	0	159.500000	206.000000	0	0.321384	0.310680	1
C57BL6J-1.025	039 OB Meis2 Thsd7b Gaba	layer 1	sample_2	2.000000	1.000000	1	49.000000	47.000000	1	159.500000	169.000000	0	0.321384	0.278107	1
C57BL6J-1.025	040 OB Trdn Gaba	layer 1	sample_1	1.000000	1.000000	0	80.000000	73.000000	1	245.000000	231.000000	1	0.326531	0.316017	1
C57BL6J-1.025	040 OB Trdn Gaba	layer 1	sample_2	1.000000	1.000000	0	80.000000	46.000000	1	245.000000	104.000000	1	0.326531	0.442308	0
C57BL6J-1.025	041 OB-in Frmd7 Gaba	layer 1	sample_1	1.000000	2.000000	0	130.000000	42.000000	1	388.000000	138.000000	1	0.335052	0.304348	1
C57BL6J-1.025	041 OB-in Frmd7 Gaba	layer 1	sample_2	1.000000	2.000000	0	130.000000	29.500000	1	388.000000	99.000000	1	0.335052	0.297980	1
C57BL6J-1.025	042 OB-out Frmd7 Gaba	layer 1	sample_1	1.000000	1.000000	0	78.000000	58.000000	1	245.000000	170.000000	1	0.318367	0.341176	0
C57BL6J-1.025	042 OB-out Frmd7 Gaba	layer 1	sample_2	1.000000	1.000000	0	78.000000	19.000000	1	245.000000	44.000000	1	0.318367	0.431818	0
C57BL6J-1.025	043 OB-mi Frmd7 Gaba	layer 1	sample_1	1.000000	1.000000	0	78.000000	71.000000	1	241.000000	197.000000	1	0.323651	0.360406	0
C57BL6J-1.025	043 OB-mi Frmd7 Gaba	layer 1	sample_2	1.000000	1.000000	0	78.000000	26.000000	1	241.000000	117.000000	1	0.323651	0.222222	1
C57BL6J-1.025	044 OB Dopa-Gaba	layer 1	sample_1	1.000000	1.000000	0	90.000000	75.000000	1	269.000000	219.000000	1	0.334572	0.342466	0
C57BL6J-1.025	044 OB Dopa-Gaba	layer 1	sample_2	1.000000	1.000000	0	90.000000	28.000000	1	269.000000	116.000000	1	0.334572	0.241379	1
C57BL6J-1.025	045 OB-STR-CTX Inh IMN	layer 1	sample_1	1.000000	1.000000	0	15.000000	76.000000	0	82.000000	236.000000	0	0.182927	0.322034	0
C57BL6J-1.025	045 OB-STR-CTX Inh IMN	layer 1	sample_2	1.000000	1.000000	0	15.000000	22.000000	0	82.000000	42.000000	1	0.182927	0.523810	0
C57BL6J-1.025	049 Lamp5 Gaba	layer 1	sample_1	1.000000	2.000000	0	19.000000	24.500000	0	30.000000	56.000000	0	0.633333	0.437500	1
C57BL6J-1.025	117 LHA Barhl2 Glut	layer 1	sample_2	1.000000	1.000000	0	13.000000	7.000000	1	43.000000	34.000000	1	0.302326	0.205882	1
C57BL6J-1.025	319 Astro-TE NN	layer 1	sample_1	1.000000	1.000000	0	56.000000	12.000000	1	146.000000	53.000000	1	0.383562	0.226415	1
C57BL6J-1.025	320 Astro-OLF NN	layer 1	sample_1	2.000000	1.000000	1	38.500000	19.000000	1	111.500000	97.000000	1	0.386411	0.195876	1
C57BL6J-1.025	320 Astro-OLF NN	layer 1	sample_2	2.000000	1.000000	1	38.500000	43.000000	0	111.500000	149.000000	0	0.386411	0.288591	1
C57BL6J-1.025	326 OPC NN	layer 1	sample_1	2.000000	3.000000	0	27.500000	27.000000	1	49.500000	73.333333	0	0.545455	0.368182	1
C57BL6J-1.025	326 OPC NN	layer 1	sample_2	2.000000	2.000000	0	27.500000	32.500000	0	49.500000	116.500000	0	0.545455	0.278970	1
C57BL6J-1.025	327 Oligo NN	layer 1	sample_1	2.000000	1.000000	1	13.000000	59.000000	0	45.000000	172.000000	0	0.146067	0.343023	0
C57BL6J-1.025	327 Oligo NN	layer 1	sample_2	2.000000	1.000000	1	13.000000	77.000000	0	45.000000	223.000000	0	0.146067	0.345291	0
C57BL6J-1.025	328 OEC NN	layer 1	sample_1	1.000000	2.000000	0	82.000000	51.500000	1	257.000000	131.500000	1	0.319066	0.391635	0
C57BL6J-1.025	328 OEC NN	layer 1	sample_2	1.000000	2.000000	0	82.000000	39.000000	1	257.000000	98.500000	1	0.319066	0.395939	0
C57BL6J-1.025	330 VLMC NN	layer 1	sample_1	1.000000	1.000000	0	66.000000	29.000000	1	196.000000	75.000000	1	0.336735	0.386667	0
C57BL6J-1.025	330 VLMC NN	layer 1	sample_2	1.000000	2.000000	0	66.000000	28.500000	1	196.000000	85.500000	1	0.336735	0.333333	1
C57BL6J-1.025	332 SMC NN	layer 1	sample_1	1.000000	1.000000	0	54.000000	19.000000	1	164.000000	58.000000	1	0.329268	0.327586	1
C57BL6J-1.025	332 SMC NN	layer 1	sample_2	1.000000	1.000000	0	54.000000	45.000000	1	164.000000	100.000000	1	0.329268	0.450000	0
C57BL6J-1.025	333 Endo NN	layer 1	sample_1	2.000000	2.000000	0	39.000000	29.500000	1	103.000000	101.000000	1	0.383824	0.292079	1
C57BL6J-1.025	333 Endo NN	layer 1	sample_2	2.000000	1.000000	1	39.000000	39.000000	0	103.000000	84.000000	1	0.383824	0.464286	0
C57BL6J-1.025	334 Microglia NN	layer 1	sample_1	1.000000	2.000000	0	29.000000	18.000000	1	47.000000	59.500000	0	0.617021	0.302521	1
C57BL6J-1.025	334 Microglia NN	layer 1	sample_2	1.000000	1.000000	0	29.000000	76.000000	0	47.000000	190.000000	0	0.617021	0.400000	1
C57BL6J-1.026	007 L2/3 IT CTX Glut	layer 1	sample_1	1.000000	2.000000	0	58.000000	13.500000	1	33.000000	6.000000	1	1.757576	2.250000	0
C57BL6J-1.026	007 L2/3 IT CTX Glut	layer 1	sample_2	1.000000	2.000000	0	58.000000	12.000000	1	33.000000	8.500000	1	1.757576	1.411765	1
C57BL6J-1.026	007 L2/3 IT CTX Glut	layer 2/3	sample_2	1.000000	1.000000	0	69.000000	89.000000	0	7.000000	11.000000	0	9.857143	8.090909	1
C57BL6J-1.026	035 OB Eomes Ms4a15 Glut	layer 1	sample_1	1.000000	1.000000	0	1.000000	8.000000	0	2.000000	5.000000	0	0.500000	1.600000	0
C57BL6J-1.026	035 OB Eomes Ms4a15 Glut	layer 1	sample_2	1.000000	1.000000	0	1.000000	3.000000	0	2.000000	2.000000	0	0.500000	1.500000	0
C57BL6J-1.026	036 HPF CR Glut	layer 1	sample_1	1.000000	1.000000	0	1.000000	3.000000	0	1.000000	3.000000	0	1.000000	1.000000	0
C57BL6J-1.026	036 HPF CR Glut	layer 1	sample_2	1.000000	1.000000	0	1.000000	3.000000	0	1.000000	4.000000	0	1.000000	0.750000	1
C57BL6J-1.026	044 OB Dopa-Gaba	layer 1	sample_2	1.000000	1.000000	0	1.000000	5.000000	0	3.000000	1.000000	1	0.333333	5.000000	0
C57BL6J-1.026	046 Vip Gaba	layer 1	sample_1	1.000000	1.000000	0	50.000000	7.000000	1	21.000000	9.000000	1	2.380952	0.777778	1
C57BL6J-1.026	046 Vip Gaba	layer 1	sample_2	1.000000	1.000000	0	50.000000	15.000000	1	21.000000	14.000000	1	2.380952	1.071429	1
C57BL6J-1.026	047 Sncg Gaba	layer 1	sample_1	1.000000	2.000000	0	51.000000	9.500000	1	23.000000	8.500000	1	2.217391	1.117647	1
C57BL6J-1.026	047 Sncg Gaba	layer 1	sample_2	1.000000	1.000000	0	51.000000	9.000000	1	23.000000	10.000000	1	2.217391	0.900000	1
C57BL6J-1.026	049 Lamp5 Gaba	layer 1	sample_1	1.000000	2.000000	0	11.000000	12.500000	0	13.000000	9.000000	1	0.846154	1.388889	0
C57BL6J-1.026	049 Lamp5 Gaba	layer 1	sample_2	1.000000	1.000000	0	11.000000	14.000000	0	13.000000	13.000000	0	0.846154	1.076923	0
C57BL6J-1.026	051 Pvalb chandelier Gaba	layer 1	sample_1	1.000000	1.000000	0	26.000000	10.000000	1	22.000000	10.000000	1	1.181818	1.000000	1
C57BL6J-1.026	051 Pvalb chandelier Gaba	layer 1	sample_2	1.000000	1.000000	0	26.000000	9.000000	1	22.000000	7.000000	1	1.181818	1.285714	0
C57BL6J-1.026	052 Pvalb Gaba	layer 2/3	sample_1	1.000000	1.000000	0	12.000000	8.000000	1	2.000000	3.000000	0	6.000000	2.666667	1
C57BL6J-1.026	052 Pvalb Gaba	layer 2/3	sample_2	1.000000	1.000000	0	12.000000	0.000000	1	2.000000	1.000000	1	6.000000	0.000000	1
C57BL6J-1.026	053 Sst Gaba	layer 1	sample_1	1.000000	1.000000	0	9.000000	1.000000	1	16.000000	1.000000	1	0.562500	1.000000	0
C57BL6J-1.026	053 Sst Gaba	layer 1	sample_2	1.000000	1.000000	0	9.000000	4.000000	1	16.000000	4.000000	1	0.562500	1.000000	0
C57BL6J-1.026	319 Astro-TE NN	layer 1	sample_1	2.000000	2.000000	0	9.500000	14.500000	0	9.000000	10.500000	0	1.055556	1.380952	0
C57BL6J-1.026	319 Astro-TE NN	layer 1	sample_2	2.000000	3.000000	0	9.500000	7.000000	1	9.000000	6.000000	1	1.055556	1.166667	0
C57BL6J-1.026	319 Astro-TE NN	layer 2/3	sample_1	1.000000	1.000000	0	18.000000	69.000000	0	3.000000	8.000000	0	6.000000	8.625000	0
C57BL6J-1.026	326 OPC NN	layer 1	sample_1	2.000000	3.000000	0	10.500000	9.666667	1	3.500000	5.333333	0	2.166667	1.812500	1
C57BL6J-1.026	326 OPC NN	layer 1	sample_2	2.000000	2.000000	0	10.500000	10.000000	1	3.500000	6.500000	0	2.166667	1.538462	1
C57BL6J-1.026	326 OPC NN	layer 2/3	sample_1	1.000000	1.000000	0	71.000000	59.000000	1	14.000000	8.000000	1	5.071429	7.375000	0
C57BL6J-1.026	326 OPC NN	layer 2/3	sample_2	1.000000	1.000000	0	71.000000	18.000000	1	14.000000	3.000000	1	5.071429	6.000000	0
C57BL6J-1.026	327 Oligo NN	layer 1	sample_1	2.000000	1.000000	1	3.000000	10.000000	0	2.000000	5.000000	0	1.333333	2.000000	0
C57BL6J-1.026	327 Oligo NN	layer 1	sample_2	2.000000	2.000000	0	3.000000	10.500000	0	2.000000	7.000000	0	1.333333	1.500000	0
C57BL6J-1.026	328 OEC NN	layer 1	sample_1	1.000000	2.000000	0	6.000000	7.500000	0	6.000000	6.000000	0	1.000000	1.250000	0
C57BL6J-1.026	328 OEC NN	layer 1	sample_2	1.000000	2.000000	0	6.000000	3.500000	1	6.000000	3.500000	1	1.000000	1.000000	0
C57BL6J-1.026	330 VLMC NN	layer 1	sample_1	2.000000	2.000000	0	7.000000	3.500000	1	7.000000	3.000000	1	1.062500	1.166667	0
C57BL6J-1.026	330 VLMC NN	layer 1	sample_2	2.000000	2.000000	0	7.000000	7.500000	0	7.000000	7.000000	0	1.062500	1.071429	0
C57BL6J-1.026	331 Peri NN	layer 1	sample_1	1.000000	2.000000	0	21.000000	8.500000	1	14.000000	5.500000	1	1.500000	1.545455	0
C57BL6J-1.026	331 Peri NN	layer 1	sample_2	1.000000	2.000000	0	21.000000	11.000000	1	14.000000	7.000000	1	1.500000	1.571429	0
