slide	subclass	layer	true_region_num	true_file_count	random_sample_n	true_gt_random_count	true_gt_random_ratio	perm_p_value_one_sided
C57BL6J-1.025	035 OB Eomes Ms4a15 Glut	layer 1	2.000000	1	485	242	0.498969	0.502058
C57BL6J-1.025	039 OB Meis2 Thsd7b Gaba	layer 1	2.000000	1	485	217	0.447423	0.553498
C57BL6J-1.025	040 OB Trdn Gaba	layer 1	1.000000	1	386	0	0.000000	1
C57BL6J-1.025	041 OB-in Frmd7 Gaba	layer 1	1.000000	1	492	0	0.000000	1
C57BL6J-1.025	042 OB-out Frmd7 Gaba	layer 1	1.000000	1	488	0	0.000000	1
C57BL6J-1.025	043 OB-mi Frmd7 Gaba	layer 1	1.000000	1	455	0	0.000000	1
C57BL6J-1.025	044 OB Dopa-Gaba	layer 1	1.000000	1	473	0	0.000000	1
C57BL6J-1.025	045 OB-STR-CTX Inh IMN	layer 1	1.000000	1	380	0	0.000000	1
C57BL6J-1.025	049 Lamp5 Gaba	layer 1	1.000000	1	350	0	0.000000	1
C57BL6J-1.025	117 LHA Barhl2 Glut	layer 1	1.000000	1	138	0	0.000000	1
C57BL6J-1.025	319 Astro-TE NN	layer 1	1.000000	1	467	0	0.000000	1
C57BL6J-1.025	320 Astro-OLF NN	layer 1	2.000000	1	491	274	0.558045	0.443089
C57BL6J-1.025	326 OPC NN	layer 1	2.000000	1	460	293	0.636957	0.364425
C57BL6J-1.025	327 Oligo NN	layer 1	2.000000	1	459	314	0.684096	0.317391
C57BL6J-1.025	328 OEC NN	layer 1	1.000000	1	479	0	0.000000	1
C57BL6J-1.025	330 VLMC NN	layer 1	1.000000	1	475	0	0.000000	1
C57BL6J-1.025	332 SMC NN	layer 1	1.000000	1	412	0	0.000000	1
C57BL6J-1.025	333 Endo NN	layer 1	2.000000	1	488	270	0.553279	0.447853
C57BL6J-1.025	334 Microglia NN	layer 1	1.000000	1	465	0	0.000000	1
C57BL6J-1.026	007 L2/3 IT CTX Glut	layer 1	1.000000	1	499	0	0.000000	1
C57BL6J-1.026	007 L2/3 IT CTX Glut	layer 2/3	1.000000	1	386	0	0.000000	1
C57BL6J-1.026	035 OB Eomes Ms4a15 Glut	layer 1	1.000000	1	214	0	0.000000	1
C57BL6J-1.026	036 HPF CR Glut	layer 1	1.000000	1	228	0	0.000000	1
C57BL6J-1.026	044 OB Dopa-Gaba	layer 1	1.000000	1	224	0	0.000000	1
C57BL6J-1.026	046 Vip Gaba	layer 1	1.000000	1	435	0	0.000000	1
C57BL6J-1.026	047 Sncg Gaba	layer 1	1.000000	1	479	0	0.000000	1
C57BL6J-1.026	049 Lamp5 Gaba	layer 1	1.000000	1	486	0	0.000000	1
C57BL6J-1.026	051 Pvalb chandelier Gaba	layer 1	1.000000	1	424	0	0.000000	1
C57BL6J-1.026	052 Pvalb Gaba	layer 1	1.000000	1	206	0	0.000000	1
C57BL6J-1.026	052 Pvalb Gaba	layer 2/3	1.000000	1	242	0	0.000000	1
C57BL6J-1.026	053 Sst Gaba	layer 1	1.000000	1	428	0	0.000000	1
C57BL6J-1.026	319 Astro-TE NN	layer 1	2.000000	1	500	112	0.224000	0.776447
C57BL6J-1.026	319 Astro-TE NN	layer 2/3	1.000000	1	342	0	0.000000	1
C57BL6J-1.026	326 OPC NN	layer 1	2.000000	1	499	184	0.368737	0.632
C57BL6J-1.026	326 OPC NN	layer 2/3	1.000000	1	267	0	0.000000	1
C57BL6J-1.026	327 Oligo NN	layer 1	2.000000	1	486	270	0.555556	0.445585
C57BL6J-1.026	328 OEC NN	layer 1	1.000000	1	444	0	0.000000	1
C57BL6J-1.026	330 VLMC NN	layer 1	2.000000	1	493	176	0.356998	0.643725
C57BL6J-1.026	331 Peri NN	layer 1	1.000000	1	492	0	0.000000	1
C57BL6J-1.026	331 Peri NN	layer 2/3	1.000000	1	241	0	0.000000	1
C57BL6J-1.026	332 SMC NN	layer 1	2.000000	1	488	258	0.528689	0.472393
C57BL6J-1.026	332 SMC NN	layer 2/3	1.000000	1	132	0	0.000000	1
C57BL6J-1.026	333 Endo NN	layer 1	3.000000	1	500	367	0.734000	0.267465
C57BL6J-1.026	333 Endo NN	layer 2/3	1.000000	1	365	0	0.000000	1
C57BL6J-1.026	334 Microglia NN	layer 1	2.000000	1	498	129	0.259036	0.741483
C57BL6J-1.026	334 Microglia NN	layer 2/3	1.000000	1	323	0	0.000000	1
C57BL6J-1.026	335 BAM NN	layer 1	2.000000	1	469	257	0.547974	0.453191
C57BL6J-1.026	338 Lymphoid NN	layer 1	1.000000	1	310	0	0.000000	1
C57BL6J-1.027	006 L4/5 IT CTX Glut	layer 2/3	1.000000	1	451	0	0.000000	1
C57BL6J-1.027	007 L2/3 IT CTX Glut	layer 1	2.000000	1	499	46	0.092184	0.908
