slide	subclass	layer	true_file_count	random_sample_n	true_region_num	region_num_p_one_sided_true_gt	region_num_p_one_sided_true_lt	region_num_p_two_sided	true_glut_num	glut_num_p_one_sided_true_gt	glut_num_p_one_sided_true_lt	glut_num_p_two_sided	true_gaba_num	gaba_num_p_one_sided_true_gt	gaba_num_p_one_sided_true_lt	gaba_num_p_two_sided	true_ei_ratio	ei_ratio_p_one_sided_true_gt	ei_ratio_p_one_sided_true_lt	ei_ratio_p_two_sided
C57BL6J-1.025	035 OB Eomes Ms4a15 Glut	layer 1	1	485	2.000000	0.502058	0.925926	1	66.000000	0.216049	0.800412	0.40535	195.500000	0.13786	0.864198	0.1893	0.339287	0.99793	0.00414079	0.0393375
C57BL6J-1.025	039 OB Meis2 Thsd7b Gaba	layer 1	1	485	2.000000	0.553498	0.923868	1	49.000000	0.246914	0.76749	0.524691	159.500000	0.23251	0.769547	0.5	0.321384	0.372428	0.62963	0.615226
C57BL6J-1.025	040 OB Trdn Gaba	layer 1	1	386	1.000000	1	0.852713	1	80.000000	0.0103359	0.994832	0.0103359	245.000000	0.00258398	1	0.00258398	0.326531	0.50646	0.496124	0.914729
C57BL6J-1.025	041 OB-in Frmd7 Gaba	layer 1	1	492	1.000000	1	0.478702	0.543611	130.000000	0.0020284	1	0.0020284	388.000000	0.0020284	1	0.0020284	0.335052	0.239351	0.762677	0.419878
C57BL6J-1.025	042 OB-out Frmd7 Gaba	layer 1	1	488	1.000000	1	0.535787	0.582822	78.000000	0.0388548	0.973415	0.0388548	245.000000	0.0388548	0.969325	0.0388548	0.318367	0.408998	0.593047	0.795501
C57BL6J-1.025	043 OB-mi Frmd7 Gaba	layer 1	1	455	1.000000	1	0.723684	1	78.000000	0.0197368	0.984649	0.0197368	241.000000	0.0153509	0.989035	0.0153509	0.323651	0.493421	0.508772	0.984649
C57BL6J-1.025	044 OB Dopa-Gaba	layer 1	1	473	1.000000	1	0.658228	1	90.000000	0.00632911	0.995781	0.00632911	269.000000	0.0105485	0.991561	0.0105485	0.334572	0.362869	0.639241	0.698312
C57BL6J-1.025	045 OB-STR-CTX Inh IMN	layer 1	1	380	1.000000	1	0.871391	1	15.000000	0.708661	0.296588	0.559055	82.000000	0.564304	0.454068	0.889764	0.182927	0.929134	0.0734908	0.12336
C57BL6J-1.025	049 Lamp5 Gaba	layer 1	1	350	1.000000	1	0.911681	1	19.000000	0.581197	0.441595	0.806268	30.000000	0.749288	0.253561	0.478632	0.633333	0.045584	0.957265	0.0683761
C57BL6J-1.025	117 LHA Barhl2 Glut	layer 1	1	138	1.000000	1	1	1	13.000000	0.352518	0.741007	0.654676	43.000000	0.0935252	0.935252	0.165468	0.302326	0.697842	0.309353	0.517986
C57BL6J-1.025	319 Astro-TE NN	layer 1	1	467	1.000000	1	0.653846	1	56.000000	0.247863	0.760684	0.489316	146.000000	0.311966	0.694444	0.641026	0.383562	0.17735	0.824786	0.331197
C57BL6J-1.025	320 Astro-OLF NN	layer 1	1	491	2.000000	0.443089	0.97561	0.443089	38.500000	0.441057	0.569106	0.995935	111.500000	0.457317	0.546748	0.928862	0.386411	0.120163	0.881874	0.240326
C57BL6J-1.025	326 OPC NN	layer 1	1	460	2.000000	0.364425	0.97397	0.364425	27.500000	0.566161	0.442516	0.774403	49.500000	0.81128	0.193059	0.407809	0.545455	0.0110865	0.991131	0.037694
C57BL6J-1.025	327 Oligo NN	layer 1	1	459	2.000000	0.317391	0.984783	0.317391	13.000000	0.836957	0.173913	0.354348	45.000000	0.808696	0.197826	0.408696	0.146067	0.980263	0.0219298	0.0416667
C57BL6J-1.025	328 OEC NN	layer 1	1	479	1.000000	1	0.5375	1	82.000000	0.0291667	0.979167	0.0291667	257.000000	0.0166667	0.985417	0.0166667	0.319066	0.654167	0.347917	0.63125
C57BL6J-1.025	330 VLMC NN	layer 1	1	475	1.000000	1	0.672269	1	66.000000	0.130252	0.878151	0.212185	196.000000	0.115546	0.886555	0.195378	0.336735	0.475789	0.528421	0.938947
C57BL6J-1.025	332 SMC NN	layer 1	1	412	1.000000	1	0.791768	1	54.000000	0.169492	0.842615	0.307506	164.000000	0.152542	0.857143	0.254237	0.329268	0.541262	0.461165	0.783981
C57BL6J-1.025	333 Endo NN	layer 1	1	488	2.000000	0.447853	0.965235	0.447853	39.000000	0.411043	0.603272	0.9591	103.000000	0.480573	0.521472	0.897751	0.383824	0.158111	0.843943	0.332649
C57BL6J-1.025	334 Microglia NN	layer 1	1	465	1.000000	1	0.695279	1	29.000000	0.611588	0.399142	0.708155	47.000000	0.849785	0.154506	0.339056	0.617021	0.0107759	0.991379	0.0215517
C57BL6J-1.026	007 L2/3 IT CTX Glut	layer 1	1	499	1.000000	1	0.29	0.522	58.000000	0.002	1	0.002	33.000000	0.002	1	0.002	1.757576	0.927711	0.0742972	0.188755
C57BL6J-1.026	007 L2/3 IT CTX Glut	layer 2/3	1	386	1.000000	1	1	1	69.000000	0.55814	0.452196	0.94832	7.000000	0.599483	0.439276	0.940568	9.857143	0.29096	0.711864	0.957627
C57BL6J-1.026	035 OB Eomes Ms4a15 Glut	layer 1	1	214	1.000000	1	1	1	1.000000	1	0.00930233	0.0418605	2.000000	0.874419	0.32093	0.511628	0.500000	1	0.0146341	0.141463
C57BL6J-1.026	036 HPF CR Glut	layer 1	1	228	1.000000	1	1	1	1.000000	1	0.00873362	0.0436681	1.000000	0.973799	0.126638	0.20524	1.000000	0.869955	0.237668	0.390135
C57BL6J-1.026	044 OB Dopa-Gaba	layer 1	1	224	1.000000	1	1	1	1.000000	0.991111	0.0488889	0.12	3.000000	0.813333	0.355556	0.577778	0.333333	0.96	0.0444444	0.133333
C57BL6J-1.026	046 Vip Gaba	layer 1	1	435	1.000000	1	0.775229	1	50.000000	0.00229358	1	0.00229358	21.000000	0.00229358	1	0.00229358	2.380952	0.0321101	0.970183	0.0321101
C57BL6J-1.026	047 Sncg Gaba	layer 1	1	479	1.000000	1	0.616667	1	51.000000	0.00208333	1	0.00208333	23.000000	0.0125	0.991667	0.0125	2.217391	0.04375	0.958333	0.075
C57BL6J-1.026	049 Lamp5 Gaba	layer 1	1	486	1.000000	1	0.537988	0.593429	11.000000	0.5154	0.5154	0.895277	13.000000	0.359343	0.675565	0.854209	0.846154	0.741273	0.26078	0.523614
C57BL6J-1.026	051 Pvalb chandelier Gaba	layer 1	1	424	1.000000	1	0.875294	1	26.000000	0.0141176	0.988235	0.0141176	22.000000	0.00941176	0.995294	0.00941176	1.181818	0.496471	0.505882	0.924706
C57BL6J-1.026	052 Pvalb Gaba	layer 1	1	206	1.000000	1	1	1	23.000000	0.00483092	1	0.00483092	5.000000	0.42029	0.763285	0.7343	4.600000	0.0144928	0.990338	0.0144928
C57BL6J-1.026	052 Pvalb Gaba	layer 2/3	1	242	1.000000	1	1	1	12.000000	0.781893	0.238683	0.423868	2.000000	0.855967	0.193416	0.292181	6.000000	0.246914	0.786008	0.477366
C57BL6J-1.026	053 Sst Gaba	layer 1	1	428	1.000000	1	0.738928	1	9.000000	0.39627	0.641026	0.923077	16.000000	0.0559441	0.962704	0.0559441	0.562500	0.897436	0.104895	0.219114
C57BL6J-1.026	319 Astro-TE NN	layer 1	1	500	2.000000	0.776447	0.752495	1	9.500000	0.618762	0.41517	0.650699	9.000000	0.311377	0.728543	0.800399	1.055556	0.919679	0.0823293	0.200803
C57BL6J-1.026	319 Astro-TE NN	layer 2/3	1	342	1.000000	1	1	1	18.000000	0.77551	0.227405	0.346939	3.000000	0.77551	0.259475	0.431487	6.000000	0.61442	0.423197	0.655172
C57BL6J-1.026	326 OPC NN	layer 1	1	499	2.000000	0.632	0.832	1	10.500000	0.552	0.478	0.78	3.500000	0.852	0.17	0.326	2.166667	0.15493	0.847082	0.364185
C57BL6J-1.026	326 OPC NN	layer 2/3	1	267	1.000000	1	1	1	71.000000	0.317164	0.705224	0.600746	14.000000	0.141791	0.91791	0.261194	5.071429	0.821705	0.182171	0.29845
C57BL6J-1.026	327 Oligo NN	layer 1	1	486	2.000000	0.445585	0.934292	1	3.000000	0.942505	0.0862423	0.232033	2.000000	0.936345	0.10883	0.268994	1.333333	0.6841	0.317992	0.514644
C57BL6J-1.026	328 OEC NN	layer 1	1	444	1.000000	1	0.788764	1	6.000000	0.723596	0.332584	0.58427	6.000000	0.498876	0.588764	1	1.000000	0.876214	0.228155	0.368932
C57BL6J-1.026	330 VLMC NN	layer 1	1	493	2.000000	0.643725	0.862348	1	7.000000	0.785425	0.259109	0.42915	7.000000	0.508097	0.572874	0.894737	1.062500	0.881874	0.1222	0.242363
C57BL6J-1.026	331 Peri NN	layer 1	1	492	1.000000	1	0.464503	0.545639	21.000000	0.11359	0.904665	0.150101	14.000000	0.125761	0.904665	0.156187	1.500000	0.538776	0.495918	0.846939
C57BL6J-1.026	331 Peri NN	layer 2/3	1	241	1.000000	1	1	1	35.000000	0.475207	0.533058	0.979339	8.000000	0.293388	0.785124	0.590909	4.375000	0.793651	0.21164	0.349206
C57BL6J-1.026	332 SMC NN	layer 1	1	488	2.000000	0.472393	0.932515	1	1.500000	0.95501	0.0511247	0.149284	2.000000	0.9182	0.126789	0.271984	0.833333	0.929638	0.0724947	0.17484
C57BL6J-1.026	332 SMC NN	layer 2/3	1	132	1.000000	1	1	1	0.000000	1	0.0075188	0.0075188	0.000000	1	0.24812	0.413534	nan			
C57BL6J-1.026	333 Endo NN	layer 1	1	500	3.000000	0.267465	0.972056	0.540918	5.333333	0.908184	0.0938124	0.233533	5.666667	0.688623	0.313373	0.528942	0.645503	0.994	0.008	0.048
C57BL6J-1.026	333 Endo NN	layer 2/3	1	365	1.000000	1	1	1	48.500000	0.587432	0.415301	0.909836	7.500000	0.565574	0.437158	0.907104	6.466667	0.435673	0.567251	0.847953
C57BL6J-1.026	334 Microglia NN	layer 1	1	498	2.000000	0.741483	0.739479	1	13.000000	0.370741	0.655311	0.931864	8.500000	0.380762	0.651303	0.8998	1.590278	0.465863	0.536145	0.951807
C57BL6J-1.026	334 Microglia NN	layer 2/3	1	323	1.000000	1	1	1	21.000000	0.762346	0.259259	0.444444	6.000000	0.666667	0.395062	0.783951	3.500000	0.924092	0.0858086	0.181518
C57BL6J-1.026	335 BAM NN	layer 1	1	469	2.000000	0.453191	0.951064	1	7.500000	0.561702	0.451064	0.789362	5.000000	0.570213	0.495745	0.821277	1.666667	0.412946	0.589286	1
C57BL6J-1.026	338 Lymphoid NN	layer 1	1	310	1.000000	1	0.951768	1	0.000000	1	0.0418006	0.209003	0.000000	1	0.125402	0.292605	nan			
C57BL6J-1.027	006 L4/5 IT CTX Glut	layer 2/3	1	451	1.000000	1	0.778761	1	194.000000	0.0199115	0.984513	0.0199115	28.000000	0.0287611	0.977876	0.0287611	6.928571	0.516204	0.486111	0.747685
C57BL6J-1.027	007 L2/3 IT CTX Glut	layer 1	1	499	2.000000	0.908	0.472	0.61	27.500000	0.034	0.968	0.034	9.500000	0.054	0.95	0.054	2.789474	0.635081	0.366935	0.5625
C57BL6J-1.027	007 L2/3 IT CTX Glut	layer 2/3	1	494	1.000000	1	0.543434	0.60202	150.000000	0.307071	0.70303	0.668687	17.000000	0.349495	0.680808	0.79596	8.823529	0.421268	0.580777	0.822086
C57BL6J-1.027	046 Vip Gaba	layer 1	1	477	3.000000	0.106695	0.993724	0.106695	17.000000	0.0606695	0.951883	0.0606695	4.666667	0.470711	0.531381	0.876569	1.545455	0.215481	0.786611	0.430962
C57BL6J-1.027	046 Vip Gaba	layer 2/3	1	460	1.000000	1	0.767896	1	157.000000	0.130152	0.885033	0.232104	25.000000	0.214751	0.815618	0.420824	6.280000	0.151844	0.850325	0.295011
C57BL6J-1.027	047 Sncg Gaba	layer 1	1	352	1.000000	1	1	1	3.000000	0.875354	0.27762	0.416431	4.000000	0.558074	0.685552	1	0.750000	0.830028	0.212465	0.354108
C57BL6J-1.027	047 Sncg Gaba	layer 2/3	1	438	2.000000	0.179954	1	0.179954	12.000000	0.922551	0.0797267	0.175399	3.500000	0.897494	0.109339	0.223235	3.250000	0.915718	0.0865604	0.15262
C57BL6J-1.027	049 Lamp5 Gaba	layer 1	1	496	2.000000	0.688129	0.77666	1	5.500000	0.655936	0.374245	0.613682	7.500000	0.45674	0.577465	0.917505	0.611111	0.8833	0.118712	0.22334
C57BL6J-1.027	049 Lamp5 Gaba	layer 2/3	1	416	1.000000	1	0.88729	1	1.000000	0.983213	0.0479616	0.119904	1.000000	1	0.057554	0.1247	1.000000	0.980815	0.0503597	0.0527578
C57BL6J-1.027	051 Pvalb chandelier Gaba	layer 1	1	354	1.000000	1	1	1	7.000000	0.276056	0.830986	0.43662	4.000000	0.540845	0.684507	1	1.750000	0.321127	0.707042	0.876056
C57BL6J-1.027	052 Pvalb Gaba	layer 1	1	348	1.000000	1	1	1	14.000000	0.00286533	1	0.00286533	7.000000	0.0601719	0.979943	0.0601719	2.000000	0.277937	0.813754	0.681948
C57BL6J-1.027	052 Pvalb Gaba	layer 2/3	1	408	1.000000	1	0.841076	1	148.000000	0.114914	0.889976	0.222494	21.000000	0.251834	0.779951	0.469438	7.047619	0.132029	0.870416	0.261614
C57BL6J-1.027	053 Sst Gaba	layer 1	1	400	1.000000	1	0.802993	1	3.000000	0.528678	0.605985	0.850374	8.000000	0.159601	0.882793	0.159601	0.375000	0.885287	0.119701	0.236908
C57BL6J-1.027	056 Sst Chodl Gaba	layer 2/3	1	150	1.000000	1	1	1	20.000000	0.768212	0.298013	0.523179	1.000000	1	0.0198675	0.0794702	20.000000	0.0198675	0.993377	0.0198675
C57BL6J-1.027	319 Astro-TE NN	layer 1	1	500	4.000000	0.241517	0.952096	0.301397	0.750000	0.996008	0.00598802	0.0778443	2.500000	0.746507	0.293413	0.49501	0.125000	0.998	0.004	0.04
C57BL6J-1.027	319 Astro-TE NN	layer 2/3	1	485	1.000000	1	0.615226	1	247.000000	0.0164609	0.985597	0.0164609	35.000000	0.0329218	0.975309	0.0329218	7.057143	0.375783	0.626305	0.995825
C57BL6J-1.027	326 OPC NN	layer 1	1	497	3.000000	0.473896	0.869478	0.596386	6.333333	0.483936	0.518072	0.843373	6.000000	0.206827	0.839357	0.399598	0.717593	0.983838	0.0181818	0.0989899
C57BL6J-1.027	326 OPC NN	layer 2/3	1	466	1.000000	1	0.698073	1	108.000000	0.33833	0.668094	0.738758	15.000000	0.379015	0.655246	0.826552	7.200000	0.43722	0.569507	0.957399
C57BL6J-1.027	327 Oligo NN	layer 1	1	491	1.000000	1	0.357724	0.538618	0.000000	1	0.00813008	0.0833333	0.000000	1	0.0162602	0.0894309	nan			
C57BL6J-1.027	327 Oligo NN	layer 2/3	1	297	1.000000	1	0.942953	1	55.000000	0.550336	0.456376	0.909396	8.000000	0.536913	0.486577	0.919463	6.875000	0.464419	0.539326	0.958801
C57BL6J-1.027	328 OEC NN	layer 1	1	352	1.000000	1	1	1	0.000000	1	0.0141643	0.0481586	3.000000	0.583569	0.66289	1	0.000000	1	0.0151976	0.106383
C57BL6J-1.027	329 ABC NN	layer 1	1	489	2.000000	0.636735	0.865306	1	23.500000	0.00408163	0.997959	0.00408163	6.500000	0.134694	0.87551	0.24898	3.392857	0.0942982	0.907895	0.133772
C57BL6J-1.027	330 VLMC NN	layer 1	1	494	1.000000	1	0.260606	0.30303	3.000000	0.894949	0.149495	0.30303	6.000000	0.238384	0.80404	0.557576	0.500000	0.98768	0.0164271	0.0821355
C57BL6J-1.027	330 VLMC NN	layer 2/3	1	333	1.000000	1	0.982036	1	97.000000	0.535928	0.476048	0.868263	13.000000	0.57485	0.458084	1	7.461538	0.297806	0.705329	0.736677
C57BL6J-1.027	331 Peri NN	layer 1	1	492	2.000000	0.669371	0.793103	1	16.000000	0.0689655	0.941176	0.0689655	4.000000	0.525355	0.567951	0.941176	2.666667	0.160825	0.841237	0.385567
C57BL6J-1.027	331 Peri NN	layer 2/3	1	444	2.000000	0.262921	0.995506	0.262921	55.500000	0.746067	0.260674	0.516854	8.500000	0.737079	0.292135	0.557303	6.529412	0.551963	0.450346	0.755196
C57BL6J-1.027	332 SMC NN	layer 1	1	454	2.000000	0.417582	0.956044	0.417582	1.000000	0.863736	0.230769	0.395604	1.000000	0.806593	0.351648	0.527473	1.000000	0.835897	0.266667	0.464103
C57BL6J-1.027	332 SMC NN	layer 2/3	1	378	1.000000	1	0.897098	1	135.000000	0.171504	0.831135	0.348285	20.000000	0.17942	0.85752	0.353562	6.750000	0.456338	0.546479	1
C57BL6J-1.027	333 Endo NN	layer 1	1	500	1.000000	1	0.0558882	0.105788	22.000000	0.011976	0.99002	0.011976	7.000000	0.103792	0.918164	0.131737	3.142857	0.0761523	0.925852	0.0861723
